,0,1,2,3,4,5,6,7
Period,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,,46.56,15.04,142.83,50.71,-60.52,-30.29
Techniczny koszt wytworzenia produkcji sprzedanej,,50816.67,7.2,5.86,70.35,153.76,-36.73,33.27
Koszty sprzedaży,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,
Zysk ze sprzedaży,,-6500.0,257.07,63.34,390.16,-71.51,-311.77,-170.28
Pozostałe przychody operacyjne,,,,-97.06,1100.0,-91.67,26300.0,-53.79
Pozostałe koszty operacyjne,,,,2200.0,889.13,-72.64,-23.29,799.48
Zysk operacyjny (EBIT),,-6500.0,264.65,41.87,341.3,-71.31,-350.38,-231.45
Przychody finansowe,,-66.67,500.0,50.0,38644.44,87.85,-93.31,-25.54
Koszty finansowe,,,333.33,107.69,824.07,-96.99,31453.33,-1.61
Pozostałe przychody (koszty),,,,,,-98.83,182583.33,-92.49
Zysk z działalności gospodarczej,,,259.5,39.34,1145.33,28.83,-70.74,-409.11
Wynik zdarzeń nadzwyczajnych,,,,,,,,
Zysk przed opodatkowaniem,,,259.5,39.34,1145.33,28.83,-70.74,-409.11
Zysk (strata) netto z działalności zaniechanej,,,,,,,,
Zysk netto,,,232.25,58.22,958.42,26.11,-80.77,-660.57
Zysk netto akcjonariuszy jednostki dominującej,,,232.25,58.22,973.84,37.22,-74.96,-391.52
Aktywa trwałe,,,714.29,-2.81,92.78,170.97,981.38,-3.29
Wartości niematerialne i prawne,,,,,,4568.0,1393.14,3.56
Rzeczowe składniki majątku trwałego,,,-36.21,-45.95,70.0,311.76,407.86,-39.8
Należności długoterminowe,,,0.0,-100.0,,,,
Inwestycje długoterminowe,,,,6.16,88.95,53.42,726.49,-19.35
Pozostałe aktywa trwałe,,,,-100.0,,,835.9,303.56
Aktywa obrotowe,,3495.0,70.57,7.45,161.5,97.75,-63.2,-30.99
Zapasy,,,78.98,6.69,15.31,83.93,-100.0,
Należności krótkoterminowe,,,977.53,-42.65,310.73,128.24,33.44,-39.42
Inwestycje krótkoterminowe,,756.0,-75.0,206.54,1250.46,100.33,-68.11,-20.74
Środki pieniężne i inne aktywa pieniężne,,756.0,-75.0,205.14,1256.66,17.59,-58.77,-36.62
Pozostałe aktywa obrotowe,,,2240.0,46.15,-12.57,59.87,-100.0,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,
Aktywa razem,,3565.0,82.86,6.58,156.17,102.03,18.58,-11.21
Kapitał własny akcjonariuszy jednostki dominującej,,3118.0,90.24,13.67,117.32,59.1,31.75,-21.87
Kapitał (fundusz) podstawowy,,2365.0,4.38,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,
Kapitał (fundusz) zapasowy,,,95.15,3.74,0.0,86.59,-48.34,0.0
Udziały niekontrolujące,,,,,,133.87,2.74,-8.57
Zobowiązania długoterminowe,,,,,,,2475.5,26.01
Z tytułu dostaw i usług,,,-42.19,3.6,190.43,226.95,95.79,61.46
Kredyty i pożyczki,,,-100.0,,,,-1.03,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,23.04
Inne zobowiązania długoterminowe,,,,,,,,5.37
Zobowiązania krótkoterminowe,,,-30.15,0.55,170.65,459.24,5.35,34.94
Inne zobowiązania krótkoterminowe,,,46.94,-4.17,137.68,578.05,-99.64,5900.0
Rozliczenia międzyokresowe,,,114.59,-100.0,,503.33,-100.0,
Pasywa razem,,3565.0,82.86,6.58,156.17,102.03,18.58,-11.21
Przepływy pieniężne z działalności operacyjnej,,,6.78,118.23,-17.65,-1721.16,82.1,347.22
Amortyzacja,,,325.0,0.0,11.76,136.84,4342.22,41.82
Przepływy pieniężne z działalności inwestycyjnej,,,-706.45,96.0,8610.0,-25.15,-379.59,-12.52
CAPEX (niematerialne i rzeczowe),,,-100.0,,,3275.76,744.08,-47.92
Przepływy pieniężne z działalności finansowej,,3418.0,-32.46,-100.0,,4.67,-123.28,81.45
Emisja akcji,,3418.0,-32.46,-100.0,,-27.15,-71.34,-100.0
Dywidenda,,,,,,,,-100.0
Przepływy pieniężne razem,,655.0,-185.03,168.38,1769.48,-81.0,-494.61,74.43
