,0,1,2,3,4,5,6,7
Period,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,0.0,2659.0,3897.0,4483.0,10886.0,16406.0,6477.0,4515.0
Techniczny koszt wytworzenia produkcji sprzedanej,6.0,3055.0,3275.0,3467.0,5906.0,14987.0,9482.0,12637.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-6.0,-396.0,622.0,1016.0,4980.0,1419.0,-3005.0,-8122.0
Pozostałe przychody operacyjne,0.0,0.0,34.0,1.0,12.0,1.0,264.0,122.0
Pozostałe koszty operacyjne,0.0,0.0,4.0,92.0,910.0,249.0,191.0,1718.0
Zysk operacyjny (EBIT),-6.0,-396.0,652.0,925.0,4082.0,1171.0,-2932.0,-9718.0
Przychody finansowe,6.0,2.0,12.0,18.0,6974.0,13101.0,877.0,653.0
Koszty finansowe,0.0,6.0,26.0,54.0,499.0,15.0,4733.0,4657.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,514.0,6.0,10961.0,823.0
Zysk z działalności gospodarczej,0.0,-400.0,638.0,889.0,11071.0,14263.0,4173.0,-12899.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,0.0,-400.0,638.0,889.0,11071.0,14263.0,4173.0,-12899.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,0.0,-400.0,529.0,837.0,8859.0,11172.0,2148.0,-12041.0
Zysk netto akcjonariuszy jednostki dominującej,0.0,-400.0,529.0,837.0,8988.0,12333.0,3088.0,-9002.0
Aktywa trwałe,0.0,70.0,570.0,554.0,1068.0,2894.0,31295.0,30266.0
Wartości niematerialne i prawne,0.0,0.0,0.0,0.0,25.0,1167.0,17425.0,18046.0
Rzeczowe składniki majątku trwałego,0.0,58.0,37.0,20.0,34.0,140.0,711.0,428.0
Należności długoterminowe,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,503.0,534.0,1009.0,1548.0,12794.0,10319.0
Pozostałe aktywa trwałe,0.0,0.0,18.0,0.0,0.0,39.0,365.0,1473.0
Aktywa obrotowe,100.0,3595.0,6132.0,6589.0,17230.0,34073.0,12540.0,8654.0
Zapasy,0.0,2640.0,4725.0,5041.0,5813.0,10692.0,0.0,0.0
Należności krótkoterminowe,0.0,89.0,959.0,550.0,2259.0,5156.0,6880.0,4168.0
Inwestycje krótkoterminowe,100.0,856.0,214.0,656.0,8859.0,17747.0,5660.0,4486.0
Środki pieniężne i inne aktywa pieniężne,100.0,856.0,214.0,653.0,8859.0,10417.0,4295.0,2722.0
Pozostałe aktywa obrotowe,0.0,10.0,234.0,342.0,299.0,478.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,100.0,3665.0,6702.0,7143.0,18298.0,36967.0,43835.0,38920.0
Kapitał własny akcjonariuszy jednostki dominującej,100.0,3218.0,6122.0,6959.0,15123.0,24060.0,31699.0,24766.0
Kapitał (fundusz) podstawowy,100.0,2465.0,2573.0,2573.0,2573.0,2573.0,2573.0,2573.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,1753.0,3421.0,3549.0,3549.0,6622.0,3421.0,3421.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,1686.0,3943.0,4051.0,3704.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,200.0,5151.0,6491.0
Z tytułu dostaw i usług,0.0,192.0,111.0,115.0,334.0,1092.0,2138.0,3452.0
Kredyty i pożyczki,0.0,21.0,0.0,0.0,0.0,581.0,575.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,217.0,267.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,4766.0,5022.0
Zobowiązania krótkoterminowe,0.0,262.0,183.0,184.0,498.0,2785.0,2934.0,3959.0
Inne zobowiązania krótkoterminowe,0.0,49.0,72.0,69.0,164.0,1112.0,4.0,240.0
Rozliczenia międzyokresowe,0.0,185.0,397.0,0.0,991.0,5979.0,0.0,0.0
Pasywa razem,100.0,3665.0,6702.0,7143.0,18298.0,36967.0,43835.0,38920.0
Przepływy pieniężne z działalności operacyjnej,0.0,-2701.0,-2518.0,459.0,378.0,-6128.0,-1097.0,2712.0
Amortyzacja,0.0,4.0,17.0,17.0,19.0,45.0,1999.0,2835.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,-62.0,-500.0,-20.0,1702.0,1274.0,-3562.0,-4008.0
CAPEX (niematerialne i rzeczowe),0.0,62.0,0.0,0.0,33.0,1114.0,9403.0,4897.0
Przepływy pieniężne z działalności finansowej,100.0,3518.0,2376.0,0.0,6127.0,6413.0,-1493.0,-277.0
Emisja akcji,100.0,3518.0,2376.0,0.0,6950.0,5063.0,1451.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,2573.0,0.0
Przepływy pieniężne razem,100.0,755.0,-642.0,439.0,8207.0,1559.0,-6152.0,-1573.0
