,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,14.81,-8.81,40.54,81.95,7.54,58.92,3.66,-21.69,1.73,11.09,32.94,-16.97,30.96,101.59,32.48,0.09
Techniczny koszt wytworzenia produkcji sprzedanej,,10.54,-12.23,31.3,103.88,15.67,58.08,2.48,-22.91,0.8,10.37,35.36,-19.18,30.3,105.68,34.08,-2.04
Koszty sprzedaży,,,10.19,571.78,102.32,-29.0,-17.45,3.76,8.77,-100.0,,,,,,,
Koszty ogólnego zarządu,,87.43,20.64,67.98,32.0,7.92,12.09,15.73,16.84,-100.0,,,,,,,
Zysk ze sprzedaży,,46.66,12.99,88.26,-12.71,-81.21,273.14,29.9,-21.39,136.83,18.24,10.66,7.91,36.53,68.67,16.79,24.1
Pozostałe przychody operacyjne,,1152.13,-76.71,95.35,93.82,446.73,-44.47,-6.75,-0.6,74.02,-38.94,121.3,-34.92,47.47,-31.84,-27.96,25.65
Pozostałe koszty operacyjne,,1344.6,-46.5,239.96,-15.8,208.85,-25.19,21.24,-27.27,300.72,-11.03,55.26,-11.7,24.32,-10.53,29.64,22.19
Zysk operacyjny (EBIT),,62.98,-3.65,71.67,-2.62,-44.68,44.51,10.31,-6.07,21.37,15.37,6.65,2.3,61.65,106.7,2.23,25.51
Przychody finansowe,,3135.29,-98.55,3750.0,293.83,147.16,-5.84,-47.54,60.43,-100.0,,,,,,119.1,-87.91
Koszty finansowe,,118.73,-5.63,27.27,34.01,42.83,-9.54,5.55,24.51,-28.04,19.83,7.17,-13.68,-7.14,62.22,61.79,47.88
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,52.96,-5.65,89.45,-8.91,-68.71,117.82,5.89,-22.49,58.81,13.16,6.37,10.73,89.95,122.07,-3.14,12.6
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,52.96,-5.65,89.45,-8.91,-68.71,117.82,5.89,-22.49,58.81,13.16,6.37,10.73,89.95,122.07,-3.14,12.6
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,
Zysk netto,,62.04,-6.87,90.33,-5.06,-65.83,92.86,5.92,-16.77,46.77,16.87,7.7,4.02,106.92,119.97,-6.89,13.61
Zysk netto akcjonariuszy jednostki dominującej,,62.04,-6.87,76.11,-0.34,-64.82,68.96,14.49,-18.21,43.03,17.04,8.1,14.12,106.92,119.97,-6.89,13.61
Aktywa trwałe,,54.23,15.59,168.36,11.91,21.14,7.41,16.99,53.2,3.26,5.19,-4.34,0.62,30.71,5.43,2.1,16.07
Wartości niematerialne i prawne,,11.76,-22.37,-23.73,10664.44,-2.75,100.45,-4.84,92.76,0.29,-2.65,-4.45,-4.1,-59.32,-7.63,-9.64,74.85
Rzeczowe składniki majątku trwałego,,78.37,18.49,139.49,-41.69,-6.4,-13.03,11.01,211.82,0.39,0.48,-24.42,5.07,-0.25,-29.49,11.42,57.63
Należności długoterminowe,,,,,60.2,171.18,11.43,25.67,19.54,24.45,-2.57,-8.96,-15.23,-21.89,-37.33,-33.5,-47.4
Inwestycje długoterminowe,,-93.03,0.0,10509.23,405.49,40.21,15.71,21.67,-15.48,6.56,13.32,20.75,-1.68,69.07,22.18,-3.23,6.25
Pozostałe aktywa trwałe,,-34.61,-43.65,43.96,79.37,106.65,26.49,-1.63,89.92,2.22,6.99,9.27,-0.7,-4.59,50.21,50.53,-28.54
Aktywa obrotowe,,71.2,30.24,15.66,63.67,6.75,37.33,-20.24,-2.28,-2.53,4.91,21.25,11.29,37.18,53.95,14.52,-5.37
Zapasy,,55.53,62.67,15.67,28.84,-3.15,18.12,-26.13,-9.08,19.52,-5.91,25.66,20.29,8.38,11.79,24.28,-0.78
Należności krótkoterminowe,,111.99,-17.61,6.29,97.17,31.15,31.77,-7.06,-14.29,46.47,14.35,16.84,-8.22,11.96,74.56,15.11,6.63
Inwestycje krótkoterminowe,,-15.07,217.81,59.36,87.49,23.26,48.35,-15.85,124.52,-0.56,3.2,29.53,68.6,167.22,75.73,7.85,-21.31
Środki pieniężne i inne aktywa pieniężne,,-15.07,217.81,59.36,83.87,23.94,41.62,-10.6,109.63,-1.27,4.63,37.82,68.6,167.22,61.86,8.5,-22.02
Pozostałe aktywa obrotowe,,55.36,26.2,27.41,187.05,-3.02,92.22,-27.77,1.67,-97.66,40.67,-10.26,-41.81,0.32,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,
Aktywa razem,,66.17,26.21,54.12,40.97,11.76,26.04,-8.27,20.48,0.49,5.06,7.52,6.19,34.25,32.58,10.17,1.59
Kapitał własny akcjonariuszy jednostki dominującej,,98.9,89.82,136.05,19.59,-6.52,7.24,14.23,5.5,7.39,8.18,8.08,24.32,13.91,26.14,17.12,16.36
Kapitał (fundusz) podstawowy,,17.2,12.5,66.67,0.0,0.0,0.0,9.99,0.0,0.0,0.0,0.0,11.21,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,182.8,76.79,207.78,25.24,2.51,40.24,-15.89,7.49,5.61,7.76,8.32,25.55,-40.07,0.0,0.0,0.0
Udziały niekontrolujące,,,,,394.55,-16.04,4.65,5.62,2.08,4.01,4.44,4.41,-100.0,,,,
Zobowiązania długoterminowe,,109.98,2.3,-17.48,4.03,71.47,-2.6,10.01,46.5,43.35,-4.67,-11.89,26.41,74.5,10.32,-2.96,-23.51
Z tytułu dostaw i usług,,,6.18,22.94,111.02,14.35,69.38,-10.56,-9.62,-15.54,43.03,37.25,-40.63,33.37,163.82,25.77,5.53
Kredyty i pożyczki,,,95.22,67.76,42.56,5.96,23.7,-30.74,-48.35,48.7,0.55,-0.76,54.29,-27.41,16.6,-60.91,115.3
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,6811.18,-100.0,,,,,-33.33,2583.33,-90.06,61.81,-11.59
Zobowiązania z tytułu leasingu finansowego,,,-47.22,530.98,7.98,-30.06,13.75,-39.73,54.34,-38.73,18.31,-5.72,-5.7,57.22,12.82,24.9,14.94
Inne zobowiązania długoterminowe,,,-100.0,,,,17.41,-8.4,13.41,522.26,-36.22,-33.05,7.08,174.97,3.7,-0.09,6.33
Zobowiązania krótkoterminowe,,26.75,21.08,60.17,61.63,14.66,45.86,-21.37,-10.1,4.59,12.94,25.51,-6.7,19.72,67.47,16.14,8.35
Inne zobowiązania krótkoterminowe,,,-17.96,113.18,0.58,106.46,-16.96,-37.97,125.33,74.36,-50.28,-2.8,219.65,31.43,-81.61,-12.66,-33.36
Rozliczenia międzyokresowe,,27.34,42.55,-5.96,40.99,-9.14,239.83,-59.8,489.42,-100.0,,,,,,,
Pasywa razem,,66.17,26.21,54.12,40.97,11.76,26.04,-8.27,20.48,0.49,5.06,7.52,6.19,34.25,32.58,10.17,1.59
Przepływy pieniężne z działalności operacyjnej,,40.63,33.45,-200.39,8.68,157.12,17.29,220.85,12.91,-59.04,108.82,-28.53,-42.25,777.48,-17.14,-35.09,10.78
Amortyzacja,,21.55,-15.95,7.06,67.72,-51.43,-5.75,-1.06,61.74,8.41,8.35,8.45,2.77,19.82,-4.06,19.64,16.52
Przepływy pieniężne z działalności inwestycyjnej,,-48.16,26.56,-669.32,92.38,-261.21,63.72,-224.0,32.32,62.86,-132.24,112.55,-758.8,100.21,-133000.0,92.57,-3500.99
CAPEX (niematerialne i rzeczowe),,117.04,-54.31,550.43,-89.67,155.02,-57.94,65.83,-78.38,132.97,235.33,-95.04,1142.97,-52.82,73.08,-52.69,1340.49
Przepływy pieniężne z działalności finansowej,,-12.83,-21.21,194.67,-47.67,-60.43,-112.22,-1334.07,18.44,16.64,-84.22,19.14,203.6,-288.6,141.6,-420.75,-27.04
Emisja akcji,,239.64,358.04,285.29,-54.31,-100.0,,,-100.0,,,,,,,,
Dywidenda,,,,,,,-100.0,,,,,,,,300.0,149.99,40.9
Przepływy pieniężne razem,,-144.01,1327.59,-2266.85,109.0,-47.52,115.46,-157.13,709.94,-102.33,459.16,755.25,150.02,310.96,-1.14,-77.75,-380.97
