,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,118597.0,91211.0,92840.0,124071.0,184279.0,161075.0,141268.0,97860.0,144902.0,76197.0,120036.0,94804.0,109703.0,104064.0,100634.0,114204.0,96829.0,178182.0,156518.0,114083.0
Techniczny koszt wytworzenia produkcji sprzedanej,106846.0,87011.0,83785.0,104739.0,156061.0,136912.0,123732.0,110678.0,136036.0,85645.0,112051.0,91175.0,108465.0,106818.0,99233.0,100403.0,83391.0,146642.0,146352.0,120297.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,5334.0,5455.0,5337.0,5459.0,6905.0,8572.0,7274.0,4554.0,4935.0,4594.0,4858.0,3915.0,5833.0,6020.0,6375.0,7219.0,5865.0,6231.0,6248.0,6849.0
Zysk ze sprzedaży,6417.0,-1255.0,3718.0,13873.0,21313.0,15591.0,10262.0,-17372.0,3931.0,-14042.0,3127.0,-286.0,-4595.0,-8774.0,-4974.0,6582.0,7573.0,25309.0,3918.0,-13063.0
Pozostałe przychody operacyjne,661.0,1000.0,341.0,660.0,395.0,380.0,698.0,5589.0,929.0,861.0,949.0,777.0,202.0,602.0,1277.0,824.0,715.0,399.0,673.0,902.0
Pozostałe koszty operacyjne,1213.0,613.0,639.0,1240.0,980.0,1256.0,1453.0,442.0,1364.0,649.0,1026.0,196.0,419.0,666.0,902.0,1711.0,2437.0,4257.0,484.0,164.0
Zysk operacyjny (EBIT),5865.0,-868.0,3420.0,13293.0,20728.0,14715.0,9507.0,-12225.0,3496.0,-13830.0,3050.0,295.0,-4812.0,-8838.0,-4599.0,5695.0,5851.0,21451.0,4107.0,-12325.0
Przychody finansowe,2410.0,2462.0,902.0,938.0,1512.0,5032.0,938.0,2752.0,594.0,403.0,492.0,460.0,107.0,43.0,62.0,30.0,77.0,285.0,708.0,699.0
Koszty finansowe,2031.0,931.0,387.0,6.0,83.0,295.0,2218.0,449.0,975.0,399.0,309.0,146.0,270.0,424.0,684.0,453.0,181.0,453.0,1085.0,1206.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,6244.0,663.0,3935.0,14225.0,22157.0,19452.0,8227.0,-9922.0,3115.0,-13826.0,3233.0,609.0,-4975.0,-9219.0,-5221.0,5272.0,5747.0,21283.0,3730.0,-12832.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,6244.0,663.0,3935.0,14225.0,22157.0,19452.0,8227.0,-9922.0,3115.0,-13826.0,3233.0,609.0,-4975.0,-9219.0,-5221.0,5272.0,5747.0,21283.0,3730.0,-12832.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,5905.0,950.0,3420.0,13489.0,14021.0,20506.0,2632.0,-8397.0,2578.0,-13700.0,3039.0,460.0,-4975.0,-9997.0,-6668.0,5146.0,4470.0,19247.0,2762.0,-11703.0
Zysk netto akcjonariuszy jednostki dominującej,5905.0,950.0,3420.0,13489.0,14021.0,20506.0,2632.0,-8397.0,2578.0,-13700.0,3039.0,460.0,-4975.0,-9997.0,-6668.0,5146.0,4470.0,19247.0,2762.0,-11703.0
Aktywa trwałe,20331.0,12868.0,14545.0,19195.0,23540.0,37555.0,40054.0,32118.0,25178.0,18055.0,15598.0,15169.0,16742.0,16086.0,22383.0,17895.0,17902.0,22555.0,21597.0,27872.0
Wartości niematerialne i prawne,81.0,104.0,60.0,25.0,982.0,562.0,485.0,415.0,371.0,321.0,245.0,196.0,129.0,383.0,546.0,558.0,449.0,352.0,289.0,270.0
Rzeczowe składniki majątku trwałego,4713.0,3596.0,4243.0,6141.0,13456.0,18477.0,19158.0,15650.0,14137.0,12301.0,11106.0,10153.0,9761.0,9637.0,10708.0,10443.0,11637.0,17598.0,16975.0,19861.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3126.0,3355.0,0.0,182.0,0.0
Inwestycje długoterminowe,12466.0,7073.0,8501.0,10877.0,5570.0,13228.0,17463.0,8668.0,4861.0,0.0,0.0,0.0,0.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0
