,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,680839.0,836437.0,1188132.0,1928422.0,2211282.0,2712141.0,2570369.0,3391734.0,3189011.0,1633363.0,1509524.0,1275431.0,1403102.0,1099630.0,1013332.0,1269534.0,1365481.0,1305030.0,1614337.0,1675340.0
Techniczny koszt wytworzenia produkcji sprzedanej,665678.0,787737.0,1123113.0,1822225.0,1994002.0,2399921.0,2413793.0,3462086.0,3228939.0,1787936.0,1405597.0,1165157.0,1282175.0,982187.0,972737.0,1217624.0,1263572.0,1186962.0,1501646.0,1583379.0
Koszty sprzedaży,2246.0,1527.0,773.0,761.0,1132.0,2234.0,1094.0,1714.0,2154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,48583.0,50534.0,54519.0,59240.0,74760.0,89868.0,86780.0,73248.0,76796.0,60589.0,51852.0,48123.0,53640.0,63524.0,63999.0,63431.0,62190.0,62726.0,66693.0,69746.0
Zysk ze sprzedaży,-35668.0,-3361.0,9727.0,46196.0,141388.0,220118.0,68702.0,-145314.0,-118878.0,-215162.0,52075.0,62151.0,67287.0,53919.0,-23404.0,-11521.0,39719.0,55342.0,45998.0,22215.0
Pozostałe przychody operacyjne,27935.0,24631.0,36033.0,37284.0,37667.0,38660.0,31225.0,26843.0,31947.0,8269.0,9486.0,9580.0,4856.0,4485.0,8595.0,29180.0,8954.0,2285.0,27746.0,8790.0
Pozostałe koszty operacyjne,40999.0,28439.0,24578.0,24599.0,57197.0,77548.0,15594.0,26296.0,29647.0,30557.0,37630.0,22669.0,24724.0,36986.0,9817.0,7637.0,14761.0,17722.0,37331.0,6381.0
Zysk operacyjny (EBIT),-48732.0,-7169.0,21182.0,58881.0,121858.0,181230.0,84333.0,-144767.0,-116578.0,-237450.0,23931.0,49062.0,47419.0,21418.0,-24626.0,10022.0,33912.0,39905.0,36413.0,24624.0
Przychody finansowe,38864.0,2315.0,6251.0,13898.0,27719.0,26916.0,17217.0,13857.0,13182.0,2759.0,8780.0,5050.0,11012.0,16438.0,7809.0,13587.0,5185.0,7744.0,8482.0,19776.0
Koszty finansowe,31563.0,14488.0,8248.0,10440.0,30110.0,38655.0,13569.0,18192.0,33562.0,32936.0,28404.0,13068.0,17834.0,10935.0,19930.0,15553.0,27104.0,12231.0,17562.0,18764.0
Pozostałe przychody (koszty),1036.0,384.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-40395.0,-18958.0,19534.0,62339.0,119467.0,169491.0,87981.0,-149102.0,-136958.0,-267627.0,4307.0,41044.0,40597.0,26921.0,-36747.0,8056.0,11993.0,35418.0,27333.0,25636.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-40395.0,-18958.0,19534.0,62339.0,119467.0,169491.0,87981.0,-149102.0,-136958.0,-267627.0,4307.0,41044.0,40597.0,26921.0,-36747.0,8056.0,11993.0,35418.0,27333.0,25636.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37939.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-41846.0,-29836.0,18052.0,58618.0,92294.0,126000.0,65897.0,-128304.0,-118090.0,-314380.0,-8738.0,32466.0,14526.0,-4998.0,-46266.0,-3.0,8080.0,24708.0,19263.0,17279.0
Zysk netto akcjonariuszy jednostki dominującej,-46846.0,-29256.0,16988.0,52947.0,81111.0,117309.0,62488.0,-124530.0,-114273.0,-287919.0,-11549.0,31832.0,16512.0,2519.0,-42775.0,-794.0,5825.0,14996.0,18011.0,17279.0
Aktywa trwałe,167619.0,158037.0,165526.0,184208.0,246409.0,361796.0,406534.0,436462.0,406904.0,377088.0,232100.0,203859.0,152452.0,124587.0,88211.0,112421.0,130705.0,130571.0,206323.0,294158.0
