,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,78536.0,108359.0,170873.0,170018.0,226879.0,362799.0,231766.0,423193.0,715416.0,858522.0,854446.0,1085215.0,1005660.0
Techniczny koszt wytworzenia produkcji sprzedanej,46078.0,70111.0,105638.0,121319.0,154495.0,268051.0,95153.0,326453.0,576272.0,677599.0,637003.0,721685.0,650387.0
Koszty sprzedaży,1817.0,5396.0,9881.0,11319.0,0.0,0.0,0.0,13648.0,17733.0,20536.0,36776.0,30692.0,29537.0
Koszty ogólnego zarządu,8915.0,9083.0,14396.0,18554.0,0.0,0.0,0.0,59146.0,56665.0,55318.0,48432.0,59287.0,58220.0
Zysk ze sprzedaży,21726.0,23769.0,40958.0,18826.0,72384.0,94748.0,136613.0,23946.0,64746.0,105069.0,132235.0,273551.0,267516.0
Pozostałe przychody operacyjne,2692.0,3533.0,2834.0,2078.0,6073.0,9264.0,4819.0,35909.0,42038.0,-5309.0,-1985.0,13347.0,-130.0
Pozostałe koszty operacyjne,2080.0,1981.0,3418.0,14095.0,6265.0,15228.0,7398.0,16002.0,5149.0,5391.0,10956.0,4583.0,12136.0
Zysk operacyjny (EBIT),22338.0,25321.0,40374.0,6809.0,72192.0,88784.0,134034.0,43853.0,101635.0,94369.0,119294.0,282315.0,255250.0
Przychody finansowe,-1806.0,2405.0,-7302.0,36950.0,-13620.0,-18609.0,-7424.0,9558.0,5890.0,6653.0,3499.0,6162.0,14297.0
Koszty finansowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19158.0,4672.0,14622.0,1957.0,3374.0,2304.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,20532.0,27726.0,33072.0,43759.0,58572.0,70175.0,126610.0,34253.0,102853.0,86400.0,120836.0,285103.0,267243.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,20532.0,27726.0,33072.0,43759.0,58572.0,70175.0,126610.0,34253.0,102853.0,86400.0,120836.0,285103.0,267243.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24483.0,-116841.0,-10475.0,0.0,0.0
Zysk netto,20896.0,26064.0,35228.0,48604.0,55175.0,67445.0,125852.0,20905.0,53486.0,-52855.0,82045.0,225965.0,212898.0
Zysk netto akcjonariuszy jednostki dominującej,20896.0,26064.0,34144.0,43543.0,51959.0,66832.0,126684.0,18781.0,52401.0,-41741.0,80382.0,224963.0,211832.0
Aktywa trwałe,3888.0,5537.0,97568.0,197840.0,331582.0,289797.0,503473.0,783351.0,349562.0,264587.0,203759.0,172804.0,72941.0
Wartości niematerialne i prawne,79.0,157.0,254.0,260.0,344.0,383.0,585.0,578.0,82228.0,9255.0,7547.0,8567.0,6521.0
Rzeczowe składniki majątku trwałego,1193.0,2302.0,4265.0,3420.0,3570.0,4274.0,3296.0,4268.0,22268.0,26992.0,8606.0,8274.0,5898.0
Należności długoterminowe,81.0,108.0,289.0,313.0,363.0,187.0,294.0,395.0,0.0,25875.0,12181.0,0.0,0.0
Inwestycje długoterminowe,2162.0,2717.0,90351.0,184990.0,320920.0,263948.0,492561.0,769904.0,168588.0,116126.0,90576.0,73666.0,120.0
Pozostałe aktywa trwałe,373.0,253.0,2409.0,8857.0,6385.0,21005.0,6737.0,8206.0,76478.0,86339.0,84849.0,82297.0,60402.0
Aktywa obrotowe,149625.0,208688.0,228006.0,198628.0,159784.0,240848.0,134050.0,195509.0,1256600.0,1257392.0,1032352.0,1448530.0,1656662.0
Zapasy,127378.0,169898.0,164549.0,149843.0,10486.0,12158.0,1264.0,959.0,782935.0,839123.0,786408.0,1019994.0,1243859.0
Należności krótkoterminowe,13511.0,15771.0,16048.0,19572.0,101204.0,128521.0,59549.0,104903.0,130308.0,110959.0,64326.0,133614.0,102245.0
Inwestycje krótkoterminowe,7830.0,14600.0,16173.0,20990.0,35499.0,76822.0,49242.0,43553.0,293840.0,266576.0,158268.0,292989.0,309055.0
Środki pieniężne i inne aktywa pieniężne,7830.0,10223.0,8825.0,7703.0,1606.0,13338.0,10747.0,4692.0,176329.0,165810.0,122002.0,267869.0,269522.0
Pozostałe aktywa obrotowe,906.0,8419.0,31186.0,8223.0,12595.0,23347.0,23995.0,43103.0,49517.0,40734.0,23350.0,1933.0,1503.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2991.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,153513.0,214225.0,325574.0,396468.0,491366.0,530645.0,637523.0,978860.0,1606162.0,1521979.0,1236111.0,1621334.0,1729603.0
Kapitał własny akcjonariuszy jednostki dominującej,58709.0,81677.0,115300.0,153899.0,206082.0,231650.0,324065.0,437395.0,238831.0,188035.0,273943.0,499933.0,436760.0
Kapitał (fundusz) podstawowy,1000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2040.0,2040.0,2040.0,2040.0,2040.0,2040.0,2040.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,42006.0,59642.0,82713.0,114576.0,155734.0,212067.0,265352.0,358602.0,45.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,0.0,163.0,1255.0,27442.0,7409.0,811.0,-16.0,-25.0,23211.0,-635.0,5885.0,5045.0,2770.0
Zobowiązania długoterminowe,17504.0,40273.0,66463.0,62276.0,47433.0,59728.0,194535.0,230665.0,332775.0,119892.0,78345.0,345108.0,411181.0
Z tytułu dostaw i usług,13129.0,22418.0,59076.0,38588.0,54156.0,40457.0,15897.0,8143.0,124067.0,108904.0,73970.0,105350.0,75340.0
Kredyty i pożyczki,18302.0,39524.0,30025.0,46686.0,68534.0,54115.0,55313.0,196595.0,119381.0,136777.0,196750.0,48142.0,46675.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213870.0,288577.0,88124.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,8606.0,182.0,5267.0,28887.0,37810.0,54600.0,260.0,50955.0,1137.0,16816.0,6291.0,10423.0,12567.0
Inne zobowiązania długoterminowe,953.0,1880.0,1864.0,1913.0,2490.0,7289.0,2623.0,3184.0,71866.0,73929.0,59860.0,67040.0,44550.0
Zobowiązania krótkoterminowe,77300.0,92112.0,142556.0,152851.0,230442.0,238456.0,118939.0,310825.0,1011345.0,1214687.0,877938.0,771248.0,878892.0
Inne zobowiązania krótkoterminowe,37263.0,29988.0,48188.0,38690.0,69942.0,89284.0,47469.0,55132.0,552890.0,663613.0,512803.0,607333.0,744310.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,153513.0,214225.0,325574.0,396468.0,491366.0,530645.0,637523.0,978860.0,1606162.0,1521979.0,1236111.0,1621334.0,1729603.0
Przepływy pieniężne z działalności operacyjnej,650.0,-23812.0,75498.0,10666.0,12070.0,-2074.0,-53392.0,-190160.0,163108.0,319921.0,254882.0,184463.0,159106.0
Amortyzacja,525.0,409.0,658.0,746.0,965.0,1315.0,1374.0,1237.0,4512.0,4733.0,4653.0,4428.0,4359.0
Przepływy pieniężne z działalności inwestycyjnej,-79.0,-703.0,-90953.0,-49436.0,5452.0,-15113.0,-3656.0,-49922.0,121217.0,26131.0,-10639.0,21530.0,765.0
CAPEX (niematerialne i rzeczowe),201.0,1649.0,2825.0,849.0,911.0,1111.0,1491.0,1229.0,1938.0,996.0,1307.0,321.0,2690.0
Przepływy pieniężne z działalności finansowej,6541.0,26908.0,14056.0,37649.0,-18420.0,28920.0,54456.0,240710.0,-204215.0,-356572.0,-288054.0,-60126.0,-158218.0
Emisja akcji,0.0,1000.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,4000.0,0.0,0.0,5826.0,8799.0,26953.0,10000.0,12089.0,0.0,0.0,0.0,201204.0
Przepływy pieniężne razem,7112.0,2393.0,-1399.0,-1121.0,-898.0,11733.0,-2592.0,628.0,80110.0,-10520.0,-43811.0,145867.0,1653.0
