,0,1,2,3,4,5,6,7,8,9
Period,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,0.0,269759.0,225634.0,185724.0,266129.0,290784.0,431385.0,393735.0,588585.0,377511.0
Techniczny koszt wytworzenia produkcji sprzedanej,4.0,243288.0,200209.0,147593.0,204077.0,223801.0,325635.0,281929.0,445729.0,259033.0
Koszty sprzedaży,0.0,0.0,0.0,7833.0,9484.0,8382.0,6295.0,6269.0,7448.0,7810.0
Koszty ogólnego zarządu,0.0,0.0,0.0,24531.0,26464.0,34630.0,40822.0,34866.0,36348.0,30472.0
Zysk ze sprzedaży,-4.0,26471.0,25425.0,5767.0,26104.0,23971.0,58633.0,70671.0,99060.0,80196.0
Pozostałe przychody operacyjne,0.0,11772.0,39753.0,35632.0,23097.0,74376.0,38930.0,53687.0,40863.0,7878.0
Pozostałe koszty operacyjne,1.0,25188.0,17838.0,4980.0,4156.0,7823.0,7991.0,7881.0,18299.0,7022.0
Zysk operacyjny (EBIT),-5.0,13055.0,47340.0,36419.0,45045.0,90524.0,89572.0,116477.0,121624.0,81052.0
Przychody finansowe,0.0,0.0,0.0,3970.0,12756.0,5634.0,15368.0,4113.0,9888.0,12892.0
Koszty finansowe,0.0,9546.0,10182.0,18480.0,1894.0,6506.0,5197.0,6818.0,20521.0,25385.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-5.0,3509.0,37158.0,21909.0,55907.0,89652.0,99743.0,113772.0,110991.0,68559.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-5.0,3509.0,37158.0,21909.0,55907.0,89652.0,99743.0,113772.0,110991.0,68559.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-4.0,2444.0,40096.0,38210.0,47309.0,69887.0,80445.0,95973.0,89903.0,55277.0
Zysk netto akcjonariuszy jednostki dominującej,-4.0,2444.0,40096.0,38210.0,47309.0,69887.0,80445.0,95673.0,89903.0,55277.0
Aktywa trwałe,1.0,2.0,114486.0,178995.0,228281.0,262443.0,215903.0,264420.0,399755.0,338899.0
Wartości niematerialne i prawne,0.0,0.0,445.0,982.0,760.0,821.0,137.0,89.0,249.0,161.0
Rzeczowe składniki majątku trwałego,0.0,0.0,6479.0,5831.0,5310.0,50146.0,46044.0,67871.0,129531.0,128520.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,98444.0,164612.0,214329.0,196678.0,151241.0,175339.0,247177.0,185945.0
Pozostałe aktywa trwałe,1.0,2.0,9118.0,7570.0,7882.0,14798.0,18481.0,21121.0,22798.0,24273.0
Aktywa obrotowe,100.0,447.0,549752.0,714438.0,743285.0,1012466.0,1097988.0,1285371.0,977601.0,1122338.0
Zapasy,0.0,0.0,338983.0,472665.0,547228.0,724242.0,853775.0,1008332.0,768204.0,812328.0
Należności krótkoterminowe,0.0,47.0,18127.0,13397.0,23992.0,48894.0,53468.0,49381.0,41106.0,23289.0
Inwestycje krótkoterminowe,100.0,400.0,192642.0,228376.0,153360.0,175956.0,190745.0,218181.0,168291.0,286721.0
Środki pieniężne i inne aktywa pieniężne,100.0,400.0,192642.0,37203.0,109628.0,127219.0,142509.0,182974.0,132614.0,239537.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,18705.0,63374.0,0.0,9477.0,0.0,0.0
Aktywa razem,101.0,449.0,664238.0,893433.0,971566.0,1274909.0,1313891.0,1549791.0,1377356.0,1461237.0
Kapitał własny akcjonariuszy jednostki dominującej,96.0,433.0,341302.0,366029.0,413338.0,483225.0,556589.0,612692.0,655111.0,710388.0
Kapitał (fundusz) podstawowy,100.0,100.0,0.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,317922.0,324376.0,371685.0,427572.0,475033.0,523555.0,613458.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,174779.0,302492.0,282041.0,326325.0,259296.0,296070.0,411582.0,366036.0
Z tytułu dostaw i usług,1.0,13.0,48482.0,31397.0,46076.0,51485.0,53334.0,58336.0,45982.0,39480.0
Kredyty i pożyczki,0.0,0.0,0.0,33787.0,0.0,27975.0,63260.0,20954.0,12.0,5219.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,28365.0,7755.0,74911.0,83695.0,49385.0,52330.0,19035.0,111529.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,197.0,250.0,161.0,1368.0,29952.0,21822.0,5034.0,6234.0
Inne zobowiązania długoterminowe,0.0,0.0,29501.0,13089.0,15628.0,32142.0,26126.0,24524.0,28321.0,32142.0
Zobowiązania krótkoterminowe,5.0,16.0,148157.0,224912.0,276187.0,465359.0,498006.0,641029.0,310663.0,384813.0
Inne zobowiązania krótkoterminowe,4.0,3.0,71113.0,151723.0,155039.0,300836.0,302075.0,487587.0,240600.0,222351.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,101.0,449.0,664238.0,893433.0,971566.0,1274909.0,1313891.0,1549791.0,1377356.0,1461237.0
Przepływy pieniężne z działalności operacyjnej,0.0,300.0,52836.0,-53236.0,-24912.0,-26922.0,-48753.0,67057.0,84594.0,64423.0
Amortyzacja,0.0,1452.0,1632.0,1339.0,1255.0,3146.0,3221.0,3013.0,7534.0,9575.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,0.0,60036.0,-37864.0,-55922.0,44977.0,123662.0,12585.0,-50196.0,29990.0
CAPEX (niematerialne i rzeczowe),0.0,0.0,2776.0,700.0,13503.0,90820.0,24884.0,74886.0,53300.0,5212.0
Przepływy pieniężne z działalności finansowej,100.0,0.0,-64966.0,126834.0,5818.0,4541.0,-60120.0,-52206.0,-84288.0,24017.0
Emisja akcji,100.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,7081.0,39570.0,47484.0,0.0
Przepływy pieniężne razem,100.0,300.0,47906.0,35734.0,-75016.0,22596.0,14789.0,27436.0,-49890.0,118430.0
