,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,307836.0,555432.0,643672.0,492484.0,540682.0,640570.0,657028.0,697591.0,725556.0,730937.0,595391.0,463829.0,385547.0,539084.0,790985.0,1152274.0,1245707.0,1657407.0
Techniczny koszt wytworzenia produkcji sprzedanej,284373.0,511461.0,580890.0,448620.0,512025.0,600910.0,614563.0,659180.0,684468.0,692901.0,569959.0,442086.0,360841.0,507628.0,747969.0,1089312.0,1175874.0,1559961.0
Koszty sprzedaży,19583.0,35088.0,50833.0,41287.0,32412.0,27717.0,28970.0,24533.0,24821.0,21126.0,18963.0,17461.0,16193.0,20188.0,27212.0,37113.0,35590.0,59048.0
Koszty ogólnego zarządu,1601.0,5383.0,5495.0,5353.0,4301.0,4263.0,4330.0,4537.0,4411.0,4474.0,4673.0,4392.0,4959.0,5180.0,5739.0,6732.0,7566.0,8439.0
Zysk ze sprzedaży,2279.0,3500.0,6454.0,-2776.0,-8056.0,7680.0,9165.0,9341.0,11856.0,12436.0,1796.0,-110.0,3554.0,6088.0,10065.0,19117.0,26677.0,29959.0
Pozostałe przychody operacyjne,4153.0,6125.0,14348.0,7281.0,10785.0,2478.0,8052.0,8920.0,13272.0,9545.0,12481.0,9101.0,15313.0,3675.0,6735.0,7893.0,5604.0,7514.0
Pozostałe koszty operacyjne,2646.0,8999.0,10591.0,6776.0,8650.0,4304.0,13029.0,11869.0,17578.0,13336.0,7139.0,7943.0,13352.0,3666.0,3212.0,3709.0,3301.0,7193.0
Zysk operacyjny (EBIT),3786.0,626.0,10211.0,-2271.0,-5921.0,5854.0,4188.0,6392.0,7550.0,8645.0,7138.0,1048.0,5515.0,6097.0,13588.0,23301.0,28980.0,30280.0
Przychody finansowe,2353.0,7803.0,1651.0,476.0,373.0,240.0,1266.0,393.0,918.0,1362.0,177.0,2070.0,1741.0,790.0,95.0,851.0,1148.0,12689.0
Koszty finansowe,0.0,0.0,6115.0,2492.0,2437.0,4852.0,1639.0,4129.0,3768.0,2936.0,3231.0,1138.0,1608.0,1099.0,3018.0,2883.0,9760.0,13071.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,282.0,-22.0,27.0,31.0,66.0,-321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,6139.0,8429.0,5747.0,-4287.0,-7703.0,1220.0,3842.0,2687.0,4766.0,6750.0,4084.0,1980.0,5648.0,5788.0,10665.0,21269.0,20368.0,29898.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,6139.0,8429.0,5747.0,-4287.0,-7703.0,1220.0,3842.0,2687.0,4766.0,6750.0,4084.0,1980.0,5648.0,5788.0,10665.0,21269.0,20368.0,29898.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,4949.0,8468.0,3888.0,-4015.0,-6689.0,776.0,2391.0,2113.0,2942.0,5737.0,3411.0,1613.0,4688.0,4696.0,8547.0,17908.0,16503.0,24558.0
Zysk netto akcjonariuszy jednostki dominującej,4958.0,8521.0,4101.0,-3941.0,-6628.0,776.0,2391.0,2113.0,2942.0,5737.0,3411.0,1613.0,4688.0,4696.0,8547.0,17908.0,16503.0,24558.0
Aktywa trwałe,40465.0,52285.0,56498.0,60167.0,66651.0,66290.0,65392.0,65710.0,59645.0,60681.0,57657.0,56789.0,55529.0,54271.0,56648.0,57391.0,56702.0,60430.0
Wartości niematerialne i prawne,31522.0,32130.0,31980.0,31652.0,31589.0,31598.0,31601.0,31583.0,31876.0,31727.0,31689.0,31646.0,31585.0,31576.0,32070.0,31782.0,31579.0,31585.0
Rzeczowe składniki majątku trwałego,6734.0,10554.0,13971.0,23898.0,22985.0,22388.0,22098.0,21721.0,21089.0,20560.0,19461.0,19067.0,18335.0,19117.0,18815.0,18637.0,18470.0,18631.0
Należności długoterminowe,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,1701.0,8804.0,8774.0,2773.0,9237.0,9775.0,9745.0,9819.0,4407.0,3215.0,3215.0,3215.0,2293.0,2221.0,2219.0,2543.0,2580.0,2914.0
Pozostałe aktywa trwałe,508.0,777.0,1753.0,1824.0,2840.0,2529.0,1948.0,2587.0,2273.0,5179.0,3292.0,2861.0,3316.0,1357.0,3544.0,4429.0,4073.0,7300.0
Aktywa obrotowe,138081.0,211930.0,175602.0,135715.0,167943.0,112849.0,180995.0,206700.0,181257.0,237188.0,184458.0,118780.0,124797.0,133945.0,216710.0,308006.0,322772.0,403589.0
Zapasy,45801.0,69282.0,69018.0,57731.0,50373.0,30870.0,53673.0,56352.0,44464.0,62003.0,73470.0,36343.0,43538.0,47862.0,83290.0,133765.0,154358.0,139794.0
Należności krótkoterminowe,76367.0,125864.0,98611.0,72508.0,96892.0,75657.0,94701.0,128863.0,106250.0,81589.0,85581.0,63369.0,58632.0,69377.0,109994.0,143384.0,125858.0,225900.0
Inwestycje krótkoterminowe,14123.0,11932.0,4330.0,1430.0,12745.0,2157.0,26976.0,13668.0,18228.0,73756.0,16644.0,10404.0,11056.0,10821.0,14870.0,20238.0,30333.0,17415.0
Środki pieniężne i inne aktywa pieniężne,14046.0,11932.0,3613.0,1430.0,12745.0,2157.0,26976.0,13668.0,18228.0,73706.0,16494.0,10284.0,11056.0,10821.0,14870.0,20238.0,30333.0,17415.0
Pozostałe aktywa obrotowe,1790.0,4852.0,3643.0,3976.0,7933.0,4165.0,5645.0,7817.0,12315.0,19840.0,8763.0,8664.0,11571.0,5885.0,8556.0,10619.0,12223.0,20480.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,178546.0,264215.0,232100.0,195882.0,234594.0,179139.0,246387.0,272410.0,240902.0,297869.0,242115.0,175569.0,180326.0,188216.0,273358.0,365397.0,379474.0,464019.0
Kapitał własny akcjonariuszy jednostki dominującej,71624.0,125253.0,127200.0,121459.0,120021.0,121187.0,123521.0,123992.0,126934.0,130452.0,128774.0,130387.0,133264.0,137235.0,144081.0,159949.0,173557.0,196895.0
Kapitał (fundusz) podstawowy,66536.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-761.0,-761.0,-761.0
Kapitał (fundusz) zapasowy,10.0,30309.0,40531.0,39665.0,37341.0,37341.0,33526.0,33526.0,33526.0,34193.0,34165.0,36226.0,36349.0,39393.0,43141.0,25201.0,26289.0,26289.0
Udziały niekontrolujące,2.0,255.0,43.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,590.0,579.0,2850.0,2615.0,3715.0,3397.0,3389.0,3270.0,1448.0,4849.0,3630.0,2155.0,2454.0,504.0,391.0,356.0,275.0,316.0
Z tytułu dostaw i usług,72508.0,106738.0,93107.0,60359.0,86892.0,42874.0,87702.0,83338.0,51931.0,130767.0,68158.0,10236.0,16332.0,29291.0,73927.0,162334.0,125472.0,181747.0
