,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-51.29,-97.61,388.68,39.77,2623.76,24.7,4.1,-72.31,-2.74,45.78,14.21,-46.56,60.74,-68.01,-74.64,2031.25,19.58,-7.32,11.98
Techniczny koszt wytworzenia produkcji sprzedanej,,-27.08,-97.91,413.41,-16.54,175.1,431.94,69.0,-28.68,-46.79,-28.84,92.56,-56.2,-1.23,-14.48,-79.37,795.48,56.01,-59.87,-1.3
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,-100.0,,,,,,,,,,,,,
Zysk ze sprzedaży,,11.67,98.01,-423.81,38.64,1734.07,-83.82,-676.1,-61.83,62.42,97.39,-4110.2,69.61,152.79,-413.14,82.97,604.82,-118.29,1703.07,22.71
Pozostałe przychody operacyjne,,-53.85,-100.0,,104.92,1700.0,40.74,-84.21,250.0,645.24,21.73,32.81,-46.64,-34.44,824.29,-96.27,1268.85,366.47,-98.87,-2.27
Pozostałe koszty operacyjne,,,,,,,321.38,6.71,434.49,-86.05,435.14,39.17,-81.35,-42.96,1346.38,-86.92,57.75,146.16,-88.4,-100.0
Zysk operacyjny (EBIT),,-57.99,-100.41,-472.22,44.24,1691.04,-100.25,-46143.75,-124.03,73.67,-6.94,-125.18,78.41,104.67,-10514.15,84.79,125.55,-523.54,355.64,38.99
Przychody finansowe,,,,,,,64.25,91.33,18.37,-37.62,-33.87,-29.33,9.96,5.18,-78.22,-91.69,-56.0,4427.27,-67.67,28.57
Koszty finansowe,,,,,,,283.8,553.49,21.84,-59.63,-31.48,52.06,-46.95,70.73,-89.51,-38.9,-79.25,-100.0,,-77.77
Pozostałe przychody (koszty),,,,,,,,-137.35,189.26,-501.2,23.87,84.16,120.73,-186.48,-197.8,109.35,-100.0,,,
