,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,,43.97,54.06,107.64,-10.23,-0.83
Techniczny koszt wytworzenia produkcji sprzedanej,,,43.44,51.95,103.28,-5.2,-4.28
Koszty sprzedaży,,,-20.64,-21.7,47.24,80.63,34.32
Koszty ogólnego zarządu,,,23.5,31.56,384.08,-38.23,4.48
Zysk ze sprzedaży,,,93.78,115.9,60.98,-65.17,139.61
Pozostałe przychody operacyjne,,,-192.28,316.53,-205.99,298.45,-288.79
Pozostałe koszty operacyjne,,,47.35,-69.32,100.84,272.04,-55.51
Zysk operacyjny (EBIT),,,81.74,141.04,53.81,-64.95,120.83
Przychody finansowe,,,-1.3,-14.77,41.49,99.96,-37.83
Koszty finansowe,,,93.24,16.7,79.33,503.51,-30.71
Pozostałe przychody (koszty),,,,,,-394.23,-45.91
Zysk z działalności gospodarczej,,,64.12,129.82,52.04,-80.88,238.48
Wynik zdarzeń nadzwyczajnych,,,,,,,
Zysk przed opodatkowaniem,,,64.12,129.82,52.04,-80.88,238.48
Zysk (strata) netto z działalności zaniechanej,,,,,,,
Zysk netto,,,62.35,139.52,40.94,-84.47,365.47
Zysk netto akcjonariuszy jednostki dominującej,,,62.35,139.52,40.94,-84.47,365.47
Aktywa trwałe,,45.29,13.87,16.45,52.59,36.49,9.41
Wartości niematerialne i prawne,,,,,-0.88,131.36,-4.28
Rzeczowe składniki majątku trwałego,,53.42,55.94,-3.83,-2.02,41.11,-16.36
Należności długoterminowe,,-48.73,-63.98,-77.34,175.16,-21.99,29.97
Inwestycje długoterminowe,,185.54,-69.58,20.17,598.65,54.66,4.94
Pozostałe aktywa trwałe,,-42.38,219.54,68.2,-36.92,-41.66,199.64
Aktywa obrotowe,,-17.51,77.58,101.86,54.43,3.65,6.53
Zapasy,,-36.67,4.81,188.97,236.12,140.68,-14.79
Należności krótkoterminowe,,31.4,40.55,69.37,87.28,30.62,-1.57
Inwestycje krótkoterminowe,,-51.98,174.99,129.52,3.0,-83.43,216.77
Środki pieniężne i inne aktywa pieniężne,,-52.08,157.51,65.56,-6.52,-89.37,487.01
Pozostałe aktywa obrotowe,,-19.19,-24.3,13.28,2373.62,-74.78,-11.38
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,
Aktywa razem,,-5.0,58.17,83.13,54.17,8.18,7.03
Kapitał własny akcjonariuszy jednostki dominującej,,-2.44,11.87,17.58,293.38,-6.84,10.74
Kapitał (fundusz) podstawowy,,0.0,0.0,0.0,20.46,0.0,-0.91
Udziały (akcje) własne,,,,,,,100.0
Kapitał (fundusz) zapasowy,,3.91,7.33,-18.04,637.78,6.75,6.86
Udziały niekontrolujące,,,,,,,
Zobowiązania długoterminowe,,138.29,106.2,19.9,35.99,48.86,-12.06
Z tytułu dostaw i usług,,-1.35,12.37,391.83,-17.54,22.22,-29.34
Kredyty i pożyczki,,17.61,77.48,-5.6,180.23,465.09,-73.04
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,
Inne zobowiązania długoterminowe,,50.55,102.03,85.34,76.39,33.6,14.13
Zobowiązania krótkoterminowe,,-17.21,105.08,138.7,-21.99,25.97,6.35
Inne zobowiązania krótkoterminowe,,-28.83,186.63,61.93,-32.97,-27.96,165.18
Rozliczenia międzyokresowe,,,,,,,
Pasywa razem,,-5.0,58.17,83.13,54.17,8.18,7.03
Przepływy pieniężne z działalności operacyjnej,,,914.63,119.12,-255.98,42.71,284.18
Amortyzacja,,,26.36,23.84,16.56,22.56,12.11
Przepływy pieniężne z działalności inwestycyjnej,,,173.47,-242.06,-218.35,41.91,34.36
CAPEX (niematerialne i rzeczowe),,,-80.59,-3.8,310.67,416.13,-84.89
Przepływy pieniężne z działalności finansowej,,,-36.35,-153.97,796.9,-91.48,-544.84
Emisja akcji,,,,,,,
Dywidenda,,,-40.0,233.34,61.36,-100.0,
Przepływy pieniężne razem,,,244.93,7.19,-116.47,-1181.24,157.91
