,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,0.0,264345.0,380576.0,586315.0,1217445.0,1092852.0,1083819.0
Techniczny koszt wytworzenia produkcji sprzedanej,0.0,242962.0,348514.0,529557.0,1076463.0,1020486.0,976833.0
Koszty sprzedaży,0.0,2364.0,1876.0,1469.0,2163.0,3907.0,5248.0
Koszty ogólnego zarządu,0.0,9489.0,11719.0,15418.0,74636.0,46101.0,48165.0
Zysk ze sprzedaży,0.0,9530.0,18467.0,39871.0,64183.0,22358.0,53573.0
Pozostałe przychody operacyjne,0.0,518.0,-478.0,1035.0,-1097.0,2177.0,-4110.0
Pozostałe koszty operacyjne,0.0,792.0,1167.0,358.0,719.0,2675.0,1190.0
Zysk operacyjny (EBIT),0.0,9256.0,16822.0,40548.0,62367.0,21860.0,48273.0
Przychody finansowe,0.0,2229.0,2200.0,1875.0,2653.0,5305.0,3298.0
Koszty finansowe,0.0,592.0,1144.0,1335.0,2394.0,14448.0,10011.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,-156.0,-771.0,-1125.0
Zysk z działalności gospodarczej,0.0,10893.0,17878.0,41088.0,62470.0,11946.0,40435.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,0.0,10893.0,17878.0,41088.0,62470.0,11946.0,40435.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,0.0,8430.0,13686.0,32781.0,46200.0,7174.0,33393.0
Zysk netto akcjonariuszy jednostki dominującej,0.0,8430.0,13686.0,32781.0,46200.0,7174.0,33393.0
Aktywa trwałe,26824.0,38972.0,44379.0,51680.0,78861.0,107634.0,117757.0
Wartości niematerialne i prawne,0.0,0.0,0.0,682.0,676.0,1564.0,1497.0
Rzeczowe składniki majątku trwałego,11815.0,18127.0,28268.0,27184.0,26634.0,37584.0,31434.0
Należności długoterminowe,3753.0,1924.0,693.0,157.0,432.0,337.0,438.0
Inwestycje długoterminowe,5456.0,15579.0,4739.0,5695.0,39788.0,61538.0,64579.0
Pozostałe aktywa trwałe,5800.0,3342.0,10679.0,17962.0,11331.0,6611.0,19809.0
Aktywa obrotowe,107841.0,88957.0,157971.0,318878.0,492431.0,510385.0,543734.0
Zapasy,9941.0,6296.0,6599.0,19069.0,64094.0,154259.0,131442.0
Należności krótkoterminowe,42584.0,55955.0,78646.0,133201.0,249459.0,325835.0,320708.0
Inwestycje krótkoterminowe,54873.0,26348.0,72455.0,166301.0,171284.0,28376.0,89887.0
Środki pieniężne i inne aktywa pieniężne,54828.0,26274.0,67657.0,112014.0,104710.0,11128.0,65322.0
Pozostałe aktywa obrotowe,443.0,358.0,271.0,307.0,7594.0,1915.0,1697.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,134665.0,127929.0,202350.0,370558.0,571292.0,618019.0,661491.0
Kapitał własny akcjonariuszy jednostki dominującej,66115.0,64501.0,72158.0,84842.0,333751.0,310925.0,344318.0
Kapitał (fundusz) podstawowy,914.0,914.0,914.0,914.0,1101.0,1101.0,1091.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,-30000.0,0.0
Kapitał (fundusz) zapasowy,35497.0,36886.0,39591.0,32450.0,239410.0,255580.0,273109.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,4291.0,10225.0,21084.0,25280.0,34379.0,51175.0,45004.0
Z tytułu dostaw i usług,23698.0,23379.0,26270.0,129205.0,106539.0,130207.0,92001.0
Kredyty i pożyczki,2061.0,2424.0,4302.0,4061.0,11380.0,64307.0,17337.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,2354.0,3544.0,7160.0,13270.0,23407.0,31272.0,35691.0
Zobowiązania krótkoterminowe,64259.0,53203.0,109108.0,260436.0,203162.0,255919.0,272169.0
Inne zobowiązania krótkoterminowe,38500.0,27400.0,78536.0,127170.0,85243.0,61405.0,162831.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,134665.0,127929.0,202350.0,370558.0,571292.0,618019.0,661491.0
Przepływy pieniężne z działalności operacyjnej,0.0,-4893.0,39860.0,87340.0,-136230.0,-78047.0,143746.0
Amortyzacja,0.0,3619.0,4573.0,5663.0,6601.0,8090.0,9070.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,-16102.0,11830.0,-16806.0,-53502.0,-31080.0,-20401.0
CAPEX (niematerialne i rzeczowe),0.0,7729.0,1500.0,1443.0,5926.0,30586.0,4622.0
Przepływy pieniężne z działalności finansowej,0.0,-7559.0,-10307.0,-26177.0,182428.0,15545.0,-69151.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,10049.0,6029.0,20097.0,32429.0,0.0,0.0
Przepływy pieniężne razem,0.0,-28554.0,41383.0,44357.0,-7304.0,-93582.0,54194.0
