,0,1,2,3,4,5,6,7
Period,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,17090.0,26918.0,24540.0,38670.0,42954.0,62630.0,76447.0,89345.0
Techniczny koszt wytworzenia produkcji sprzedanej,16867.0,24121.0,23786.0,36833.0,39916.0,55668.0,71705.0,84629.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,223.0,2797.0,754.0,1837.0,3038.0,6962.0,4742.0,4716.0
Pozostałe przychody operacyjne,78.0,217.0,253.0,446.0,1185.0,3942.0,1671.0,781.0
Pozostałe koszty operacyjne,23.0,352.0,184.0,280.0,726.0,2261.0,497.0,691.0
Zysk operacyjny (EBIT),278.0,2662.0,823.0,2003.0,3497.0,8643.0,5916.0,4806.0
Przychody finansowe,16.0,96.0,22.0,100.0,28.0,51.0,78.0,16.0
Koszty finansowe,127.0,218.0,128.0,318.0,513.0,211.0,204.0,875.0
Pozostałe przychody (koszty),0.0,0.0,0.0,-207.0,-228.0,-228.0,-137.0,-20.0
Zysk z działalności gospodarczej,167.0,2540.0,717.0,1578.0,2784.0,8255.0,5653.0,3927.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,167.0,2540.0,717.0,1578.0,2784.0,8255.0,5653.0,3927.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,124.0,2081.0,431.0,799.0,2168.0,6887.0,4853.0,2471.0
Zysk netto akcjonariuszy jednostki dominującej,124.0,2081.0,262.0,786.0,1972.0,6110.0,4323.0,1622.0
Aktywa trwałe,1806.0,1555.0,3472.0,3263.0,10325.0,9734.0,15356.0,16383.0
Wartości niematerialne i prawne,838.0,533.0,2068.0,2289.0,8848.0,6688.0,10399.0,10212.0
Rzeczowe składniki majątku trwałego,653.0,400.0,966.0,878.0,1260.0,1772.0,2169.0,2738.0
Należności długoterminowe,0.0,183.0,0.0,0.0,0.0,0.0,322.0,740.0
Inwestycje długoterminowe,122.0,0.0,229.0,63.0,68.0,5.0,4.0,0.0
Pozostałe aktywa trwałe,193.0,439.0,209.0,33.0,149.0,1269.0,2462.0,2693.0
Aktywa obrotowe,5327.0,14047.0,13235.0,35063.0,19269.0,43147.0,57728.0,54546.0
Zapasy,1081.0,97.0,125.0,56.0,1754.0,161.0,145.0,2063.0
Należności krótkoterminowe,3193.0,10619.0,7981.0,12690.0,9274.0,26134.0,11263.0,24390.0
Inwestycje krótkoterminowe,1027.0,2197.0,2596.0,15541.0,5177.0,10174.0,32001.0,16849.0
Środki pieniężne i inne aktywa pieniężne,1027.0,2197.0,2538.0,15541.0,5177.0,10174.0,32001.0,16803.0
Pozostałe aktywa obrotowe,26.0,1134.0,2533.0,6776.0,3064.0,6678.0,14319.0,11244.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,7133.0,15602.0,16707.0,38326.0,29594.0,52881.0,73084.0,70929.0
Kapitał własny akcjonariuszy jednostki dominującej,4092.0,7472.0,7397.0,8087.0,9963.0,15939.0,18329.0,19951.0
Kapitał (fundusz) podstawowy,127.0,127.0,192.0,192.0,192.0,192.0,205.0,205.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,3841.0,3965.0,7017.0,7095.0,7728.0,8906.0,2968.0,2968.0
Udziały niekontrolujące,0.0,0.0,-311.0,111.0,339.0,1116.0,1472.0,2321.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,452.0,177.0,849.0,644.0
Z tytułu dostaw i usług,2392.0,6322.0,3520.0,14296.0,10585.0,20184.0,27634.0,24436.0
Kredyty i pożyczki,0.0,0.0,2990.0,8540.0,1690.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,1512.0,1009.0,113.0,276.0,514.0,558.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,286.0,30.0
Zobowiązania krótkoterminowe,2662.0,8033.0,8861.0,25566.0,13274.0,25825.0,52434.0,48013.0
Inne zobowiązania krótkoterminowe,270.0,1711.0,839.0,1721.0,886.0,5365.0,24286.0,23019.0
Rozliczenia międzyokresowe,379.0,97.0,760.0,4562.0,5566.0,9824.0,0.0,0.0
Pasywa razem,7133.0,15602.0,16707.0,38326.0,29594.0,52881.0,73084.0,70929.0
Przepływy pieniężne z działalności operacyjnej,-60.0,-1124.0,-1194.0,7989.0,1748.0,8056.0,28205.0,-9350.0
Amortyzacja,570.0,577.0,488.0,654.0,2062.0,3204.0,2910.0,5344.0
Przepływy pieniężne z działalności inwestycyjnej,-192.0,-19.0,-1373.0,-145.0,-3423.0,-1032.0,-5211.0,-5099.0
CAPEX (niematerialne i rzeczowe),80.0,19.0,1133.0,100.0,3423.0,1104.0,-5635.0,5163.0
Przepływy pieniężne z działalności finansowej,289.0,2313.0,2907.0,5159.0,-8689.0,-2018.0,-1167.0,-749.0
Emisja akcji,400.0,1130.0,24.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,211.0,96.0,96.0,134.0,0.0,0.0
Przepływy pieniężne razem,37.0,1170.0,340.0,13003.0,-10364.0,5006.0,21827.0,-15198.0
