,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,59.54,19.39,23.63,73.74,-4.89,-12.46
Techniczny koszt wytworzenia produkcji sprzedanej,,110.5,46.75,3.13,36.22,-5.61,15.03
Koszty sprzedaży,,,,,,,
Koszty ogólnego zarządu,,52.18,74.68,20.32,85.56,52.42,22.01
Zysk ze sprzedaży,,0.3,-80.31,428.77,199.74,-42.51,-150.32
Pozostałe przychody operacyjne,,48.21,32.78,171.07,9.84,-87.78,-3.42
Pozostałe koszty operacyjne,,1092.39,10.94,-33.61,64.48,-31.68,7833.04
Zysk operacyjny (EBIT),,-0.99,-71.26,382.54,140.94,-49.59,-378.18
Przychody finansowe,,,-96.87,5381.48,173.92,-56.31,26.93
Koszty finansowe,,-89.38,469.05,-14.02,208.52,90.38,191.3
Pozostałe przychody (koszty),,,,,,,
Zysk z działalności gospodarczej,,7.76,-74.77,449.42,141.73,-52.77,-399.77
Wynik zdarzeń nadzwyczajnych,,,,,,,
Zysk przed opodatkowaniem,,7.76,-74.77,449.42,141.73,-52.77,-399.77
Zysk (strata) netto z działalności zaniechanej,,,,,,,
Zysk netto,,13.62,-69.65,409.09,149.51,-64.15,-443.77
Zysk netto akcjonariuszy jednostki dominującej,,13.62,-69.65,409.09,149.67,-69.57,-510.87
Aktywa trwałe,,-2.22,-5.16,172.08,526.52,81.82,24.16
Wartości niematerialne i prawne,,-21.05,9.46,10.96,1600.04,117.39,18.39
Rzeczowe składniki majątku trwałego,,34.37,-26.74,461.95,162.03,7.23,-2.32
Należności długoterminowe,,,,,,,
Inwestycje długoterminowe,,,,-100.0,,-100.0,
Pozostałe aktywa trwałe,,,,,690.36,-23.93,4368.14
Aktywa obrotowe,,59.97,-4.53,47.32,152.8,-35.77,87.54
Zapasy,,,,,,,
Należności krótkoterminowe,,30.26,33.45,48.37,62.48,1.08,27.02
Inwestycje krótkoterminowe,,78.63,-21.56,42.4,230.58,-50.41,134.49
Środki pieniężne i inne aktywa pieniężne,,78.63,-21.56,41.81,231.95,-50.41,82.42
Pozostałe aktywa obrotowe,,-17.19,24.53,959.85,-33.95,10.61,156.65
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,
Aktywa razem,,48.11,-4.6,62.94,230.93,10.77,46.37
Kapitał własny akcjonariuszy jednostki dominującej,,61.85,6.39,47.92,236.47,5.77,55.25
Kapitał (fundusz) podstawowy,,0.0,0.0,0.0,8.91,0.0,20.03
Udziały (akcje) własne,,,,,,,
Kapitał (fundusz) zapasowy,,110.38,37.48,0.39,156.82,0.0,193.47
Udziały niekontrolujące,,,,,,155.79,-3.74
Zobowiązania długoterminowe,,37.24,-70.53,1778.92,186.87,45.14,-25.56
Z tytułu dostaw i usług,,20.79,-31.04,-31.78,154.4,15.03,18.56
Kredyty i pożyczki,,,,,1162.78,-71.62,-28.67
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,42.86,-47.7,776.92,-3.03,8.5,42.64
Inne zobowiązania długoterminowe,,69.1,-98.97,12500.0,214.76,205.24,-41.47
Zobowiązania krótkoterminowe,,8.92,-41.74,35.79,211.26,9.26,78.98
Inne zobowiązania krótkoterminowe,,-26.55,-80.99,-8.61,1644.04,95.41,164.5
Rozliczenia międzyokresowe,,,,,,,
Pasywa razem,,48.11,-4.6,62.94,230.93,10.77,46.37
Przepływy pieniężne z działalności operacyjnej,,-9.68,-91.04,793.03,275.93,-0.15,-79.38
Amortyzacja,,6.42,14.26,41.51,81.69,48.35,14.99
Przepływy pieniężne z działalności inwestycyjnej,,41.89,-53.27,-72.03,-1147.21,-33.02,-61.25
CAPEX (niematerialne i rzeczowe),,-39.42,47.05,72.06,318.16,302.12,28.21
Przepływy pieniężne z działalności finansowej,,-33.64,-593.82,136.8,5303.88,-115.09,1334.34
Emisja akcji,,,,,,-100.0,
Dywidenda,,,,-100.0,,75.79,-100.0
Przepływy pieniężne razem,,-3.15,-148.98,242.21,740.9,-170.69,184.35
