,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,44066.0,70302.0,83936.0,103769.0,180293.0,171485.0,150124.0
Techniczny koszt wytworzenia produkcji sprzedanej,20801.0,43787.0,64259.0,66268.0,90270.0,85202.0,98005.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,6129.0,9327.0,16292.0,19602.0,36373.0,55438.0,67641.0
Zysk ze sprzedaży,17136.0,17188.0,3385.0,17899.0,53650.0,30845.0,-15522.0
Pozostałe przychody operacyjne,1593.0,2361.0,3135.0,8498.0,9334.0,1141.0,1102.0
Pozostałe koszty operacyjne,92.0,1097.0,1217.0,808.0,1329.0,908.0,72032.0
Zysk operacyjny (EBIT),18637.0,18452.0,5303.0,25589.0,61655.0,31078.0,-86452.0
Przychody finansowe,0.0,862.0,27.0,1480.0,4054.0,1771.0,2248.0
Koszty finansowe,791.0,84.0,478.0,411.0,1268.0,2414.0,7032.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,17846.0,19230.0,4852.0,26658.0,64441.0,30435.0,-91236.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,17846.0,19230.0,4852.0,26658.0,64441.0,30435.0,-91236.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,14002.0,15909.0,4828.0,24579.0,61326.0,21984.0,-75575.0
Zysk netto akcjonariuszy jednostki dominującej,14002.0,15909.0,4828.0,24579.0,61367.0,18672.0,-76717.0
Aktywa trwałe,7929.0,7753.0,7353.0,20006.0,125342.0,227900.0,282964.0
Wartości niematerialne i prawne,5235.0,4133.0,4524.0,5020.0,85342.0,185526.0,219649.0
Rzeczowe składniki majątku trwałego,2694.0,3620.0,2652.0,14903.0,39051.0,41875.0,40902.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,117.0
Inwestycje długoterminowe,0.0,0.0,177.0,0.0,293.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,83.0,656.0,499.0,22296.0
Aktywa obrotowe,33639.0,53812.0,51377.0,75691.0,191350.0,122904.0,230497.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,12725.0,16575.0,22120.0,32819.0,53323.0,53899.0,68461.0
Inwestycje krótkoterminowe,20786.0,37131.0,29125.0,41473.0,137103.0,67983.0,159413.0
Środki pieniężne i inne aktywa pieniężne,20786.0,37131.0,29125.0,41302.0,137102.0,67983.0,124016.0
Pozostałe aktywa obrotowe,128.0,106.0,132.0,1399.0,924.0,1022.0,2623.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,41568.0,61565.0,58730.0,95697.0,316692.0,350804.0,513461.0
Kapitał własny akcjonariuszy jednostki dominującej,30042.0,48622.0,51731.0,76519.0,257461.0,272306.0,422756.0
Kapitał (fundusz) podstawowy,550.0,550.0,550.0,550.0,599.0,599.0,719.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,16342.0,34380.0,47267.0,47453.0,121869.0,121869.0,357653.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,2081.0,5323.0,5124.0
Zobowiązania długoterminowe,1372.0,1883.0,555.0,10428.0,29915.0,43418.0,32321.0
Z tytułu dostaw i usług,6716.0,8112.0,5594.0,3816.0,9708.0,11167.0,13240.0
Kredyty i pożyczki,0.0,0.0,0.0,583.0,7362.0,2089.0,1490.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,609.0,870.0,455.0,3990.0,3869.0,4198.0,5988.0
Inne zobowiązania długoterminowe,576.0,974.0,10.0,1260.0,3966.0,12106.0,7086.0
Zobowiązania krótkoterminowe,10154.0,11060.0,6444.0,8750.0,27235.0,29757.0,53260.0
Inne zobowiązania krótkoterminowe,2829.0,2078.0,395.0,361.0,6296.0,12303.0,32542.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,41568.0,61565.0,58730.0,95697.0,316692.0,350804.0,513461.0
Przepływy pieniężne z działalności operacyjnej,21805.0,19694.0,1765.0,15762.0,59254.0,59168.0,12200.0
Amortyzacja,3691.0,3928.0,4488.0,6351.0,11539.0,17118.0,19684.0
Przepływy pieniężne z działalności inwestycyjnej,-4287.0,-2491.0,-3818.0,-6568.0,-81917.0,-108970.0,-175717.0
CAPEX (niematerialne i rzeczowe),4287.0,2597.0,3819.0,6571.0,27477.0,110491.0,141657.0
Przepływy pieniężne z działalności finansowej,-642.0,-858.0,-5953.0,2191.0,118399.0,-17872.0,220601.0
Emisja akcji,0.0,0.0,0.0,0.0,129656.0,0.0,235327.0
Dywidenda,0.0,0.0,5000.0,0.0,5617.0,9874.0,0.0
Przepływy pieniężne razem,16876.0,16345.0,-8006.0,11385.0,95736.0,-67674.0,57084.0
