,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-10.18,28.74,4.19,-0.75,-4.04,5.57,16.14,15.86,0.14,-1.08,49.29,42.64,-24.01
Techniczny koszt wytworzenia produkcji sprzedanej,,-13.5,28.36,2.06,-1.48,-7.52,-3.2,16.49,11.98,8.33,0.64,32.26,33.18,-9.55
Koszty sprzedaży,,-16.0,19.42,26.61,0.72,-8.04,5.75,116.2,14.55,6.14,5.89,26.32,33.86,-18.26
Koszty ogólnego zarządu,,-19.73,11.61,12.54,5.92,16.19,26.07,-100.0,,,,,,
Zysk ze sprzedaży,,299.86,59.46,6.47,2.58,27.94,67.39,15.91,35.82,-37.06,-21.58,238.51,80.8,-63.47
Pozostałe przychody operacyjne,,-7.24,-63.64,79.62,-54.87,26.9,609.65,-85.47,-64.08,184.69,400.11,-4.33,-1.86,16.67
Pozostałe koszty operacyjne,,-71.65,415.15,143.55,-75.45,90.35,-100.0,,,,,,,
Zysk operacyjny (EBIT),,97.2,6.78,4.54,4.92,25.02,131.3,-14.15,30.81,-34.01,3.48,168.75,72.35,-58.8
Przychody finansowe,,-52.02,3862.79,-98.59,42.45,-34.96,-100.0,,,,,,,
Koszty finansowe,,26.63,-24.29,-32.3,-27.75,21.5,-7.77,24.44,36.73,43.35,-2.7,-19.81,-1.81,38.27
Pozostałe przychody (koszty),,145.0,-32.97,-41.64,453.37,-100.0,,,-272.78,4.42,115.91,376.24,-44.62,-63.23
Zysk z działalności gospodarczej,,103.94,472.34,-75.3,15.1,20.48,143.74,-17.27,27.2,-41.77,12.23,205.15,74.31,-61.45
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,103.94,472.34,-75.3,15.1,20.48,143.74,-17.27,27.2,-41.77,12.23,205.15,74.31,-61.45
Zysk (strata) netto z działalności zaniechanej,,,-88.12,-100.0,,,,,,,,,,
Zysk netto,,204.54,410.09,-78.12,22.18,19.03,139.18,-10.05,24.36,-58.86,25.85,255.46,61.77,-60.32
Zysk netto akcjonariuszy jednostki dominującej,,204.42,410.09,-78.12,22.18,19.02,139.19,-10.05,24.36,-58.87,25.87,255.49,61.77,-60.32
Aktywa trwałe,,4.66,-17.49,6.34,17.92,9.08,8.45,13.05,15.07,12.05,0.13,-1.42,8.25,2.21
Wartości niematerialne i prawne,,26.58,68.64,1.18,11.37,1.77,-2.69,38.35,47.21,63.61,-23.33,53.73,22.07,-6.71
Rzeczowe składniki majątku trwałego,,4.33,-19.09,6.56,18.09,9.29,8.55,12.66,14.32,10.58,1.19,-4.39,5.46,2.04
Należności długoterminowe,,,,,,,,,,,,,,
Inwestycje długoterminowe,,10.91,3.76,2.2,-0.33,13.71,33.61,-100.0,,,,,,
Pozostałe aktywa trwałe,,,,7.77,352.25,-3.51,-14.82,618.76,-1.05,-33.72,40.32,65.78,125.51,28.4
Aktywa obrotowe,,38.33,-14.47,4.25,23.25,-16.94,33.04,-1.92,7.16,1.74,25.03,67.3,50.7,-33.68
Zapasy,,14.47,-9.86,-1.17,9.22,-15.25,-8.11,49.04,7.03,13.53,-21.13,71.51,39.31,-24.85
Należności krótkoterminowe,,30.42,-23.48,21.69,-14.41,-2.98,19.98,21.87,16.32,-8.01,-8.97,68.11,59.0,-32.19
Inwestycje krótkoterminowe,,138.13,-2.54,-19.52,138.85,-31.56,19.94,-36.44,-11.09,14.7,168.77,82.42,64.01,-45.11
Środki pieniężne i inne aktywa pieniężne,,177.51,-9.94,-12.56,141.69,-31.84,21.96,-36.44,-11.09,14.7,168.77,82.42,64.01,-45.11
Pozostałe aktywa obrotowe,,-4.11,9.13,35.09,14.63,-9.65,1297.31,-49.02,-0.74,-4.38,82.84,8.51,-27.51,47.69
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,-100.0,,,,,,,
Aktywa razem,,11.41,-16.74,5.81,19.26,2.31,13.64,9.35,13.32,9.89,4.96,14.48,22.6,-12.7
Kapitał własny akcjonariuszy jednostki dominującej,,3.97,72.37,1.74,10.15,2.62,18.86,4.37,8.22,-8.82,6.79,43.69,36.51,-10.48
Kapitał (fundusz) podstawowy,,0.0,0.0,0.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,,,,,,,0.0,0.0
Udziały niekontrolujące,,3.45,16.67,5.71,-2.7,8.33,5.13,14.63,2.13,25.0,-3.33,3.45,18.33,15.49
Zobowiązania długoterminowe,,11.24,-62.15,33.94,27.92,-1.3,6.14,15.56,15.93,56.88,0.65,-16.5,-14.25,4.6
Z tytułu dostaw i usług,,11.52,-5.71,-5.7,19.36,-6.49,-9.57,21.16,-7.66,10.83,10.17,8.23,11.6,-19.03
Kredyty i pożyczki,,14.58,-41.99,-44.55,23.33,89.78,-2.44,51.19,62.11,-49.31,50.93,-13.99,-6.84,1.6
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,0.3,-93.7,2660.11,-55.6,-92.84,-23.57,6707.48,-67.71
Zobowiązania z tytułu leasingu finansowego,,963.88,-6.91,-87.4,722.9,-100.0,,,,,,,,
Inne zobowiązania długoterminowe,,-0.33,11.94,4.59,13.86,-0.46,-9.1,-5.42,17.12,58.78,17.37,-12.96,3.13,14.47
Zobowiązania krótkoterminowe,,21.17,-16.73,-12.22,30.16,6.85,12.66,12.6,20.46,-13.85,11.14,22.96,43.29,-31.78
Inne zobowiązania krótkoterminowe,,-1.39,-25.85,112.32,18.09,2.88,115.23,10.06,-8.29,12.79,9.79,76.6,57.16,-39.79
Rozliczenia międzyokresowe,,,,,,,,,,,,,,
Pasywa razem,,11.41,-16.74,5.81,19.26,2.31,13.64,9.35,13.32,9.89,4.96,14.48,22.6,-12.7
Przepływy pieniężne z działalności operacyjnej,,186.47,5.95,2.66,43.53,-9.34,76.22,-22.36,40.55,8.08,17.9,44.96,49.51,-35.37
Amortyzacja,,24.87,-6.3,-13.51,3.81,17.18,12.81,12.02,18.02,30.14,45.88,15.02,9.79,-5.42
Przepływy pieniężne z działalności inwestycyjnej,,24.14,-36.88,-6.25,-80.68,12.92,-27.81,15.05,-76.81,5.23,36.57,1.65,-51.03,-11.59
CAPEX (niematerialne i rzeczowe),,-16.79,-9.52,36.22,41.0,-4.66,-9.45,38.3,45.24,-5.2,-27.0,-12.02,53.09,-5.64
Przepływy pieniężne z działalności finansowej,,-117.61,-448.48,2.6,247.33,-200.18,-35.37,-27.87,56.61,-48.27,-62.81,-127.38,-53.4,-38.25
Emisja akcji,,,,,,,,,,,,,,
Dywidenda,,-48.61,104.67,-1.84,39.16,0.86,28.37,68.74,9.93,-0.01,-58.96,7.62,260.5,63.04
Przepływy pieniężne razem,,1430.66,-115.54,-13.85,1086.1,-154.31,147.02,-302.37,80.65,217.79,1217.05,31.26,41.66,-215.6
