,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-15.95,11.41,-5.3,37.29,8.43,-1.1,-6.66,1.44,-1.58,-17.77,12.32,45.02,21.63,15.22,39.27,30.68
Techniczny koszt wytworzenia produkcji sprzedanej,,-25.47,-3.27,2.51,46.54,5.54,7.34,-7.77,39.54,-22.92,-23.99,19.71,90.33,3.68,18.05,37.81,29.35
Koszty sprzedaży,,7.69,20.05,11.67,7.22,-8.7,-16.82,23.79,-8.57,1.49,-14.63,15.25,-3.2,9.63,1.54,32.81,305.12
Koszty ogólnego zarządu,,-1.34,-2.31,4.0,-13.82,-6.64,3.93,4.53,-0.72,18.42,-18.83,24.09,11.69,8.19,-13.54,34.44,34.08
Zysk ze sprzedaży,,53.77,78.7,-30.05,28.19,28.32,-26.51,-11.08,-189.03,166.86,38.22,-28.89,-301.17,129.68,-27.68,120.17,-168.21
Pozostałe przychody operacyjne,,31.47,-43.85,57.7,-6.37,25.44,2.46,94.64,-72.39,171.69,-65.58,-99.5,39500.0,-108.33,6246.97,-51.89,-193.75
Pozostałe koszty operacyjne,,31.31,9.48,-41.06,271.15,89.29,-75.52,-2.28,-61.61,-34.98,49.12,-100.0,,,,,
Zysk operacyjny (EBIT),,52.85,63.83,-21.69,-0.98,5.63,10.72,5.14,-170.43,197.85,3.08,-31.74,-268.96,133.72,263.85,-16.08,-179.81
Przychody finansowe,,-19.94,-26.3,13.39,445.92,-73.4,-48.78,22.61,-59.48,22.44,0.0,-100.0,,,,,
Koszty finansowe,,-18.54,-30.58,-3.86,-17.98,-19.81,-14.75,177.32,-62.79,18.89,46.09,-37.61,34.57,15.07,-53.87,-24.4,231.22
Pozostałe przychody (koszty),,-0.25,1.51,-6.25,-23.19,-107.78,92.63,100.0,,,188.89,77.5,-180.28,-868.42,99.64,100.0,
Zysk z działalności gospodarczej,,60.28,69.69,-20.49,44.18,-25.23,5.14,-4.83,-181.42,187.17,0.49,-33.37,-314.55,106.68,1451.27,-15.62,-198.66
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,60.28,69.69,-20.49,44.18,-25.23,5.14,-4.83,-181.42,187.17,0.49,-33.37,-314.55,106.68,1451.27,-15.62,-198.66
Zysk (strata) netto z działalności zaniechanej,,-100.0,,,,-83.69,-100.0,,,,,,,,,,
Zysk netto,,-44.03,62.43,-16.37,37.1,-26.71,8.97,-7.91,-183.05,184.49,3.94,-43.34,-359.96,103.77,2565.54,-14.07,-244.6
Zysk netto akcjonariuszy jednostki dominującej,,-51.61,75.54,-10.52,63.67,-26.74,9.17,-7.85,-183.34,184.7,3.58,-43.68,-364.42,102.78,3510.91,-16.21,-250.6
