,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,23090658.0,19408706.0,21623350.0,20476465.0,28111354.0,30481076.0,30145000.0,28137000.0,28542000.0,28092000.0,23100000.0,25946000.0,37627000.0,45766000.0,52730000.0,73435000.0,95964000.0
Techniczny koszt wytworzenia produkcji sprzedanej,19041023.0,14191982.0,13727469.0,14071540.0,20620787.0,21762212.0,23360000.0,21546000.0,30066000.0,23174000.0,17615000.0,21087000.0,40134000.0,41611000.0,49121000.0,67694000.0,87561000.0
Koszty sprzedaży,1058272.0,1139621.0,1368079.0,1527718.0,1638068.0,1495512.0,1244000.0,1540000.0,1408000.0,1429000.0,1220000.0,1406000.0,1361000.0,1492000.0,1515000.0,2012000.0,8151000.0
Koszty ogólnego zarządu,948454.0,935750.0,914109.0,950702.0,819308.0,764903.0,795000.0,831000.0,825000.0,977000.0,793000.0,984000.0,1099000.0,1189000.0,1028000.0,1382000.0,1853000.0
Zysk ze sprzedaży,2042909.0,3141353.0,5613693.0,3926505.0,5033191.0,6458449.0,4746000.0,4220000.0,-3757000.0,2512000.0,3472000.0,2469000.0,-4967000.0,1474000.0,1066000.0,2347000.0,-1601000.0
Pozostałe przychody operacyjne,572441.0,752568.0,422568.0,666403.0,623984.0,782721.0,802000.0,1561000.0,431000.0,1171000.0,403000.0,2000.0,792000.0,-66000.0,4057000.0,1952000.0,-1830000.0
Pozostałe koszty operacyjne,481036.0,631626.0,691532.0,407575.0,1512695.0,2863411.0,701000.0,685000.0,263000.0,171000.0,255000.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk operacyjny (EBIT),2134314.0,3262295.0,5344729.0,4185333.0,4144480.0,4377759.0,4847000.0,5096000.0,-3589000.0,3512000.0,3620000.0,2471000.0,-4175000.0,1408000.0,5123000.0,4299000.0,-3431000.0
Przychody finansowe,630898.0,505120.0,372265.0,422115.0,2304397.0,612993.0,314000.0,385000.0,156000.0,191000.0,191000.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty finansowe,1026851.0,836441.0,580617.0,558217.0,457856.0,367147.0,313000.0,868000.0,323000.0,384000.0,561000.0,350000.0,471000.0,542000.0,250000.0,189000.0,626000.0
Pozostałe przychody (koszty),239156.0,238561.0,242157.0,227019.0,174373.0,-13570.0,-1000.0,0.0,0.0,-45000.0,40000.0,71000.0,-57000.0,-552000.0,-2000.0,0.0,2000.0
Zysk z działalności gospodarczej,1977517.0,3169535.0,5378534.0,4276250.0,6165394.0,4610035.0,4847000.0,4613000.0,-3756000.0,3274000.0,3290000.0,2192000.0,-4703000.0,314000.0,4871000.0,4110000.0,-4055000.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
