,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,3809.0,6379.0,7704.0,8778.0,9130.0,14138.0,14129.0,17473.0,15924.0,12511.0,13040.0,11099.0,9933.0,15213.0,19022.0,9537.0
Techniczny koszt wytworzenia produkcji sprzedanej,1463.0,2017.0,2578.0,2945.0,12133.0,4108.0,4063.0,4852.0,4420.0,3573.0,4227.0,3699.0,4848.0,7381.0,8687.0,5626.0
Koszty sprzedaży,970.0,1253.0,2451.0,2365.0,0.0,4053.0,6562.0,8151.0,7780.0,7202.0,5913.0,12760.0,7167.0,6744.0,7317.0,4287.0
Koszty ogólnego zarządu,1071.0,2579.0,2730.0,2759.0,0.0,7269.0,7219.0,7227.0,4761.0,3647.0,2726.0,4779.0,3984.0,4671.0,3225.0,3587.0
Zysk ze sprzedaży,305.0,530.0,-55.0,709.0,-3003.0,-1292.0,-3715.0,-2757.0,-1037.0,-1911.0,174.0,-10139.0,-6066.0,-3583.0,-207.0,-3963.0
Pozostałe przychody operacyjne,0.0,2.0,1.0,15.0,29.0,18.0,21.0,16.0,34.0,1.0,3.0,7.0,263.0,71.0,13.0,37249.0
Pozostałe koszty operacyjne,4.0,7.0,13.0,29.0,39.0,70.0,91.0,100.0,139.0,122.0,94.0,138.0,205.0,465.0,314.0,347.0
Zysk operacyjny (EBIT),301.0,525.0,-67.0,695.0,-3013.0,-1344.0,-3785.0,-2841.0,-1142.0,-2032.0,83.0,-10270.0,-6008.0,-3977.0,-508.0,32939.0
Przychody finansowe,438.0,481.0,262.0,91.0,26.0,37.0,872.0,314.0,51.0,0.0,6.0,26.0,0.0,0.0,0.0,563.0
Koszty finansowe,19.0,39.0,5.0,23.0,209.0,523.0,35.0,90.0,141.0,366.0,279.0,435.0,264.0,474.0,904.0,577.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,720.0,967.0,190.0,763.0,-3196.0,-1830.0,-2948.0,-2961.0,-1232.0,-2398.0,-190.0,-10679.0,-6272.0,-4451.0,-1412.0,32925.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,720.0,967.0,190.0,763.0,-3196.0,-1830.0,-2948.0,-2961.0,-1232.0,-2398.0,-190.0,-10679.0,-6272.0,-4451.0,-1412.0,32925.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931.0
Zysk netto,611.0,771.0,124.0,609.0,-4100.0,-2843.0,-4086.0,-3616.0,-1664.0,-2389.0,-475.0,-9573.0,-6958.0,-4639.0,-1636.0,28948.0
Zysk netto akcjonariuszy jednostki dominującej,611.0,771.0,124.0,609.0,-4100.0,-2843.0,-4086.0,-3616.0,-1664.0,-2389.0,-444.0,-9430.0,-6891.0,-4592.0,-1570.0,28941.0
Aktywa trwałe,2625.0,4945.0,9178.0,10677.0,3332.0,2720.0,2591.0,1924.0,1957.0,1833.0,2119.0,3488.0,2686.0,2953.0,2609.0,802.0
Wartości niematerialne i prawne,764.0,741.0,667.0,596.0,2158.0,1529.0,1076.0,795.0,820.0,766.0,1259.0,1090.0,1007.0,966.0,999.0,114.0
Rzeczowe składniki majątku trwałego,120.0,69.0,154.0,146.0,155.0,114.0,164.0,208.0,268.0,175.0,172.0,550.0,435.0,808.0,498.0,257.0
Należności długoterminowe,0.0,0.0,0.0,0.0,46.0,48.0,47.0,53.0,53.0,102.0,104.0,104.0,106.0,201.0,165.0,48.0
Inwestycje długoterminowe,1299.0,3597.0,7557.0,8928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,442.0,538.0,800.0,1007.0,973.0,1029.0,1304.0,868.0,816.0,790.0,584.0,1744.0,1138.0,978.0,947.0,383.0
Aktywa obrotowe,13893.0,12147.0,7641.0,7373.0,8257.0,17836.0,14272.0,13233.0,12326.0,9270.0,4684.0,8252.0,8264.0,8198.0,9970.0,23330.0
Zapasy,523.0,915.0,1346.0,1099.0,1398.0,2091.0,2907.0,3016.0,3111.0,3107.0,2505.0,3849.0,3997.0,3462.0,4563.0,445.0
Należności krótkoterminowe,1587.0,2370.0,2858.0,3612.0,3269.0,4190.0,5666.0,6145.0,7014.0,4480.0,1189.0,3081.0,2409.0,3276.0,3815.0,648.0
