,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,,-77.47,-83.98,126.15,69.11,-32.55,-34.09,137.42,-13.37,-51.55,620.67,-98.75,56.38,-57.29,-100.0,
Techniczny koszt wytworzenia produkcji sprzedanej,,-75.76,-17.51,-43.3,198.55,24.46,95.88,-69.79,-9.48,-82.66,2222.24,-83.37,-69.78,185.75,-91.34,-96.51
Koszty sprzedaży,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,23.65,-23.55,-9.32,21.56,-20.18,-43.19,-19.02,-5.87,-3.5,-10.94,-54.34,-42.62,-24.41,12.62,19.28
Zysk ze sprzedaży,,-90.31,-370.71,84.84,-415.3,-90.17,-137.01,99.22,-194.28,372.28,-311.7,-53.76,76.22,-254.35,86.62,56.63
Pozostałe przychody operacyjne,,164.48,42.85,14567.59,-95.57,51.15,-84.84,518.15,-439.87,-375.19,121.14,-96.98,-69.59,-54.15,1065.79,419.61
Pozostałe koszty operacyjne,,693.62,-98.67,542.67,581.17,-34.6,936.85,706.54,-97.94,7.8,-67.77,-48.37,-79.83,-25.6,-69.67,-100.0
Zysk operacyjny (EBIT),,-91.73,-416.29,167.01,-216.84,-86.52,-157.74,50.66,84.03,-122.02,53.58,-136.69,76.3,-255.0,88.0,113.61
Przychody finansowe,,532.37,-51.14,43.05,131.66,-81.57,-93.63,0.78,1031.38,35.41,-97.08,551.63,-100.0,,-100.0,
Koszty finansowe,,252.8,447.58,32.37,-40.63,-8.96,11.24,-6.82,22.66,-21.68,-69.04,4.11,45.83,-33.76,137.39,-50.68
Pozostałe przychody (koszty),,-111.73,18.38,52.91,55.21,58.86,100.0,,-100.0,,,,,,,
Zysk z działalności gospodarczej,,-64.23,-192.95,118.2,150.38,-384.98,-154.51,44.6,62.73,-5.45,47.39,-69.25,41.34,-52.47,21.71,68.47
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-64.23,-192.95,118.2,150.38,-384.98,-154.51,44.6,62.73,-5.45,47.39,-69.25,41.34,-52.47,21.71,68.47
Zysk (strata) netto z działalności zaniechanej,,,,,,,103.38,-100.0,,,,,,,,
Zysk netto,,-65.26,-194.14,121.22,8.52,-673.67,-157.45,43.59,61.48,-4.72,46.16,-48.9,45.36,-71.46,19.38,68.02
Zysk netto akcjonariuszy jednostki dominującej,,-65.26,-194.14,121.22,-26.84,-953.33,-156.75,43.59,61.48,-4.72,46.16,-48.9,45.36,-71.46,19.38,68.02
Aktywa trwałe,,248.41,-5.5,202.56,4.53,-49.47,175.63,-14.44,-11.88,-15.34,-70.18,-34.59,-10.0,-78.77,-52.54,-98.74
Wartości niematerialne i prawne,,,,,,,,,,,,,,,,
Rzeczowe składniki majątku trwałego,,11.73,-6.54,-26.94,-11.39,-24.31,-10.39,-36.49,-38.46,-100.0,,-88.48,-100.0,,,
Należności długoterminowe,,,,,,,,,,-11.2,-31.68,-100.0,,,,
Inwestycje długoterminowe,,436.62,-5.21,237.45,3.4,-51.36,195.2,-14.25,-12.2,-15.2,-70.37,-33.26,-9.97,-78.77,-52.54,-98.74
Pozostałe aktywa trwałe,,-48.62,-33.77,85.89,896.49,17.14,-92.04,69.68,-57.09,346.7,-100.0,,,,,
Aktywa obrotowe,,35.47,10.89,8.71,5.76,-35.76,-87.89,-40.89,-50.91,-4.66,98.28,-96.28,-21.31,49.16,161.88,77.73
Zapasy,,124.63,21.04,10.11,17.37,-33.32,-93.32,-98.05,-74.45,230.51,-100.0,,,,,
Należności krótkoterminowe,,-78.35,-10.12,-10.73,10.6,-59.15,-63.18,-29.16,-47.14,185.42,-90.86,-69.11,-25.31,-46.12,-56.81,25.5
Inwestycje krótkoterminowe,,153.51,-11.43,9.25,-41.16,-43.75,-45.9,22.0,-50.99,-34.87,229.79,-96.77,-20.63,64.48,173.4,78.16
Środki pieniężne i inne aktywa pieniężne,,156.24,-17.34,8.36,-52.85,-43.8,-24.99,31.09,-53.07,-62.58,648.95,-96.77,-20.63,64.48,173.4,68.98
Pozostałe aktywa obrotowe,,,-100.0,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,
Aktywa razem,,46.68,8.84,29.76,5.45,-39.2,-32.92,-18.22,-15.91,-14.69,-58.83,-54.61,-10.3,-75.78,-21.77,-13.97
Kapitał własny akcjonariuszy jednostki dominującej,,17.07,-6.7,0.67,0.74,-24.5,-51.89,-41.73,-30.96,-53.69,-78.47,-462.44,-70.6,-83.48,-30.62,-9.59
