,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Period,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,93.8,74.03,19.85,26.3,15.07,20.61,-7.3,-25.63,-17.02,9.51,9.0,7.93,4.85,8.38,23.39,13.41,43.29,-11.05
Techniczny koszt wytworzenia produkcji sprzedanej,,118.42,82.3,26.63,30.42,12.08,24.83,-8.08,-26.77,-21.14,9.8,9.39,10.66,5.0,8.94,20.39,14.93,40.65,-8.5
Koszty sprzedaży,,304.87,81.93,65.25,4.48,19.16,10.16,-0.11,-25.72,4.99,3.17,4.99,-7.79,4.49,12.16,18.87,24.93,25.17,-6.95
Koszty ogólnego zarządu,,8.04,105.74,22.64,-12.89,4.05,7.54,2.93,3.59,-19.19,6.98,4.09,7.44,7.8,13.69,12.26,-8.96,36.37,2.79
Zysk ze sprzedaży,,21.17,-13.84,-162.2,90.01,1300.1,-48.31,-68.4,-268.71,192.06,107.57,46.37,-3.65,-11.57,-70.77,921.46,-6.66,200.3,-63.57
Pozostałe przychody operacyjne,,162.67,300.19,-4.35,-11.94,-20.65,34.9,-27.87,2.14,-7.25,-10.91,-30.33,-16.49,27.39,-2.6,37.94,0.93,10.15,19.31
Pozostałe koszty operacyjne,,53.99,209.03,86.54,-79.36,117.71,2.38,-9.84,168.18,-71.54,22.43,-26.59,65.61,-11.92,-4.75,63.56,-33.95,57.89,-33.79
Zysk operacyjny (EBIT),,32.3,14.25,-172.41,161.07,41.89,-12.64,-65.02,-509.82,140.43,5.16,31.13,-61.41,51.45,-94.47,5821.07,20.12,177.42,-56.11
Przychody finansowe,,-72.29,580.07,-74.41,8.9,-8.4,-17.68,16.61,-25.95,-29.84,-28.29,-45.49,265.01,-67.33,-50.74,86.07,77.68,-28.68,6.95
Koszty finansowe,,118.45,162.39,170.62,-52.19,-16.16,39.95,7.07,-34.42,-26.72,-12.93,-14.85,-1.49,-4.28,16.3,28.73,2.84,157.45,-5.97
Pozostałe przychody (koszty),,,,-128.81,100.0,,,,-100.0,,,,,,,,,,
Zysk z działalności gospodarczej,,-10.96,157.35,-204.72,99.83,7378.05,-115.11,-128.71,-1184.83,102.18,168.28,185.4,-97.37,584.48,-848.87,284.58,37.14,172.5,-82.4
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-10.96,157.35,-204.72,99.83,7378.05,-115.11,-128.71,-1184.83,102.18,168.28,185.4,-97.37,584.48,-848.87,284.58,37.14,172.5,-82.4
Zysk (strata) netto z działalności zaniechanej,,,,100.0,,,,,-7044.0,100.0,,,,,,,,,
Zysk netto,,-12.11,167.12,-202.96,97.46,391.15,-194.84,-33.08,-537.72,102.24,15.57,411.73,-179.5,127.0,-1086.15,236.73,33.38,169.94,-71.05
Zysk netto akcjonariuszy jednostki dominującej,,-12.18,171.25,-198.59,97.43,407.46,-185.81,-24.19,-620.66,102.61,72.46,199.25,-173.35,129.77,-1077.71,236.28,32.01,172.11,-68.09
Aktywa trwałe,,49.75,165.06,4.58,-6.74,-0.1,-4.02,-13.42,-10.91,-4.9,-3.21,-1.96,-4.62,0.43,9.34,7.94,29.33,16.69,19.16
Wartości niematerialne i prawne,,4.95,222.42,-4.19,-7.05,71.9,-5.48,-13.92,-2.49,-14.77,-2.46,0.16,-3.05,-3.1,-2.58,-8.9,-8.86,28.5,13.12
Rzeczowe składniki majątku trwałego,,39.3,169.67,7.58,-4.4,-1.02,-3.51,-13.42,-20.32,-3.8,-1.37,-1.05,-0.26,1.47,11.22,7.47,32.64,10.6,17.4
Należności długoterminowe,,,9.64,17.78,-91.7,-57.14,-41.21,311.34,3261.15,-10.25,-19.78,-91.84,-29.95,-42.75,-100.0,,-100.0,,
Inwestycje długoterminowe,,709.89,175.7,-98.6,-94.01,0.0,1480.0,428.48,0.0,-82.28,0.0,5659.46,-55.91,-7.64,-16.16,5.12,-10.17,54.37,79.59
Pozostałe aktywa trwałe,,10.72,194.63,122.98,-15.61,-18.16,-16.44,-27.78,41.55,3.49,-10.28,-18.13,-27.31,-15.0,-7.25,64.97,-10.55,266.19,30.58
Aktywa obrotowe,,85.9,34.44,-7.6,2.97,12.23,17.65,-1.18,-41.55,8.87,-7.82,12.7,-8.03,12.91,0.08,3.56,24.75,28.56,5.69
Zapasy,,38.11,49.7,12.98,1.83,9.56,17.89,2.02,-44.01,10.94,-3.65,18.79,-12.1,4.41,11.54,11.12,30.87,30.99,-4.58
Należności krótkoterminowe,,70.51,78.04,-13.79,2.91,16.9,19.23,-15.49,-34.76,8.3,-11.5,6.42,-1.85,-2.5,-7.12,1.2,30.15,16.45,-0.96
Inwestycje krótkoterminowe,,10310.9,-53.81,-72.86,30.84,-33.16,-37.12,757.16,-84.64,25.25,11.39,-28.04,15.0,550.13,-14.98,-32.89,-28.1,129.25,129.47
Środki pieniężne i inne aktywa pieniężne,,7616.82,-91.62,-8.67,36.62,-32.6,14.15,868.17,-86.53,34.57,12.39,-32.17,22.36,598.37,-23.83,-25.84,-35.19,100.66,87.3
Pozostałe aktywa obrotowe,,49.47,98.72,-27.21,4.83,20.51,-2.58,4.81,-21.87,88.85,-53.21,-21.15,-17.7,162.8,-37.47,209.14,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,0.0,-100.0,,,,,,,-75.59,-0.15,338.92,-77.18,42.94,0.0,-37.68,9.8,-80.95,28.12
Aktywa razem,,71.73,79.07,-1.44,-2.24,5.92,7.19,-6.47,-29.29,1.92,-5.65,5.62,-6.5,7.21,4.05,5.53,26.86,22.99,11.69
