,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Period,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,93745.0,181676.0,316162.0,378910.0,478580.0,550697.0,664205.0,615702.0,457892.0,379964.0,416089.0,453557.0,489529.0,513263.0,556257.0,686349.0,778396.0,1115366.0,992134.0
Techniczny koszt wytworzenia produkcji sprzedanej,60691.0,132560.0,241654.0,305998.0,399091.0,447298.0,558357.0,513223.0,375858.0,296385.0,325432.0,355996.0,393950.0,413634.0,450595.0,542454.0,623427.0,876848.0,802292.0
Koszty sprzedaży,3818.0,15458.0,28122.0,46473.0,48555.0,57859.0,63737.0,63664.0,47289.0,49648.0,51222.0,53777.0,49589.0,51818.0,58119.0,69085.0,86307.0,108029.0,100518.0
Koszty ogólnego zarządu,13457.0,14539.0,29913.0,36685.0,31958.0,33251.0,35759.0,36808.0,38131.0,30814.0,32965.0,34314.0,36866.0,39743.0,45185.0,50724.0,46179.0,62972.0,64730.0
Zysk ze sprzedaży,15779.0,19119.0,16473.0,-10246.0,-1024.0,12289.0,6352.0,2007.0,-3386.0,3117.0,6470.0,9470.0,9124.0,8068.0,2358.0,24086.0,22483.0,67517.0,24594.0
Pozostałe przychody operacyjne,1800.0,4728.0,18921.0,18098.0,15937.0,12646.0,17060.0,12306.0,12569.0,11658.0,10386.0,7236.0,6043.0,7698.0,7498.0,10343.0,10439.0,11499.0,13719.0
Pozostałe koszty operacyjne,2717.0,4184.0,12930.0,24119.0,4979.0,10840.0,11098.0,10006.0,26834.0,7638.0,9351.0,6865.0,11369.0,10014.0,9538.0,15600.0,10304.0,16269.0,10772.0
Zysk operacyjny (EBIT),14862.0,19663.0,22464.0,-16267.0,9934.0,14095.0,12314.0,4307.0,-17651.0,7137.0,7505.0,9841.0,3798.0,5752.0,318.0,18829.0,22618.0,62747.0,27541.0
Przychody finansowe,6643.0,1841.0,12520.0,3204.0,3489.0,3196.0,2631.0,3068.0,2272.0,1594.0,1143.0,623.0,2274.0,743.0,366.0,681.0,1210.0,863.0,923.0
Koszty finansowe,1821.0,3978.0,10438.0,28247.0,13505.0,11323.0,15847.0,16967.0,11127.0,8154.0,7100.0,6046.0,5956.0,5701.0,6630.0,8535.0,8777.0,22596.0,21246.0
Pozostałe przychody (koszty),0.0,0.0,20557.0,-5923.0,0.0,0.0,0.0,7529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,19684.0,17526.0,45103.0,-47233.0,-82.0,5968.0,-902.0,-2063.0,-26506.0,577.0,1548.0,4418.0,116.0,794.0,-5946.0,10975.0,15051.0,41014.0,7218.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,19684.0,17526.0,45103.0,-47233.0,-82.0,5968.0,-902.0,-2063.0,-26506.0,577.0,1548.0,4418.0,116.0,794.0,-5946.0,10975.0,15051.0,41014.0,7218.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,-365.0,0.0,0.0,0.0,0.0,-100.0,-7144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
