,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,273304.0,260482.0,241093.0,258175.0,280675.0,294609.0,283465.0,277932.0,215548.0,216518.0,271942.0,331216.0,252429.0
Techniczny koszt wytworzenia produkcji sprzedanej,228591.0,213932.0,195373.0,211233.0,229151.0,245231.0,234594.0,232166.0,193805.0,182200.0,238334.0,282790.0,222816.0
Koszty sprzedaży,8953.0,7196.0,7665.0,7223.0,7807.0,8980.0,10486.0,10523.0,10699.0,12980.0,11783.0,13235.0,13427.0
Koszty ogólnego zarządu,12862.0,13355.0,12000.0,13281.0,14360.0,14459.0,15465.0,13238.0,13406.0,13258.0,13227.0,13482.0,13947.0
Zysk ze sprzedaży,22898.0,25999.0,26055.0,26438.0,29357.0,25939.0,22920.0,22005.0,-2362.0,8080.0,8598.0,21709.0,2239.0
Pozostałe przychody operacyjne,796.0,1910.0,444.0,1753.0,834.0,1008.0,972.0,1777.0,21692.0,3007.0,761.0,942.0,3076.0
Pozostałe koszty operacyjne,1526.0,671.0,1630.0,505.0,194.0,558.0,1688.0,1465.0,77832.0,5210.0,1762.0,2763.0,22842.0
Zysk operacyjny (EBIT),22168.0,27238.0,24869.0,27686.0,29997.0,26389.0,22204.0,22317.0,-58502.0,5877.0,7597.0,19888.0,-17527.0
Przychody finansowe,1761.0,1586.0,2011.0,2430.0,1132.0,1471.0,800.0,1047.0,1097.0,1178.0,557.0,588.0,347.0
Koszty finansowe,1470.0,4283.0,2594.0,2330.0,1577.0,1956.0,1678.0,1611.0,2259.0,2290.0,2204.0,9672.0,18214.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,22459.0,24541.0,24286.0,27786.0,29552.0,25904.0,21326.0,21753.0,-59664.0,4765.0,5950.0,10804.0,-35394.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,22459.0,24541.0,24286.0,27786.0,29552.0,25904.0,21326.0,21753.0,-59664.0,4765.0,5950.0,10804.0,-35394.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,17940.0,19409.0,19968.0,22409.0,23849.0,20875.0,17211.0,17560.0,-55578.0,3034.0,4786.0,8330.0,-39027.0
Zysk netto akcjonariuszy jednostki dominującej,17940.0,19409.0,19968.0,22409.0,23849.0,20875.0,17211.0,17560.0,-55578.0,3034.0,4786.0,8330.0,-39027.0
Aktywa trwałe,24678.0,26794.0,34944.0,34525.0,45056.0,47015.0,70912.0,119176.0,44910.0,40329.0,37296.0,36017.0,31748.0
Wartości niematerialne i prawne,284.0,486.0,684.0,575.0,450.0,329.0,235.0,559.0,1499.0,1176.0,892.0,693.0,353.0
Rzeczowe składniki majątku trwałego,22280.0,25014.0,32818.0,32748.0,43018.0,45162.0,68908.0,117431.0,34690.0,30052.0,27274.0,25858.0,25460.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,2114.0,1294.0,1442.0,1202.0,1588.0,1524.0,1769.0,1186.0,8721.0,9101.0,9130.0,9466.0,5935.0
Aktywa obrotowe,83648.0,88642.0,107199.0,89484.0,90505.0,92969.0,99615.0,79438.0,80059.0,96556.0,104668.0,107754.0,80065.0
Zapasy,24728.0,29941.0,24048.0,38639.0,31542.0,34086.0,41119.0,49036.0,28139.0,26465.0,39551.0,53249.0,35914.0
Należności krótkoterminowe,58604.0,56937.0,80519.0,50394.0,57051.0,56202.0,56343.0,26076.0,35071.0,44802.0,40167.0,40528.0,28895.0
Inwestycje krótkoterminowe,199.0,1596.0,2420.0,240.0,1672.0,2349.0,1823.0,4007.0,6194.0,14515.0,13843.0,3151.0,3783.0
Środki pieniężne i inne aktywa pieniężne,199.0,1596.0,2420.0,240.0,1672.0,2439.0,1823.0,4007.0,6194.0,14515.0,13843.0,3151.0,3783.0
Pozostałe aktywa obrotowe,117.0,168.0,212.0,211.0,240.0,332.0,330.0,319.0,10655.0,10774.0,11107.0,10826.0,11473.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,108326.0,115436.0,142143.0,124009.0,135561.0,139984.0,170527.0,198614.0,124969.0,136885.0,141964.0,143771.0,111813.0
Kapitał własny akcjonariuszy jednostki dominującej,57360.0,37045.0,53013.0,65438.0,77003.0,87130.0,104340.0,121901.0,66323.0,88788.0,93574.0,99432.0,54225.0
Kapitał (fundusz) podstawowy,28833.0,500.0,500.0,500.0,508.0,515.0,515.0,515.0,515.0,1545.0,1545.0,1545.0,1545.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,5487.0,12120.0,27445.0,37425.0,47546.0,60640.0,81514.0,98726.0,116286.0,79109.0,82143.0,89557.0,51007.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,19268.0,10450.0,4821.0,509.0,354.0,13879.0,339.0,151.0,237.0,90.0,5.0,761.0
Z tytułu dostaw i usług,10472.0,14462.0,12758.0,12313.0,14333.0,12497.0,21070.0,14491.0,3551.0,5796.0,6057.0,13268.0,4813.0
Kredyty i pożyczki,20858.0,34177.0,56952.0,34307.0,31735.0,27269.0,18485.0,36831.0,36267.0,20192.0,15154.0,11113.0,6674.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,75.0,41.0,205.0,263.0,429.0,305.0,205.0,186.0,137.0,36.0,324.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania krótkoterminowe,43092.0,53507.0,73898.0,48405.0,48478.0,43772.0,44621.0,70412.0,52627.0,41723.0,43184.0,38121.0,28042.0
Inne zobowiązania krótkoterminowe,11762.0,4868.0,4113.0,1744.0,2205.0,3743.0,4637.0,18785.0,12604.0,15549.0,21836.0,13704.0,16231.0
Rozliczenia międzyokresowe,7874.0,5616.0,4782.0,5345.0,9571.0,8728.0,7687.0,5962.0,5868.0,6137.0,5116.0,6213.0,28785.0
Pasywa razem,108326.0,115436.0,142143.0,124009.0,135561.0,139984.0,170527.0,198614.0,124969.0,136885.0,141964.0,143771.0,111813.0
Przepływy pieniężne z działalności operacyjnej,9793.0,15337.0,3973.0,41761.0,31720.0,21331.0,25404.0,40529.0,18798.0,12043.0,7980.0,4972.0,19296.0
Amortyzacja,3058.0,2973.0,2675.0,3079.0,4252.0,4612.0,4811.0,4898.0,4226.0,3676.0,3460.0,3251.0,3130.0
Przepływy pieniężne z działalności inwestycyjnej,-1208.0,-3185.0,-10655.0,-4282.0,-9617.0,-4761.0,-29851.0,-41101.0,-14624.0,-3152.0,-1640.0,-1945.0,-1679.0
CAPEX (niematerialne i rzeczowe),1346.0,2958.0,10874.0,5007.0,9573.0,5006.0,12840.0,39239.0,14860.0,3186.0,2221.0,2036.0,2114.0
Przepływy pieniężne z działalności finansowej,-9760.0,-10755.0,7535.0,-39689.0,-20627.0,-15946.0,3946.0,2737.0,-1980.0,-594.0,-6992.0,-13719.0,-16990.0
Emisja akcji,410.0,39379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19434.0,0.0,0.0,0.0
Dywidenda,14318.0,0.0,4000.0,10000.0,12300.0,10775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-1175.0,1397.0,853.0,-2210.0,1476.0,624.0,-501.0,2165.0,2194.0,8297.0,-652.0,-10692.0,627.0
