,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,26417.0,19731.0,16683.0,12495.0,11490.0,15828.0,21911.0,17707.0,197.0,329.0,507.0,638.0,284.0,670.0,16.0,22457.0
Techniczny koszt wytworzenia produkcji sprzedanej,17514.0,10003.0,4023.0,6779.0,6906.0,11292.0,16230.0,13026.0,77.0,91.0,83.0,75.0,1.0,0.0,0.0,14735.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,2431.0,4095.0,4240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,12037.0,12129.0,11164.0,6355.0,6025.0,3779.0,4194.0,3641.0,2473.0,2167.0,2508.0,2265.0,1057.0,803.0,705.0,0.0
Zysk ze sprzedaży,-3134.0,-2401.0,1496.0,-639.0,-1441.0,-1674.0,-2608.0,-3200.0,-2353.0,-1929.0,-2084.0,-1702.0,-774.0,-133.0,-689.0,7722.0
Pozostałe przychody operacyjne,1076.0,1746.0,10457.0,8517.0,9149.0,17259.0,4911.0,282.0,0.0,14.0,329.0,50.0,1689.0,2.0,329.0,-2636.0
Pozostałe koszty operacyjne,1011.0,477.0,2707.0,2555.0,2430.0,1972.0,710.0,980.0,8.0,22.0,1002.0,987.0,155.0,1562.0,1934.0,68.0
Zysk operacyjny (EBIT),-3069.0,-1132.0,9246.0,5323.0,5278.0,13613.0,1593.0,-3898.0,-2361.0,-1937.0,-2757.0,-2639.0,760.0,-1693.0,-2294.0,5018.0
Przychody finansowe,994.0,397.0,612.0,4160.0,495.0,352.0,517.0,2893.0,2689.0,177.0,7136.0,2947.0,1639.0,842.0,357.0,98.0
Koszty finansowe,2192.0,136.0,709.0,857.0,2542.0,5865.0,1935.0,3801.0,3565.0,16206.0,4245.0,5584.0,86.0,1543.0,19.0,813.0
Pozostałe przychody (koszty),-338.0,-471.0,-706.0,145.0,-7787.0,-2523.0,-217.0,-2888.0,0.0,0.0,0.0,-639.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-4605.0,-1342.0,8443.0,8771.0,-4556.0,5577.0,-42.0,-7694.0,-3237.0,-17966.0,134.0,-5915.0,2313.0,-2394.0,-1956.0,4303.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-4605.0,-1342.0,8443.0,8771.0,-4556.0,5577.0,-42.0,-7694.0,-3237.0,-17966.0,134.0,-5915.0,2313.0,-2394.0,-1956.0,4303.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-4462.0,-863.0,8700.0,8707.0,-4682.0,5488.0,-36.0,-7965.0,-3747.0,-17836.0,-2.0,-5285.0,2212.0,-2670.0,-1878.0,2765.0
Zysk netto akcjonariuszy jednostki dominującej,-3939.0,-712.0,7808.0,8511.0,-3728.0,5974.0,225.0,-7965.0,-3747.0,-17836.0,-2.0,-5316.0,2212.0,-2670.0,-1878.0,2765.0
Aktywa trwałe,23432.0,27087.0,36866.0,31673.0,34234.0,34853.0,36785.0,31185.0,32645.0,14641.0,2101.0,1412.0,4648.0,3233.0,793.0,4420.0
Wartości niematerialne i prawne,15734.0,19078.0,17569.0,10756.0,11753.0,8790.0,8359.0,5450.0,0.0,0.0,0.0,0.0,336.0,2011.0,0.0,0.0
Rzeczowe składniki majątku trwałego,2519.0,2130.0,3577.0,882.0,183.0,337.0,254.0,160.0,39.0,7.0,6.0,2.0,0.0,0.0,785.0,1402.0
Należności długoterminowe,0.0,0.0,17.0,53.0,55.0,45.0,45.0,47.0,34.0,34.0,36.0,6.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,4632.0,5009.0,15293.0,19513.0,21800.0,23921.0,26137.0,23892.0,30717.0,14140.0,1809.0,1239.0,3981.0,1218.0,8.0,2948.0
Pozostałe aktywa trwałe,547.0,870.0,410.0,469.0,443.0,1760.0,1990.0,1636.0,1855.0,460.0,250.0,165.0,331.0,4.0,0.0,70.0
Aktywa obrotowe,8648.0,8609.0,9953.0,20341.0,15073.0,15243.0,7037.0,3998.0,2175.0,391.0,12127.0,5087.0,1588.0,1134.0,866.0,11218.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,4602.0,5140.0,6237.0,14672.0,8821.0,8146.0,2473.0,1958.0,130.0,81.0,2214.0,685.0,260.0,311.0,708.0,3770.0
Inwestycje krótkoterminowe,2221.0,2677.0,2693.0,4444.0,4340.0,4251.0,1195.0,1397.0,1245.0,160.0,9742.0,3884.0,1301.0,816.0,153.0,1001.0
Środki pieniężne i inne aktywa pieniężne,1881.0,2443.0,2596.0,3265.0,2396.0,1228.0,407.0,707.0,340.0,80.0,83.0,62.0,53.0,0.0,18.0,545.0
Pozostałe aktywa obrotowe,1825.0,792.0,1023.0,1225.0,1912.0,2846.0,701.0,643.0,67.0,150.0,171.0,167.0,27.0,7.0,5.0,6447.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,2668.0,0.0,733.0,0.0,0.0,351.0,0.0,0.0,0.0,0.0
Aktywa razem,32080.0,35696.0,46819.0,52014.0,49307.0,50096.0,43822.0,35183.0,34820.0,15032.0,14228.0,6499.0,6236.0,4367.0,1659.0,15638.0
Kapitał własny akcjonariuszy jednostki dominującej,22488.0,22533.0,29610.0,38324.0,33687.0,33765.0,33255.0,26772.0,25603.0,7737.0,7608.0,2476.0,4928.0,2877.0,1099.0,8230.0
Kapitał (fundusz) podstawowy,21853.0,22353.0,22353.0,22353.0,22353.0,22353.0,22353.0,22353.0,22353.0,22353.0,22353.0,22353.0,2235.0,2854.0,2954.0,4708.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,3643.0,3643.0,3643.0,3643.0,3643.0,3643.0,3643.0,3643.0,3643.0,3643.0,3643.0,3643.0,481.0,481.0,481.0,198.0
Udziały niekontrolujące,3073.0,3727.0,8312.0,3106.0,2496.0,3240.0,1885.0,582.0,1.0,1.0,4.0,35.0,0.0,0.0,0.0,1.0
Zobowiązania długoterminowe,1385.0,1065.0,885.0,857.0,459.0,346.0,347.0,110.0,3342.0,1064.0,990.0,305.0,276.0,216.0,142.0,1674.0
Z tytułu dostaw i usług,3479.0,1793.0,3211.0,1935.0,3207.0,4917.0,2024.0,1776.0,71.0,81.0,190.0,184.0,92.0,1088.0,297.0,791.0
Kredyty i pożyczki,505.0,290.0,780.0,1235.0,2425.0,3185.0,3528.0,3525.0,4314.0,5789.0,5043.0,2292.0,570.0,0.0,0.0,1831.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
