,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,52895.0,56342.0,61052.0,82558.0,74268.0,27834.0,50317.0,38987.0,5237.0,363.0,337.0,350.0,198.0,203.0,538.0,0.0,0.0,281157.0,291789.0,41641.0
Techniczny koszt wytworzenia produkcji sprzedanej,55837.0,55469.0,56491.0,79854.0,66780.0,27068.0,47969.0,42649.0,6459.0,258.0,892.0,360.0,178.0,117.0,120.0,0.0,0.0,250051.0,270452.0,43331.0
Koszty sprzedaży,0.0,0.0,0.0,277.0,358.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,4143.0,4811.0,5272.0,4047.0,2788.0,2583.0,1849.0,709.0,627.0,510.0,560.0,542.0,529.0,392.0,1458.0,19828.0,0.0,0.0
Zysk ze sprzedaży,-2942.0,873.0,418.0,-2384.0,1858.0,-3718.0,-440.0,-6245.0,-3071.0,-604.0,-1182.0,-520.0,-540.0,-456.0,-112.0,-392.0,-1458.0,11278.0,21337.0,-1690.0
Pozostałe przychody operacyjne,3087.0,2673.0,2802.0,3203.0,3674.0,3539.0,1371.0,548.0,896.0,934.0,237.0,186.0,1161.0,69.0,3646.0,153.0,0.0,1665.0,3064.0,5231.0
Pozostałe koszty operacyjne,817.0,1859.0,2231.0,2142.0,5726.0,2420.0,1495.0,653.0,3372.0,973.0,227.0,270.0,394.0,65.0,2253.0,158.0,37.0,9774.0,14321.0,1189.0
Zysk operacyjny (EBIT),-672.0,1687.0,989.0,-1323.0,-194.0,-2599.0,-564.0,-6350.0,-5547.0,-643.0,-1172.0,-604.0,227.0,-452.0,1281.0,-396.0,-1495.0,3169.0,10080.0,2352.0
Przychody finansowe,2015.0,-250.0,500.0,1763.0,675.0,565.0,407.0,354.0,232.0,2834.0,1899.0,1576.0,978.0,407.0,374.0,877.0,23.0,5441.0,2525.0,29651.0
Koszty finansowe,1174.0,481.0,532.0,595.0,294.0,196.0,295.0,239.0,371.0,201.0,189.0,7665.0,372.0,15.0,1273.0,332.0,129.0,12064.0,3140.0,13331.0
Pozostałe przychody (koszty),0.0,0.0,0.0,27.0,5135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
