,0,1,2,3,4
Period,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,723.84,79.53,4.05,10.87
Techniczny koszt wytworzenia produkcji sprzedanej,,58.81,44.11,86.45,27.85
Koszty sprzedaży,,-68.75,-33.33,-100.0,
Koszty ogólnego zarządu,,77.27,546.15,44.74,44.28
Zysk ze sprzedaży,,5478.57,74.07,-11.03,0.91
Pozostałe przychody operacyjne,,-20.0,68.75,218.52,76.74
Pozostałe koszty operacyjne,,,-100.0,,37.5
Zysk operacyjny (EBIT),,4644.7,74.09,-10.61,1.52
Przychody finansowe,,,-100.0,,-54.07
Koszty finansowe,,-100.0,,-51.61,3171.11
Pozostałe przychody (koszty),,,,,
Zysk z działalności gospodarczej,,4995.24,68.38,-8.67,-13.9
Wynik zdarzeń nadzwyczajnych,,,,,
Zysk przed opodatkowaniem,,4995.24,68.38,-8.67,-13.9
Zysk (strata) netto z działalności zaniechanej,,,,,
Zysk netto,,4990.43,49.3,-8.52,-4.94
Zysk netto akcjonariuszy jednostki dominującej,,4990.43,49.3,-8.52,-4.94
Aktywa trwałe,,,,35.7,6.86
Wartości niematerialne i prawne,,,,21.63,6.8
Rzeczowe składniki majątku trwałego,,,,298.85,11.62
Należności długoterminowe,,,,,
Inwestycje długoterminowe,,,,29850.0,-0.33
Pozostałe aktywa trwałe,,,,,
Aktywa obrotowe,,2850.44,141.11,18.08,38.45
Zapasy,,,,6800.0,-100.0
Należności krótkoterminowe,,4119.23,-7.79,-47.31,467.64
Inwestycje krótkoterminowe,,3043.66,214.2,26.43,14.08
Środki pieniężne i inne aktywa pieniężne,,3043.66,214.2,26.43,14.08
Pozostałe aktywa obrotowe,,-68.75,160.0,76.92,-95.65
Aktywa trwałe przeznaczone do sprzedaży,,,,,
Aktywa razem,,2850.44,281.85,24.57,25.76
Kapitał własny akcjonariuszy jednostki dominującej,,4919.33,291.63,34.18,25.81
Kapitał (fundusz) podstawowy,,100.0,6.0,0.0,0.94
Udziały (akcje) własne,,,,,
Kapitał (fundusz) zapasowy,,,,52.99,35.03
Udziały niekontrolujące,,,,,
Zobowiązania długoterminowe,,,,,
Z tytułu dostaw i usług,,28.05,75.24,53.8,32.51
Kredyty i pożyczki,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,
Inne zobowiązania długoterminowe,,,,,
Zobowiązania krótkoterminowe,,549.53,197.84,-84.01,21.15
Inne zobowiązania krótkoterminowe,,2260.0,219.66,-97.45,-45.83
Rozliczenia międzyokresowe,,,,,
Pasywa razem,,2850.44,281.85,24.57,25.76
Przepływy pieniężne z działalności operacyjnej,,3199.24,123.3,-21.36,-24.53
Amortyzacja,,,,3341.67,471.43
Przepływy pieniężne z działalności inwestycyjnej,,,,59.96,14.08
CAPEX (niematerialne i rzeczowe),,,,-66.3,2.18
Przepływy pieniężne z działalności finansowej,,,,-101.29,100.83
Emisja akcji,,,,-100.0,
Dywidenda,,,,,
Przepływy pieniężne razem,,3199.24,121.26,-61.24,-32.67
