,0,1,2,3,4
Period,2019,2020,2021,2022,2023
Przychody ze sprzedaży,906.0,7464.0,13400.0,13943.0,15459.0
Techniczny koszt wytworzenia produkcji sprzedanej,658.0,1045.0,1506.0,2808.0,3590.0
Koszty sprzedaży,48.0,15.0,10.0,0.0,0.0
Koszty ogólnego zarządu,88.0,156.0,1008.0,1459.0,2105.0
Zysk ze sprzedaży,112.0,6248.0,10876.0,9676.0,9764.0
Pozostałe przychody operacyjne,20.0,16.0,27.0,86.0,152.0
Pozostałe koszty operacyjne,0.0,1.0,0.0,16.0,22.0
Zysk operacyjny (EBIT),132.0,6263.0,10903.0,9746.0,9894.0
Przychody finansowe,0.0,157.0,0.0,172.0,79.0
Koszty finansowe,6.0,0.0,93.0,45.0,1472.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,126.0,6420.0,10810.0,9873.0,8501.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,126.0,6420.0,10810.0,9873.0,8501.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0
Zysk netto,115.0,5854.0,8740.0,7995.0,7600.0
Zysk netto akcjonariuszy jednostki dominującej,115.0,5854.0,8740.0,7995.0,7600.0
Aktywa trwałe,0.0,0.0,9385.0,12735.0,13608.0
Wartości niematerialne i prawne,0.0,0.0,9122.0,11095.0,11849.0
Rzeczowe składniki majątku trwałego,0.0,0.0,261.0,1041.0,1162.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,2.0,599.0,597.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,0.0
Aktywa obrotowe,226.0,6668.0,16077.0,18983.0,26282.0
Zapasy,0.0,0.0,2.0,138.0,0.0
Należności krótkoterminowe,52.0,2194.0,2023.0,1066.0,6051.0
Inwestycje krótkoterminowe,142.0,4464.0,14026.0,17733.0,20229.0
Środki pieniężne i inne aktywa pieniężne,142.0,4464.0,14026.0,17733.0,20229.0
Pozostałe aktywa obrotowe,32.0,10.0,26.0,46.0,2.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0
Aktywa razem,226.0,6668.0,25462.0,31718.0,39890.0
Kapitał własny akcjonariuszy jednostki dominującej,119.0,5973.0,23392.0,31387.0,39489.0
Kapitał (fundusz) podstawowy,50.0,100.0,106.0,106.0,107.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,15142.0,23165.0,31280.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0
Z tytułu dostaw i usług,82.0,105.0,184.0,283.0,375.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0
Zobowiązania krótkoterminowe,107.0,695.0,2070.0,331.0,401.0
Inne zobowiązania krótkoterminowe,25.0,590.0,1886.0,48.0,26.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0
Pasywa razem,226.0,6668.0,25462.0,31718.0,39890.0
Przepływy pieniężne z działalności operacyjnej,131.0,4322.0,9651.0,7590.0,5728.0
Amortyzacja,0.0,0.0,12.0,413.0,2360.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,0.0,-9397.0,-3763.0,-3233.0
CAPEX (niematerialne i rzeczowe),0.0,0.0,9394.0,3166.0,3235.0
Przepływy pieniężne z działalności finansowej,0.0,0.0,9309.0,-120.0,1.0
Emisja akcji,0.0,0.0,9309.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,131.0,4322.0,9563.0,3707.0,2496.0
