,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-63.69,218.85,-78.43,37.88,26.95,15.96,7.88,6.9,3.92,17.49,15.09,-48.63,-0.63,16.54
Techniczny koszt wytworzenia produkcji sprzedanej,,-66.35,277.26,-66.87,14.4,-0.9,19.04,-11.02,-2.46,19.46,23.41,32.92,-50.14,-7.64,7.53
Koszty sprzedaży,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,-56.38,94.79,-125.97,85.32,1112.25,3.62,94.84,26.57,-21.23,2.94,-37.37,-39.17,35.26,48.07
Pozostałe przychody operacyjne,,5.05,66.09,-85.75,3.37,-224.08,24.52,302.55,-164.83,195.83,-97.42,11146.05,-103.03,1554.77,-150.53
Pozostałe koszty operacyjne,,-58.59,129.58,-79.14,44.12,17.86,43.1,-80.95,149.2,13.79,-0.75,-15.86,35.01,49.83,-74.0
Zysk operacyjny (EBIT),,-3.3,64.42,-95.21,78.28,-267.48,15.55,441.22,-99.52,14369.58,-53.74,311.8,-99.29,5792.18,-97.66
Przychody finansowe,,-35.98,-89.49,2137.78,-90.01,34.82,-24.75,131.09,329.16,-78.27,87.92,0.8,-66.07,240.4,230.45
Koszty finansowe,,-8.82,125.8,-50.81,31.57,34.2,-21.42,21.01,-45.44,54.47,-45.04,90.64,-66.68,94.51,16.81
Pozostałe przychody (koszty),,,,,-100.0,,,,,,,,29.07,10.2,-31.48
Zysk z działalności gospodarczej,,-7.34,32.24,-87.12,-196.74,-323.32,19.02,167.11,-92.28,622.06,-30.04,477.57,-90.51,487.66,-45.25
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-7.34,32.24,-87.12,-196.74,-323.32,19.02,167.11,-92.28,622.06,-30.04,477.57,-90.51,487.66,-45.25
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,
Zysk netto,,23.4,66.74,-83.93,-145.01,-444.22,14.88,130.14,-88.07,673.17,-42.76,609.5,-93.91,664.66,-10.05
Zysk netto akcjonariuszy jednostki dominującej,,23.33,66.74,-83.93,-145.01,-444.22,14.88,130.14,-88.07,673.17,-42.76,609.5,-93.91,664.66,-10.05
