,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,241.19,19.35,-27.82,21.46,23.8,10.4,-0.07,-14.8,-35.32,-7.9,1.54,2.87,-9.35,-26.77,20.92,25.95,-5.79
Techniczny koszt wytworzenia produkcji sprzedanej,,235.24,24.68,-30.81,29.26,13.65,31.53,-1.63,-16.22,-45.94,-21.3,8.97,-6.53,-2.05,-39.37,38.87,28.36,-13.97
Koszty sprzedaży,,238.57,42.76,-32.13,-16.67,20.57,24.6,20.06,-6.42,-40.23,4.16,21.26,2.09,-3.03,-20.92,-0.04,32.54,-12.04
Koszty ogólnego zarządu,,279.41,34.04,-20.42,-22.54,-12.16,14.0,-8.78,7.07,-16.77,-18.37,-3.95,-10.65,6.05,-10.62,-6.24,25.95,-4.97
Zysk ze sprzedaży,,241.07,-22.99,-14.86,74.83,70.83,-37.11,-4.93,-24.92,10.56,19.93,-18.92,27.2,-28.03,-11.7,21.65,17.84,12.76
Pozostałe przychody operacyjne,,673.71,-68.66,-53.23,27.75,-7.08,50.97,-77.12,33.23,-21.33,0.62,-12.24,-10.31,5.73,21.37,20.43,31.85,-49.5
Pozostałe koszty operacyjne,,433.94,171.92,-30.74,-67.64,-1.78,-23.19,21.09,-23.36,-25.14,-4.75,6.53,-25.15,1.29,-22.55,1.0,80.65,-24.68
Zysk operacyjny (EBIT),,280.56,-81.29,15.22,340.65,76.12,-35.2,-13.14,-23.9,14.1,21.58,-20.51,31.09,-29.02,-10.11,22.93,14.98,13.62
Przychody finansowe,,2466.67,-44.03,8.59,58.41,-8.58,-46.58,143.68,-36.68,148.32,-91.14,672.58,-94.85,4863.11,-318.79,125.27,-27.22,-377.63
Koszty finansowe,,146.49,2039.36,-87.82,-86.28,-56.88,-1967.16,147.69,157.87,-100.0,,,,,-21.39,0.6,6.92,-80.97
Pozostałe przychody (koszty),,-71.68,107.08,736.92,-22.13,2454.39,-99.82,-85.08,-17.78,7273.62,-1892.63,103.26,-1764.75,100.28,-86.45,-100.0,,2125.04
Zysk z działalności gospodarczej,,286.38,-101.59,1740.69,280.88,166.73,-58.78,-13.46,-27.57,30.41,-25.52,24.74,0.48,0.57,-71.85,257.18,10.56,-11.95
Wynik zdarzeń nadzwyczajnych,,,,,,,100.0,,,,,,,,,,,
Zysk przed opodatkowaniem,,286.38,-101.59,1740.69,280.88,116.91,-49.31,-13.46,-27.57,30.41,-25.52,24.74,0.48,0.57,-71.85,257.18,10.56,-11.95
Zysk (strata) netto z działalności zaniechanej,,,,100.0,,,,,,,,,,,,,,
Zysk netto,,266.9,-147.86,121.38,943.97,89.75,-46.07,-19.4,-8.33,0.32,-22.81,36.03,4.29,-4.2,-75.2,287.73,28.89,-17.91
Zysk netto akcjonariuszy jednostki dominującej,,288.35,-174.13,97.86,7251.12,95.91,-39.08,-21.54,-14.58,6.49,-11.36,24.38,1.98,-2.19,-77.33,303.45,33.19,-21.98
Aktywa trwałe,,48.9,40.34,-38.03,-2.23,22.55,11.46,9.33,-3.02,-37.24,9.53,-21.79,-2.18,79.25,-28.5,5.67,3.94,-12.88
Wartości niematerialne i prawne,,58.01,-33.03,-45.41,-9.69,-64.7,142.63,64.64,-1.8,-35.53,-31.81,-29.7,24.0,60.5,-4.19,42.57,11.5,-8.24
Rzeczowe składniki majątku trwałego,,33.79,38.68,-43.57,2.62,38.4,11.05,8.09,-6.55,-37.27,6.88,-24.82,-10.37,117.68,-35.38,2.55,-5.43,-13.45
Należności długoterminowe,,-76.31,5003.77,-62.51,-95.13,-51.21,-93.39,-100.0,,-100.0,,1044.82,18.05,13.28,-19.21,4.87,17.15,-10.06
Inwestycje długoterminowe,,1536.17,25.23,-20.83,-4.14,16.49,-19.22,38.75,14.29,-38.94,-23.33,9.99,-2.88,-67.29,253.07,8.4,-1.32,-19.7
Pozostałe aktywa trwałe,,,,,10.12,-69.42,127.19,-47.63,-2.81,5.73,211.67,-38.56,64.15,22.6,-36.96,18.4,80.15,-7.76
Aktywa obrotowe,,18.12,24.82,-27.48,22.11,15.78,-0.36,0.05,-12.29,-13.07,8.4,-7.86,-13.72,-23.04,18.25,35.81,27.19,9.45
Zapasy,,37.05,49.92,-39.64,-10.55,52.49,5.44,2.58,9.34,-41.55,8.62,3.44,2.43,8.65,3.71,12.46,8.59,-0.31
Należności krótkoterminowe,,62.48,49.14,-34.92,3.95,8.4,13.19,-25.39,-31.44,-42.98,5.35,-38.84,38.47,-29.14,-13.31,10.98,-11.63,14.93
Inwestycje krótkoterminowe,,-15.94,-46.92,84.54,110.36,-6.71,-16.19,19.57,-28.63,59.83,8.83,-10.25,-33.91,-62.5,88.85,89.72,54.51,17.65
Środki pieniężne i inne aktywa pieniężne,,-15.94,-46.92,84.54,110.36,-6.71,-16.19,19.57,-28.63,59.83,8.83,-10.26,-33.94,-62.49,88.88,89.77,54.51,17.65
Pozostałe aktywa obrotowe,,-26.77,10.91,-80.93,-54.41,4.17,-16.39,-18.18,-100.0,,,,,,,,6069.04,-39.47
Aktywa trwałe przeznaczone do sprzedaży,,,,,-95.99,-83.27,-100.0,,,,,,,,,,,
