,0,1,2,3,4,5
Period,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,35.78,68.53,70.83,53.73,23.77
Techniczny koszt wytworzenia produkcji sprzedanej,,37.37,35.39,93.77,66.45,24.14
Koszty sprzedaży,,,,,,
Koszty ogólnego zarządu,,,,,,
Zysk ze sprzedaży,,29.81,200.36,29.68,19.66,22.4
Pozostałe przychody operacyjne,,54.29,-44.44,-240.0,-235.71,143.97
Pozostałe koszty operacyjne,,306.0,-11.33,-21.67,456.03,-51.66
Zysk operacyjny (EBIT),,26.8,205.82,29.75,16.4,25.64
Przychody finansowe,,1532.43,-75.99,10.34,15.0,743.48
Koszty finansowe,,-52.7,185.87,29.85,200.88,10.36
Pozostałe przychody (koszty),,-531.65,32.12,1822.32,-100.0,
Zysk z działalności gospodarczej,,31.13,214.31,99.97,-25.74,32.66
Wynik zdarzeń nadzwyczajnych,,,,,,
Zysk przed opodatkowaniem,,31.13,214.31,99.97,-25.74,32.66
Zysk (strata) netto z działalności zaniechanej,,,,,,
Zysk netto,,30.92,218.92,101.97,-28.85,45.11
Zysk netto akcjonariuszy jednostki dominującej,,30.92,218.92,102.7,-28.34,44.69
Aktywa trwałe,,9.17,-2.62,183.67,78.04,2.0
Wartości niematerialne i prawne,,-9.36,4.79,178.52,96.8,3.23
Rzeczowe składniki majątku trwałego,,34.71,-4.33,216.38,38.4,1.03
Należności długoterminowe,,,-57.99,9.79,42.98,-80.27
Inwestycje długoterminowe,,,,,,
Pozostałe aktywa trwałe,,,,,327.59,129.84
Aktywa obrotowe,,4.65,125.64,23.37,-31.49,43.91
Zapasy,,,,,-100.0,
Należności krótkoterminowe,,100.53,65.94,49.68,62.32,34.59
Inwestycje krótkoterminowe,,30.58,143.12,15.77,-51.33,45.93
Środki pieniężne i inne aktywa pieniężne,,42.77,143.12,15.77,-51.33,45.93
Pozostałe aktywa obrotowe,,48.43,-34.75,514.29,12.9,88.11
Aktywa trwałe przeznaczone do sprzedaży,,-100.0,,,,
Aktywa razem,,7.51,43.21,93.43,38.71,9.44
Kapitał własny akcjonariuszy jednostki dominującej,,0.8,49.73,52.76,2.47,48.22
Kapitał (fundusz) podstawowy,,1.42,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,
Kapitał (fundusz) zapasowy,,0.0,0.0,0.0,29.95,36.87
Udziały niekontrolujące,,,,,-25.0,-35.22
Zobowiązania długoterminowe,,13.42,-11.58,267.63,88.75,1.35
Z tytułu dostaw i usług,,-10.23,140.69,147.04,29.5,16.61
Kredyty i pożyczki,,,,,,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,
Zobowiązania z tytułu leasingu finansowego,,68.1,13.08,91.5,125.22,14.27
Inne zobowiązania długoterminowe,,-15.6,-15.55,259.17,245.36,6.36
Zobowiązania krótkoterminowe,,18.52,66.78,96.93,56.15,-17.46
Inne zobowiązania krótkoterminowe,,22.9,56.75,80.0,24.79,-15.06
Rozliczenia międzyokresowe,,,,,,
Pasywa razem,,7.51,43.21,93.43,38.71,9.44
Przepływy pieniężne z działalności operacyjnej,,24.08,150.88,31.92,34.31,34.85
Amortyzacja,,18.01,25.02,60.51,89.1,44.12
Przepływy pieniężne z działalności inwestycyjnej,,51.89,-207.39,-476.26,-286.48,45.0
CAPEX (niematerialne i rzeczowe),,-4.96,55.85,1235.62,-37.84,2.31
Przepływy pieniężne z działalności finansowej,,-175.96,-19.96,-154.78,-19.0,-43.45
Emisja akcji,,,,,,
Dywidenda,,255.46,21.53,181.15,62.0,-36.51
Przepływy pieniężne razem,,-27.66,374.33,-71.42,-454.22,143.55
