,0,1,2,3,4,5
Period,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,20515.0,27856.0,46945.0,80194.0,123285.0,152595.0
Techniczny koszt wytworzenia produkcji sprzedanej,16205.0,22261.0,30140.0,58401.0,97207.0,120676.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,4310.0,5595.0,16805.0,21793.0,26078.0,31919.0
Pozostałe przychody operacyjne,35.0,54.0,30.0,-42.0,-141.0,62.0
Pozostałe koszty operacyjne,50.0,203.0,180.0,141.0,784.0,379.0
Zysk operacyjny (EBIT),4295.0,5446.0,16655.0,21610.0,25153.0,31602.0
Przychody finansowe,37.0,604.0,145.0,160.0,184.0,1552.0
Koszty finansowe,389.0,184.0,526.0,683.0,2055.0,2268.0
Pozostałe przychody (koszty),-139.0,-878.0,-596.0,10265.0,0.0,0.0
Zysk z działalności gospodarczej,3804.0,4988.0,15678.0,31352.0,23282.0,30886.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,3804.0,4988.0,15678.0,31352.0,23282.0,30886.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2992.0,3917.0,12492.0,25230.0,17951.0,26049.0
Zysk netto akcjonariuszy jednostki dominującej,2992.0,3917.0,12492.0,25321.0,18145.0,26254.0
Aktywa trwałe,17715.0,19339.0,18833.0,53424.0,95116.0,97023.0
Wartości niematerialne i prawne,13633.0,12357.0,12949.0,36066.0,70977.0,73270.0
Rzeczowe składniki majątku trwałego,4082.0,5499.0,5261.0,16645.0,23037.0,23275.0
Należności długoterminowe,0.0,1483.0,623.0,684.0,978.0,193.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,29.0,124.0,285.0
Aktywa obrotowe,10274.0,10752.0,24261.0,29931.0,20506.0,29510.0
Zapasy,0.0,0.0,0.0,13.0,0.0,0.0
Należności krótkoterminowe,943.0,1891.0,3138.0,4697.0,7624.0,10261.0
Inwestycje krótkoterminowe,6605.0,8625.0,20969.0,24275.0,11814.0,17240.0
Środki pieniężne i inne aktywa pieniężne,6041.0,8625.0,20969.0,24275.0,11814.0,17240.0
Pozostałe aktywa obrotowe,159.0,236.0,154.0,946.0,1068.0,2009.0
Aktywa trwałe przeznaczone do sprzedaży,2567.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,27989.0,30091.0,43094.0,83355.0,115622.0,126533.0
Kapitał własny akcjonariuszy jednostki dominującej,15984.0,16112.0,24125.0,36854.0,37764.0,55974.0
Kapitał (fundusz) podstawowy,2812.0,2852.0,2852.0,2852.0,2852.0,2852.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,10171.0,10171.0,10171.0,10171.0,13217.0,18090.0
Udziały niekontrolujące,0.0,0.0,0.0,776.0,582.0,377.0
Zobowiązania długoterminowe,4889.0,5545.0,4903.0,18025.0,34022.0,34481.0
Z tytułu dostaw i usług,1574.0,1413.0,3401.0,8402.0,10881.0,12688.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,6594.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,464.0,780.0,882.0,1689.0,3804.0,4347.0
Inne zobowiązania długoterminowe,2096.0,1769.0,1494.0,5366.0,18532.0,19711.0
Zobowiązania krótkoterminowe,7116.0,8434.0,14066.0,27700.0,43254.0,35701.0
Inne zobowiązania krótkoterminowe,5078.0,6241.0,9783.0,17609.0,21975.0,18666.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,27989.0,30091.0,43094.0,83355.0,115622.0,126533.0
Przepływy pieniężne z działalności operacyjnej,6158.0,7641.0,19170.0,25289.0,33966.0,45803.0
Amortyzacja,2154.0,2542.0,3178.0,5101.0,9646.0,13902.0
Przepływy pieniężne z działalności inwestycyjnej,-900.0,-433.0,-1331.0,-7670.0,-29643.0,-16305.0
CAPEX (niematerialne i rzeczowe),927.0,881.0,1373.0,18338.0,11398.0,11661.0
Przepływy pieniężne z działalności finansowej,-1672.0,-4614.0,-5535.0,-14102.0,-16781.0,-24073.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,1035.0,3679.0,4471.0,12570.0,20363.0,12929.0
Przepływy pieniężne razem,3586.0,2594.0,12304.0,3517.0,-12458.0,5425.0
