,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,97.86,218.13,257.58,-5.26,-30.89,81.48
Techniczny koszt wytworzenia produkcji sprzedanej,,80.18,172.89,183.41,-9.34,78.72,22.52
Koszty sprzedaży,,,,,,,
Koszty ogólnego zarządu,,,,,,,
Zysk ze sprzedaży,,492.31,911.76,564.34,1.95,-202.83,79.27
Pozostałe przychody operacyjne,,,900.0,940.0,-100.0,,1154.55
Pozostałe koszty operacyjne,,,-90.0,5600.0,-100.0,,23.73
Zysk operacyjny (EBIT),,423.08,1150.0,561.9,0.58,-203.58,88.84
Przychody finansowe,,,,3400.0,-57.14,2748.89,-92.75
Koszty finansowe,,,0.0,800.0,81.48,69.39,1379.52
Pozostałe przychody (koszty),,,,,,,
Zysk z działalności gospodarczej,,400.0,1246.15,576.76,-1.75,-169.35,36.43
Wynik zdarzeń nadzwyczajnych,,,,,,,
Zysk przed opodatkowaniem,,400.0,1246.15,576.76,-1.75,-169.35,36.43
Zysk (strata) netto z działalności zaniechanej,,,,,,,
Zysk netto,,200.0,3353.85,662.14,-5.79,-189.11,46.26
Zysk netto akcjonariuszy jednostki dominującej,,200.0,3353.85,662.14,-5.03,-202.86,61.53
Aktywa trwałe,,-33.33,900.0,1920.0,903.22,173.5,12.7
Wartości niematerialne i prawne,,,,,,106.31,22.57
Rzeczowe składniki majątku trwałego,,-33.33,850.0,142.11,119.57,-19.8,-35.8
Należności długoterminowe,,,,,,,
Inwestycje długoterminowe,,,,35200.0,-100.0,,-13.01
Pozostałe aktywa trwałe,,,,,5420.0,-100.0,
Aktywa obrotowe,,127.61,144.15,242.31,46.15,-1.39,2.57
Zapasy,,155.11,94.32,-49.78,-100.0,,
Należności krótkoterminowe,,1366.67,164.77,763.09,190.05,34.54,69.34
Inwestycje krótkoterminowe,,24.86,346.32,731.81,17.63,-11.48,-56.1
Środki pieniężne i inne aktywa pieniężne,,24.86,346.32,696.61,22.83,-50.25,-93.88
Pozostałe aktywa obrotowe,,,,-86.0,15528.57,-100.0,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,
Aktywa razem,,126.83,145.23,252.12,74.9,32.25,6.6
Kapitał własny akcjonariuszy jednostki dominującej,,102.51,86.62,147.17,139.33,-2.04,-14.2
Kapitał (fundusz) podstawowy,,40.75,11.01,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,
Kapitał (fundusz) zapasowy,,207.58,82.74,29.76,-29.17,0.0,0.0
Udziały niekontrolujące,,,,,38.9,133.02,-31.18
Zobowiązania długoterminowe,,,,,,22.16,-14.44
Z tytułu dostaw i usług,,1700.0,1166.67,741.23,-8.76,5.31,409.44
Kredyty i pożyczki,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,
Inne zobowiązania długoterminowe,,,,,,22.16,-14.44
Zobowiązania krótkoterminowe,,35.29,2613.04,242.31,-18.07,9.14,393.87
Inne zobowiązania krótkoterminowe,,-68.75,7820.0,-44.95,-100.0,,-34.33
Rozliczenia międzyokresowe,,,233.54,29.24,-100.0,,
Pasywa razem,,126.83,145.23,252.12,74.9,32.25,6.6
Przepływy pieniężne z działalności operacyjnej,,-26.46,85.0,5664.2,-99.2,-1075.0,-158.12
Amortyzacja,,1000.0,-81.82,300.0,12612.5,27.04,92.8
Przepływy pieniężne z działalności inwestycyjnej,,-150.0,-90.0,-3452.63,-335.85,-234.13,60.84
CAPEX (niematerialne i rzeczowe),,150.0,90.0,89.47,6247.22,125.38,-22.74
Przepływy pieniężne z działalności finansowej,,-3.57,51.52,272.22,42.6,7.01,-99.14
Emisja akcji,,-1.47,-0.33,509.17,71.76,-18.54,-100.0
Dywidenda,,,,,,,
Przepływy pieniężne razem,,-76.22,1718.18,797.75,-73.95,-370.92,7.06
