,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,421.0,833.0,2650.0,9476.0,8978.0,6205.0,11261.0
Techniczny koszt wytworzenia produkcji sprzedanej,434.0,782.0,2134.0,6048.0,5483.0,9799.0,12006.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-13.0,51.0,516.0,3428.0,3495.0,-3594.0,-745.0
Pozostałe przychody operacyjne,0.0,1.0,10.0,104.0,0.0,33.0,414.0
Pozostałe koszty operacyjne,0.0,10.0,1.0,57.0,0.0,59.0,73.0
Zysk operacyjny (EBIT),-13.0,42.0,525.0,3475.0,3495.0,-3620.0,-404.0
Przychody finansowe,0.0,0.0,3.0,105.0,45.0,1282.0,93.0
Koszty finansowe,0.0,3.0,3.0,27.0,49.0,83.0,1228.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-13.0,39.0,525.0,3553.0,3491.0,-2421.0,-1539.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-13.0,39.0,525.0,3553.0,3491.0,-2421.0,-1539.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-13.0,13.0,449.0,3422.0,3224.0,-2873.0,-1544.0
Zysk netto akcjonariuszy jednostki dominującej,-13.0,13.0,449.0,3422.0,3250.0,-3343.0,-1286.0
Aktywa trwałe,3.0,2.0,20.0,404.0,4053.0,11085.0,12493.0
Wartości niematerialne i prawne,0.0,0.0,0.0,0.0,3676.0,7584.0,9296.0
Rzeczowe składniki majątku trwałego,3.0,2.0,19.0,46.0,101.0,81.0,52.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,1.0,353.0,0.0,3420.0,2975.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,5.0,276.0,0.0,170.0
Aktywa obrotowe,612.0,1393.0,3401.0,11642.0,17015.0,16778.0,17210.0
Zapasy,421.0,1074.0,2087.0,1048.0,0.0,0.0,0.0
Należności krótkoterminowe,6.0,88.0,233.0,2011.0,5833.0,7848.0,13290.0
Inwestycje krótkoterminowe,185.0,231.0,1031.0,8576.0,10088.0,8930.0,3920.0
Środki pieniężne i inne aktywa pieniężne,185.0,231.0,1031.0,8213.0,10088.0,5019.0,307.0
Pozostałe aktywa obrotowe,0.0,0.0,50.0,7.0,1094.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,615.0,1395.0,3421.0,12046.0,21068.0,27863.0,29703.0
Kapitał własny akcjonariuszy jednostki dominującej,598.0,1211.0,2260.0,5586.0,13369.0,13096.0,11236.0
Kapitał (fundusz) podstawowy,400.0,563.0,625.0,625.0,625.0,625.0,625.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,211.0,649.0,1186.0,1539.0,1090.0,1090.0,1090.0
Udziały niekontrolujące,0.0,0.0,0.0,3630.0,5042.0,11749.0,8086.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,907.0,1108.0,948.0
Z tytułu dostaw i usług,1.0,18.0,228.0,1918.0,1750.0,1843.0,9389.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,907.0,1108.0,948.0
Zobowiązania krótkoterminowe,17.0,23.0,624.0,2136.0,1750.0,1910.0,9433.0
Inne zobowiązania krótkoterminowe,16.0,5.0,396.0,218.0,0.0,67.0,44.0
Rozliczenia międzyokresowe,0.0,161.0,537.0,694.0,0.0,0.0,0.0
Pasywa razem,615.0,1395.0,3421.0,12046.0,21068.0,27863.0,29703.0
Przepływy pieniężne z działalności operacyjnej,-427.0,-540.0,-81.0,4507.0,36.0,-351.0,-906.0
Amortyzacja,1.0,11.0,2.0,8.0,1017.0,1292.0,2491.0
Przepływy pieniężne z działalności inwestycyjnej,-4.0,-10.0,-19.0,-675.0,-2942.0,-9830.0,-3849.0
CAPEX (niematerialne i rzeczowe),4.0,10.0,19.0,36.0,2285.0,5150.0,3979.0
Przepływy pieniężne z działalności finansowej,616.0,594.0,900.0,3350.0,4777.0,5112.0,44.0
Emisja akcji,611.0,602.0,600.0,3655.0,6278.0,5114.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,185.0,44.0,800.0,7182.0,1871.0,-5069.0,-4711.0
