,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,6.46,7.93,15.15,10.3,0.65,1.04,3.56,4.7,-0.45,-4.87,0.76,4.64,-1.5,3.49,22.21,14.54,-3.22,-0.4,8.35
Techniczny koszt wytworzenia produkcji sprzedanej,,3.44,6.61,12.86,7.15,0.67,0.01,8.4,-0.48,-5.0,-4.76,-0.98,3.43,-2.92,-0.15,21.09,15.18,0.82,1.64,-2.85
Koszty sprzedaży,,4.31,16.02,29.04,18.05,-2.59,1.15,7.53,11.96,15.11,-9.91,1.63,39.21,-7.94,-2.68,35.5,9.94,-2.82,-6.12,6.18
Koszty ogólnego zarządu,,12.68,12.66,14.56,11.89,12.96,7.73,3.76,10.28,2.97,-2.93,2.69,-32.05,9.95,30.2,33.24,10.14,3.89,5.36,21.41
Zysk ze sprzedaży,,27.42,5.94,16.62,20.19,-4.01,1.74,-27.89,30.43,4.38,0.16,7.48,-0.19,10.46,13.37,2.3,23.11,-28.01,-8.57,74.54
Pozostałe przychody operacyjne,,-62.44,22.76,67.22,-1.89,151.1,11.13,-74.93,-50.38,71.3,42.52,5.75,-39.87,254.67,4.88,-35.94,-35.92,47.66,175.84,-7.53
Pozostałe koszty operacyjne,,-53.65,52.1,3.69,74.62,-15.51,17.75,-0.67,-44.59,23.73,22.21,-40.43,-9.3,9.8,146.99,17.53,-57.72,-41.58,173.55,-13.83
Zysk operacyjny (EBIT),,32.1,3.99,18.88,15.89,1.9,1.17,-34.37,38.45,4.05,-0.52,11.39,-0.81,14.28,7.78,-0.85,29.84,-26.41,-8.0,74.3
Przychody finansowe,,-80.24,-48.49,-25.69,129.94,-55.17,50.3,-0.7,105.92,-68.68,63.76,-50.05,88.21,-66.06,73.51,312.69,41.77,-8.8,72.55,-15.22
Koszty finansowe,,21.81,-27.33,140.06,122.43,-48.3,-37.05,297.9,-76.94,6.66,145.93,-21.78,-75.03,82.15,-52.54,38.66,-9.95,-15.18,926.71,13.68
Pozostałe przychody (koszty),,941.82,8.9,5.93,22.54,-52.96,4.2,-70.53,262.39,-18.16,-35.45,-1.79,80.45,-25.44,-23.65,63.72,48.38,-31.15,-64.55,173.13
Zysk z działalności gospodarczej,,8.53,4.9,9.64,1.89,15.29,7.3,-62.12,145.1,0.92,-12.92,18.25,12.58,10.31,11.6,0.65,31.7,-26.13,-30.98,90.55
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,8.53,4.9,9.64,1.89,15.29,7.3,-62.12,145.1,0.92,-12.92,18.25,12.58,10.31,11.6,0.65,31.7,-26.13,-30.98,90.55
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,
Zysk netto,,0.75,3.58,6.0,4.57,15.9,11.94,-61.39,158.63,-1.87,-11.53,17.85,11.08,5.12,11.81,-1.17,37.59,-25.35,-35.85,102.27
Zysk netto akcjonariuszy jednostki dominującej,,1.36,12.37,3.99,9.09,13.63,12.04,-62.38,165.64,-1.16,-8.95,16.91,10.63,6.78,8.71,-3.45,31.02,-23.42,-38.56,111.63
Aktywa trwałe,,16.41,4.91,13.86,6.25,5.72,6.23,-1.01,10.4,2.07,-6.24,-4.11,6.72,1.86,28.61,76.94,18.45,17.24,-0.76,-1.54
Wartości niematerialne i prawne,,171.39,53.25,-1.97,-7.99,-11.41,46.78,-34.22,30.62,7.24,-10.51,-7.92,6.51,21.25,435.52,669.09,6.83,-1.73,-12.95,-8.0
Rzeczowe składniki majątku trwałego,,17.42,1.97,14.56,4.41,-3.67,9.59,-0.25,10.0,2.12,-6.73,-3.17,8.94,3.29,31.56,51.32,21.59,21.83,1.33,-0.8
Należności długoterminowe,,,,,,-100.0,,,169.94,-14.73,26.37,-47.34,-70.94,748.83,-15.58,-18.77,-23.43,-31.06,-38.72,-75.72
Inwestycje długoterminowe,,-20.91,121.96,-0.1,6.53,301.53,-10.36,-20.09,-2.7,-1.39,-6.22,0.47,-2.56,-18.38,-76.65,9.76,15.11,-26.54,22.14,17.09
Pozostałe aktywa trwałe,,-24.72,24.37,26.32,153.46,-45.65,-63.19,289.38,40.62,19.26,-1.97,-22.0,-17.75,-83.62,71.43,2.85,1.6,1.57,-21.28,131.76
Aktywa obrotowe,,5.32,14.3,9.06,19.11,-15.31,27.2,-3.8,-11.4,1.44,-7.69,-1.52,2.26,17.45,-9.07,44.95,-11.63,3.92,-2.01,15.18
Zapasy,,-3.71,32.68,14.29,3.89,-1.59,12.19,21.22,-11.57,-6.51,-8.01,8.06,-5.38,16.69,5.87,28.95,-4.04,30.65,-8.42,-6.73
Należności krótkoterminowe,,3.44,21.08,9.2,28.54,-21.55,28.37,-20.2,-20.53,6.2,4.97,-6.64,12.02,-2.07,-0.33,27.05,-1.16,-24.68,4.1,-4.72
Inwestycje krótkoterminowe,,36.32,-45.83,-21.53,42.02,-36.52,153.6,-27.03,36.01,38.91,-44.75,-17.63,-13.29,123.65,-74.06,553.19,-57.31,4.36,23.01,229.71
Środki pieniężne i inne aktywa pieniężne,,45.91,-45.77,-26.71,46.04,-39.34,149.87,-34.19,66.92,38.91,-44.75,-17.63,-13.29,123.65,-74.06,553.19,-57.31,4.36,23.01,229.71
Pozostałe aktywa obrotowe,,,,,,,,,36.59,-40.89,25.72,56.1,26.74,51.85,-2.26,2.81,-100.0,,,
Aktywa trwałe przeznaczone do sprzedaży,,,-94.21,37.74,0.0,0.0,-100.0,,40.89,-76.78,-21.64,-100.0,,,-100.0,,,,,-100.0
Aktywa razem,,10.45,9.72,11.3,12.97,-5.87,16.63,-2.52,-1.24,1.77,-6.93,-2.88,4.58,9.18,9.58,63.53,7.27,13.16,-1.11,3.12
Kapitał własny akcjonariuszy jednostki dominującej,,15.99,10.85,-16.84,8.25,9.8,12.45,-1.94,-2.59,5.64,-2.67,0.79,5.76,4.05,16.86,1.12,10.55,3.63,-3.67,18.73
Kapitał (fundusz) podstawowy,,0.0,12.85,-13.57,0.0,-2.14,-0.02,0.0,0.0,-6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,-97.41,-100.0,,,-100.0,,,,,,,,,,
Kapitał (fundusz) zapasowy,,38.5,16.47,-23.38,17.0,11.23,11.1,8.57,-3.71,-19.82,-2.0,-4.82,11.29,0.01,10.23,15.58,-100.0,,,
Udziały niekontrolujące,,55.53,-48.43,13.65,-10.05,9.19,10.5,-12.73,6.34,8.95,-46.29,-19.21,12.53,-12.01,64.06,412.46,-0.34,-9.03,-5.24,-6.91
Zobowiązania długoterminowe,,-38.91,5.44,64.66,-8.64,-32.22,85.35,-77.17,729.51,-39.17,-37.47,-31.85,-27.57,-12.19,45.86,2978.08,-24.86,126.74,-9.5,-8.7
Z tytułu dostaw i usług,,31.87,12.13,0.57,17.58,-6.91,27.27,20.26,-12.81,-15.29,0.47,21.96,2.58,4.85,5.24,57.38,-19.71,42.72,0.01,-1.71
Kredyty i pożyczki,,-39.68,75.03,204.83,17.67,-27.7,19.6,-0.03,-13.49,7.99,-10.59,-22.65,2.89,31.62,-12.96,62.68,38.32,-73.46,81.32,9.69
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,33.69,-85.73,-68.04,41.4,-23.95,-47.0,-10.38,205.26,-11.38,-50.97,-100.0,,,,221.43,148.15,81.79,-11.49,102.78
Inne zobowiązania długoterminowe,,92.95,73.18,25.92,4.4,-0.28,-20.97,-49.14,59.55,-7.22,15.86,1.61,-4.62,-12.19,-0.76,1148.03,-57.81,-7.01,-16.04,20.29
Zobowiązania krótkoterminowe,,-3.08,22.0,85.68,22.27,-22.61,20.08,3.38,-12.95,2.21,-7.93,-6.52,3.73,20.49,-4.83,56.65,29.22,-24.82,14.85,-2.99
Inne zobowiązania krótkoterminowe,,14.18,-3.27,-8.29,163.82,-33.36,-11.81,-79.22,1.95,341.45,-30.02,-9.43,33.55,57.91,2.58,-2.58,488.51,25.91,-4.0,-24.73
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,,,
Pasywa razem,,10.45,9.72,11.3,12.97,-5.87,16.63,-2.52,-1.24,1.77,-6.93,-2.88,4.58,9.18,9.58,63.53,7.27,13.16,-1.11,3.12
Przepływy pieniężne z działalności operacyjnej,,224.52,-61.15,52.53,58.53,49.52,-44.12,46.44,40.92,-20.92,-5.12,25.71,-7.84,-14.34,29.86,22.85,21.72,2.84,-20.91,50.96
Amortyzacja,,-3.57,24.93,7.33,2.95,18.44,10.74,7.0,2.21,16.18,-6.99,1.41,-0.74,-11.34,17.51,48.77,20.66,7.0,2.21,4.5
Przepływy pieniężne z działalności inwestycyjnej,,28.72,-36.77,-0.87,24.07,-3.29,-10.35,-16.08,-15.68,34.84,19.41,13.68,-92.37,10.38,-108.67,-211.65,28.92,13.05,56.26,38.64
CAPEX (niematerialne i rzeczowe),,-15.06,-40.72,97.57,-22.04,19.58,-4.67,14.83,17.96,-27.96,-31.28,-9.31,82.73,2.12,122.56,26.25,44.17,-12.89,-51.78,-39.51
Przepływy pieniężne z działalności finansowej,,4.91,106.7,-280.62,-616.12,-155.86,90.42,-612.4,-12.09,12.72,-52.73,-17.73,32.06,49.11,-80.61,362.21,-112.1,-25.89,-171.68,-62.69
Emisja akcji,,168.48,-100.0,,,,,,,,,,,,,,,,,
Dywidenda,,31.31,-10.48,123.02,10.46,15.85,19.68,9.02,-32.75,87.49,2.25,20.73,3.65,-1.86,-30.69,45.66,-6.12,40.07,-35.38,-12.62
Przepływy pieniężne razem,,114.44,-236.11,72.82,326.64,-197.43,303.55,-176.78,205.81,-2.41,-236.58,85.55,3.81,990.76,-224.37,283.55,-157.78,96.93,1435.65,590.42
