,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,10.11,11.89,6.94,-7.63,-2.76,20.66,20.4,14.31,11.13,6.73,17.55,2.96,7.26,2.44,2.94,-7.24,20.04,18.52,4.1
Techniczny koszt wytworzenia produkcji sprzedanej,,11.33,10.93,9.01,-4.5,-4.11,22.22,19.27,17.21,7.72,3.04,17.59,-0.36,11.4,5.78,9.96,-8.5,19.45,18.93,2.2
Koszty sprzedaży,,1.74,16.38,-8.06,10.41,15.0,16.17,7.82,-3.34,4.34,6.85,4.41,-17.84,18.71,-2.78,-1.47,-13.61,29.42,16.22,-4.14
Koszty ogólnego zarządu,,14.91,22.36,-4.02,-7.47,2.81,-0.22,9.53,18.84,-0.58,30.06,60.69,25.02,4.84,10.69,6.75,2.5,7.18,4.71,17.5
Zysk ze sprzedaży,,4.1,10.15,7.36,-35.05,-6.01,27.16,47.65,-0.32,51.93,20.77,3.28,15.38,-15.47,-26.39,-70.42,1.86,90.56,49.27,15.57
Pozostałe przychody operacyjne,,153.12,-76.99,22.14,17.83,415.38,-65.01,63.75,135.11,-48.11,-0.42,544.77,-34.33,-56.84,-18.17,92.77,97.23,-59.75,-171.31,279.21
Pozostałe koszty operacyjne,,-4.55,-93.25,400.82,67.36,-40.25,3.38,-3.11,121.07,-33.12,21.77,412.45,-28.86,-47.81,-79.38,101.44,27.65,258.04,-72.8,7.96
Zysk operacyjny (EBIT),,11.9,21.06,3.63,-38.99,15.07,12.67,51.77,2.67,45.96,19.71,8.03,12.19,-17.23,-21.68,-61.59,35.3,-9.59,43.88,52.15
Przychody finansowe,,-82.59,-0.32,600.96,-73.58,-88.3,32.34,-48.88,46.05,463.66,159.19,-10.98,52.21,13.62,-60.92,-43.32,-27.49,361.93,40.45,65.41
Koszty finansowe,,-55.61,57.11,-47.57,567.06,-49.25,-66.06,268.64,-45.83,-13.01,6.59,-59.0,0.4,237.66,-44.35,23.4,88.54,-29.19,18.5,92.88
Pozostałe przychody (koszty),,,,,,,,,-27.85,-60.06,-3.34,-100.0,,,,67.36,-97.02,-2210.14,42.45,-3.1
Zysk z działalności gospodarczej,,0.88,17.61,28.94,-69.1,52.92,34.95,41.69,10.37,50.51,23.19,9.53,13.85,-19.51,-21.69,-62.63,14.64,3.19,50.89,49.41
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,0.88,17.61,28.94,-69.1,52.92,34.95,41.69,10.37,50.51,23.19,9.53,13.85,-19.51,-21.69,-62.63,14.64,3.19,50.89,49.41
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,
Zysk netto,,4.54,19.24,31.09,-72.03,63.89,32.83,43.52,16.63,47.47,22.84,13.8,7.53,-22.76,-20.48,-19.57,-29.55,-15.59,84.64,30.89
Zysk netto akcjonariuszy jednostki dominującej,,3.74,19.22,31.18,-72.37,64.56,30.29,46.51,16.51,49.11,23.93,13.17,7.4,-22.52,-20.57,-19.72,-29.63,-15.92,85.84,30.84
Aktywa trwałe,,21.62,3.0,1.06,12.62,-3.56,-1.45,3.63,3.79,-7.45,12.01,2.92,9.62,17.83,21.43,30.44,-2.36,-6.92,-0.31,4.0
