,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,329786.0,363118.0,406279.0,434464.0,401298.0,390241.0,470861.0,566912.0,648031.0,720137.0,768610.0,903527.0,930250.0,997805.0,1022182.0,1052229.0,976070.0,1171680.0,1388621.0,1445601.0
Techniczny koszt wytworzenia produkcji sprzedanej,248233.0,276359.0,306568.0,334178.0,319138.0,306026.0,374038.0,446110.0,522870.0,563255.0,580357.0,682428.0,679984.0,757493.0,801275.0,881051.0,806174.0,963007.0,1145291.0,1170444.0
Koszty sprzedaży,18434.0,18755.0,21828.0,20068.0,22157.0,25480.0,29599.0,31914.0,30849.0,32189.0,34393.0,35910.0,29505.0,35024.0,34051.0,33551.0,28985.0,37511.0,43596.0,41792.0
Koszty ogólnego zarządu,21234.0,24400.0,29855.0,28656.0,26514.0,27259.0,27199.0,29792.0,35405.0,35198.0,45779.0,73562.0,91964.0,96415.0,106720.0,113921.0,116765.0,125149.0,131049.0,153989.0
Zysk ze sprzedaży,41885.0,43604.0,48028.0,51562.0,33489.0,31476.0,40025.0,59096.0,58907.0,89495.0,108081.0,111627.0,128797.0,108873.0,80136.0,23706.0,24146.0,46013.0,68685.0,79376.0
Pozostałe przychody operacyjne,1427.0,3612.0,831.0,1015.0,1196.0,6164.0,2157.0,3532.0,8304.0,4309.0,4291.0,27667.0,18169.0,7842.0,6417.0,12370.0,24397.0,9820.0,-7003.0,12550.0
Pozostałe koszty operacyjne,7608.0,7262.0,490.0,2454.0,4107.0,2454.0,2537.0,2458.0,5434.0,3634.0,4425.0,22676.0,16132.0,8420.0,1736.0,3497.0,4464.0,15983.0,4347.0,4693.0
Zysk operacyjny (EBIT),35704.0,39954.0,48369.0,50123.0,30578.0,35186.0,39645.0,60170.0,61777.0,90170.0,107947.0,116618.0,130834.0,108295.0,84817.0,32579.0,44079.0,39850.0,57335.0,87233.0
Przychody finansowe,8962.0,1560.0,1555.0,10900.0,2880.0,337.0,446.0,228.0,333.0,1877.0,4865.0,4331.0,6592.0,7490.0,2927.0,1659.0,1203.0,5557.0,7805.0,12910.0
Koszty finansowe,6276.0,2786.0,4377.0,2295.0,15309.0,7770.0,2637.0,9721.0,5266.0,4581.0,4883.0,2002.0,2010.0,6787.0,3777.0,4661.0,8788.0,6223.0,7374.0,14223.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,2391.0,1725.0,689.0,666.0,0.0,0.0,0.0,1385.0,2318.0,69.0,-1456.0,-838.0,-864.0
Zysk z działalności gospodarczej,38390.0,38728.0,45547.0,58728.0,18149.0,27753.0,37454.0,53068.0,58569.0,88155.0,108595.0,118947.0,135416.0,108998.0,85352.0,31895.0,36563.0,37728.0,56928.0,85056.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,38390.0,38728.0,45547.0,58728.0,18149.0,27753.0,37454.0,53068.0,58569.0,88155.0,108595.0,118947.0,135416.0,108998.0,85352.0,31895.0,36563.0,37728.0,56928.0,85056.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1958.0
Zysk netto,28425.0,29715.0,35431.0,46446.0,12991.0,21291.0,28281.0,40589.0,47337.0,69810.0,85752.0,97588.0,104936.0,81049.0,64449.0,51835.0,36519.0,30826.0,56917.0,74501.0
Zysk netto akcjonariuszy jednostki dominującej,28265.0,29323.0,34960.0,45861.0,12671.0,20851.0,27167.0,39803.0,46373.0,69147.0,85696.0,96985.0,104165.0,80706.0,64103.0,51463.0,36217.0,30451.0,56590.0,74043.0
Aktywa trwałe,153941.0,187223.0,192835.0,194875.0,219459.0,211654.0,208587.0,216157.0,224354.0,207650.0,232594.0,239375.0,262394.0,309169.0,375429.0,489719.0,478152.0,445054.0,443661.0,461401.0
Wartości niematerialne i prawne,5896.0,12357.0,12191.0,11734.0,13497.0,15541.0,20012.0,26401.0,25024.0,22281.0,19907.0,14321.0,16726.0,16616.0,14878.0,13774.0,13708.0,8913.0,10907.0,19540.0
Rzeczowe składniki majątku trwałego,140974.0,166151.0,167722.0,178008.0,195252.0,186629.0,178418.0,179702.0,188789.0,172487.0,197714.0,205287.0,232681.0,277074.0,339534.0,432086.0,416022.0,389683.0,380085.0,386784.0
Należności długoterminowe,0.0,0.0,0.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,1437.0,2503.0,2822.0,3046.0,3486.0
Inwestycje długoterminowe,3253.0,3758.0,7331.0,124.0,4227.0,3724.0,3738.0,3733.0,3737.0,4131.0,5187.0,5187.0,3563.0,4571.0,3565.0,3495.0,4621.0,3495.0,3687.0,3819.0
Pozostałe aktywa trwałe,3818.0,4957.0,5591.0,4987.0,6459.0,5760.0,6419.0,6321.0,6804.0,8751.0,9786.0,14580.0,9424.0,10908.0,16084.0,38927.0,41298.0,40141.0,45936.0,47772.0
Aktywa obrotowe,86480.0,105622.0,124672.0,134856.0,149423.0,136830.0,159823.0,217396.0,230654.0,306459.0,389027.0,430707.0,554783.0,534404.0,524333.0,464945.0,526029.0,494616.0,572886.0,568393.0
Zapasy,34810.0,39680.0,51691.0,52713.0,66224.0,63942.0,76493.0,106159.0,110128.0,102793.0,123404.0,126721.0,141440.0,168445.0,199098.0,207126.0,195085.0,239178.0,270960.0,248398.0
