,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-2.25,16.77,2.57,-12.13,-5.15,103.77,3.08,-11.09,-9.57,-3.27,-3.03,-15.16,-37.77,-10.51,-7.32,67.19,-36.18,-5.88,13.27
Techniczny koszt wytworzenia produkcji sprzedanej,,3.51,17.57,0.75,7.62,-18.83,62.26,-1.33,-4.82,-7.78,-1.81,1.15,-12.86,-34.99,-8.7,-6.79,41.22,-23.17,-14.03,4.04
Koszty sprzedaży,,15.24,30.41,250.7,-5.46,-20.57,-20.93,-1.4,-16.67,-4.22,1.47,935.82,-32.1,-82.28,9.91,2.62,20.82,-1.62,-1.64,9.14
Koszty ogólnego zarządu,,9.43,-10.04,-35.03,29.15,72.59,197.9,4.66,-6.57,-19.68,-12.4,-64.24,-27.77,-0.42,-4.64,2.23,17.82,-3.45,-0.26,17.27
Zysk ze sprzedaży,,-103.85,1511.0,80.01,-384.06,32.36,59.32,99.95,-455100.0,46.66,52.51,-244.41,67.29,128.18,-309.56,-89.57,553.03,-138.12,69.73,226.18
Pozostałe przychody operacyjne,,-68.76,-22.63,139.2,-77.45,-22.33,129.31,-8.95,124.37,-49.26,-27.41,23.8,-26.16,-37.26,4.15,-30.0,280.13,-15.0,-3.45,-46.37
Pozostałe koszty operacyjne,,2.39,-48.73,-44.67,325.07,3.28,-51.35,309.1,101.62,-85.73,-0.55,314.55,-83.37,-49.4,-9.92,77.68,55.91,-66.26,23.98,-43.59
Zysk operacyjny (EBIT),,-110.59,277.34,332.77,-238.08,15.66,78.7,-354.88,-144.09,87.24,16.7,-538.69,89.06,124.02,-237.44,-341.04,385.49,-108.78,228.69,121.41
Przychody finansowe,,-42.55,-76.55,-19.21,2639.34,-10.11,5.96,-53.25,142.67,-37.36,-36.56,-28.01,-16.46,-4.87,82.22,-30.88,258.41,48.89,-14.43,-2.84
Koszty finansowe,,-68.44,-49.17,37.25,2519.21,-84.9,-32.06,-11.22,516.17,-77.76,94.13,-82.27,-40.62,-20.67,18.56,258.59,-21.97,-90.97,5590.0,-91.69
Pozostałe przychody (koszty),,,,,,,100.0,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-115.85,219.91,384.27,-416.74,62.91,93.86,-1567.86,-204.19,90.49,-84.42,-203.55,91.75,171.55,-39.31,-625.28,438.04,-50.11,-103.62,3475.29
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-115.85,219.91,384.27,-416.74,62.91,93.86,-1567.86,-204.19,90.49,-84.42,-203.55,91.75,171.55,-39.31,-625.28,438.04,-50.11,-103.62,3475.29
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,
Zysk netto,,-105.73,399.17,398.82,-396.23,50.21,89.47,-597.5,-230.45,90.32,-108.13,-166.92,88.02,144.2,-51.16,-881.06,398.04,-48.09,-95.94,3138.07
Zysk netto akcjonariuszy jednostki dominującej,,-105.73,399.17,398.82,-396.23,54.85,86.76,-463.32,-220.14,95.76,-320.7,-191.91,86.65,145.94,-51.43,-885.43,398.04,-48.09,-95.94,3138.07
Aktywa trwałe,,46.22,-1.39,72.49,6.37,3.26,-3.77,-12.9,-44.0,-0.09,7.38,-20.91,-2.74,-2.4,4.41,-9.56,-1.41,-2.04,-3.61,6.84
Wartości niematerialne i prawne,,,,,124.4,3.46,29.3,-48.21,-0.12,5.24,-60.41,35.43,-21.94,15.95,0.47,-17.17,-39.5,-3.7,9.62,100.44
Rzeczowe składniki majątku trwałego,,43.75,2.28,72.86,-0.77,6.25,-3.63,-12.92,-42.64,-10.58,10.33,-23.83,-2.77,-5.87,5.93,6.2,-3.31,-2.09,-2.74,3.82
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,16.48,-100.0,,,,-64.48,0.0,40.0,3638.46,-2.53,-0.51,0.27,18.62,-3.24,-100.0,,,,
Pozostałe aktywa trwałe,,,-23.91,-30.65,812.28,-44.43,-20.87,19.31,-97.11,-304.84,103.15,-100.0,,,,,,0.52,-40.99,133.43
Aktywa obrotowe,,19.32,15.12,30.04,182.97,-18.74,-3.32,5.47,-23.58,-6.25,1.7,-7.9,-9.49,-16.47,-4.79,6.33,52.12,7.48,1.31,8.12
Zapasy,,30.76,26.81,34.75,-37.43,113.5,6.68,35.97,-14.89,-2.82,10.23,-10.18,-14.88,-53.95,0.78,-0.08,23.05,5.25,21.58,-10.17
Należności krótkoterminowe,,11.35,-0.34,18.62,-10.14,81.98,3.95,-17.66,-17.14,-1.3,-35.67,-13.47,2.43,-28.0,-26.21,-2.01,-9.1,-0.83,11.34,-7.84
Inwestycje krótkoterminowe,,-37.58,60.99,-26.99,11159.02,-57.19,-14.77,-8.27,-41.51,-20.64,26.97,0.66,-5.02,59.04,-3.75,15.96,74.98,10.21,-6.85,14.04
Środki pieniężne i inne aktywa pieniężne,,-30.67,60.99,-26.99,11159.02,-57.19,-14.77,-50.55,-65.39,-0.92,-34.88,38.24,-29.19,263.44,-75.77,253.64,81.05,-31.15,77.9,20.91
Pozostałe aktywa obrotowe,,400.0,25.22,274.65,-73.68,129.93,-57.73,14.49,-32.28,71.03,-41.53,14.02,13.93,96.76,38.94,-73.95,250.0,-50.51,64.72,-23.89
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,-100.0,
Aktywa razem,,36.73,3.69,57.98,56.08,-7.97,-3.56,-4.6,-33.81,-3.64,4.19,-13.79,-6.69,-10.39,-0.46,-1.52,27.82,4.15,-0.31,7.72
Kapitał własny akcjonariuszy jednostki dominującej,,38.48,2.69,51.39,57.45,-10.34,-1.41,-8.48,-33.31,-1.83,-3.01,-19.44,-8.85,26.3,0.46,-7.8,20.44,8.81,0.33,10.6
Kapitał (fundusz) podstawowy,,0.0,0.0,0.0,899.94,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,0.0,99.96,0.0,0.0,-4.19,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,100.0,,,
Kapitał (fundusz) zapasowy,,145.68,-6.12,16.27,93.7,-53.9,-14.78,8.52,96.31,72.47,2.79,-8.36,-22.87,1.36,2.75,0.17,-12.35,29.93,11.25,0.51
Udziały niekontrolujące,,,,,,,8.65,-9.3,-39.22,-36.53,-1.24,-40.5,-18.18,-100.0,,,,,,
