,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,227.86,124.33,57.94,53.58,91.12,25.54
Techniczny koszt wytworzenia produkcji sprzedanej,,246.54,113.46,41.46,60.89,96.1,28.76
Koszty sprzedaży,,,,,,,
Koszty ogólnego zarządu,,75.96,257.67,54.78,70.87,71.4,53.21
Zysk ze sprzedaży,,510.79,65.49,170.41,10.67,98.63,-32.95
Pozostałe przychody operacyjne,,350.0,271.11,57.49,93.54,40.08,45.16
Pozostałe koszty operacyjne,,218.18,922.86,187.43,-57.63,191.97,-43.28
Zysk operacyjny (EBIT),,512.91,61.03,167.08,15.27,95.57,-31.42
Przychody finansowe,,,-44.44,4840.0,-39.27,6.0,-58.81
Koszty finansowe,,102.56,188.61,-13.82,164.12,135.36,246.13
Pozostałe przychody (koszty),,,,,-28.89,14.99,25.16
Zysk z działalności gospodarczej,,562.56,56.14,198.74,9.24,90.27,-46.13
Wynik zdarzeń nadzwyczajnych,,,,,,,
Zysk przed opodatkowaniem,,562.56,56.14,198.74,9.24,90.27,-46.13
Zysk (strata) netto z działalności zaniechanej,,,,,,,
Zysk netto,,598.56,55.33,184.14,6.32,105.25,-36.49
Zysk netto akcjonariuszy jednostki dominującej,,408.65,73.61,180.84,6.65,82.12,-26.28
Aktywa trwałe,,203.4,401.98,32.06,148.89,163.74,8.55
Wartości niematerialne i prawne,,628.57,172.55,534.53,99.43,983.97,33.54
Rzeczowe składniki majątku trwałego,,176.64,389.58,0.38,291.95,70.68,-7.22
Należności długoterminowe,,,,6.64,-38.13,-100.0,
Inwestycje długoterminowe,,275.64,145.73,123.47,5.47,-36.42,8.34
Pozostałe aktywa trwałe,,147.83,557.89,42.93,-8.58,995.31,-6.93
Aktywa obrotowe,,294.13,81.17,80.86,61.71,81.02,24.68
Zapasy,,-12.9,322.22,-25.44,-100.0,,-64.44
Należności krótkoterminowe,,282.31,80.9,53.76,67.82,75.48,13.92
Inwestycje krótkoterminowe,,373.63,78.47,193.28,33.7,105.04,29.43
Środki pieniężne i inne aktywa pieniężne,,377.32,71.32,200.02,33.03,106.56,30.85
Pozostałe aktywa obrotowe,,205.0,124.59,21.17,1313.86,10.06,286.99
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,
Aktywa razem,,284.03,109.39,70.57,75.94,100.12,19.78
Kapitał własny akcjonariuszy jednostki dominującej,,640.59,154.53,166.28,72.13,68.05,31.15
Kapitał (fundusz) podstawowy,,2.0,0.0,4.9,1.87,0.0,0.0
Udziały (akcje) własne,,,,,,,
Kapitał (fundusz) zapasowy,,,,124.66,-91.24,7.85,176.75
Udziały niekontrolujące,,,101.54,136.09,66.1,141.48,18.03
Zobowiązania długoterminowe,,,,-50.08,859.19,232.22,-58.22
Z tytułu dostaw i usług,,185.45,77.99,51.07,52.02,92.64,3.0
Kredyty i pożyczki,,176.36,-18.28,-61.04,-24.6,267.37,703.3
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,-100.0
Zobowiązania z tytułu leasingu finansowego,,,,-59.75,385.87,185.82,-50.36
Inne zobowiązania długoterminowe,,,,-66.67,871.43,100.49,95.11
Zobowiązania krótkoterminowe,,189.59,72.42,20.15,67.44,100.78,35.9
Inne zobowiązania krótkoterminowe,,267.41,188.29,103.5,62.58,7.42,59.83
Rozliczenia międzyokresowe,,542.86,271.85,32.27,-100.0,,
Pasywa razem,,284.03,109.39,70.57,75.94,100.12,19.78
Przepływy pieniężne z działalności operacyjnej,,96.38,34200.0,185.4,6.11,129.88,-64.17
Amortyzacja,,216.33,372.9,82.81,372.99,36.24,28.36
Przepływy pieniężne z działalności inwestycyjnej,,-139.47,-133.59,-40.99,-96.66,-25.98,-95.06
CAPEX (niematerialne i rzeczowe),,191.54,153.69,0.1,170.29,31.48,-49.26
Przepływy pieniężne z działalności finansowej,,188.2,-160.82,-107.24,-92.51,-67.19,184.34
Emisja akcji,,,5450.0,-100.0,,,
Dywidenda,,,,,,,
Przepływy pieniężne razem,,707.59,-9.82,380.53,-50.47,329.21,-40.18
