,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,9721.0,31871.0,71495.0,112922.0,173428.0,331453.0,416109.0
Techniczny koszt wytworzenia produkcji sprzedanej,6719.0,23284.0,49703.0,70310.0,113123.0,221832.0,285631.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,1868.0
Koszty ogólnego zarządu,2242.0,3945.0,14110.0,21839.0,37316.0,63959.0,97993.0
Zysk ze sprzedaży,760.0,4642.0,7682.0,20773.0,22989.0,45662.0,30617.0
Pozostałe przychody operacyjne,10.0,45.0,167.0,263.0,509.0,713.0,1035.0
Pozostałe koszty operacyjne,11.0,35.0,358.0,1029.0,436.0,1273.0,722.0
Zysk operacyjny (EBIT),759.0,4652.0,7491.0,20007.0,23062.0,45102.0,30930.0
Przychody finansowe,0.0,18.0,10.0,494.0,300.0,318.0,131.0
Koszty finansowe,78.0,158.0,456.0,393.0,1038.0,2443.0,8456.0
Pozostałe przychody (koszty),0.0,0.0,0.0,938.0,667.0,767.0,960.0
Zysk z działalności gospodarczej,681.0,4512.0,7045.0,21046.0,22991.0,43744.0,23565.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,681.0,4512.0,7045.0,21046.0,22991.0,43744.0,23565.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,555.0,3877.0,6022.0,17111.0,18193.0,37342.0,23717.0
Zysk netto akcjonariuszy jednostki dominującej,555.0,2823.0,4901.0,13764.0,14679.0,26734.0,19708.0
Aktywa trwałe,382.0,1159.0,5818.0,7683.0,19122.0,50433.0,54747.0
Wartości niematerialne i prawne,7.0,51.0,139.0,882.0,1759.0,19067.0,25462.0
Rzeczowe składniki majątku trwałego,274.0,758.0,3711.0,3725.0,14600.0,24920.0,23121.0
Należności długoterminowe,0.0,0.0,873.0,931.0,576.0,0.0,0.0
Inwestycje długoterminowe,78.0,293.0,720.0,1609.0,1697.0,1079.0,1169.0
Pozostałe aktywa trwałe,23.0,57.0,375.0,536.0,490.0,5367.0,4995.0
Aktywa obrotowe,3050.0,12021.0,21779.0,39390.0,63699.0,115307.0,143770.0
Zapasy,31.0,27.0,114.0,85.0,0.0,45.0,16.0
Należności krótkoterminowe,2487.0,9508.0,17200.0,26446.0,44381.0,77881.0,88720.0
Inwestycje krótkoterminowe,512.0,2425.0,4328.0,12693.0,16971.0,34798.0,45038.0
Środki pieniężne i inne aktywa pieniężne,507.0,2420.0,4146.0,12439.0,16547.0,34179.0,44724.0
Pozostałe aktywa obrotowe,20.0,61.0,137.0,166.0,2347.0,2583.0,9996.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,3432.0,13180.0,27597.0,47073.0,82821.0,165740.0,198517.0
Kapitał własny akcjonariuszy jednostki dominującej,441.0,3266.0,8313.0,22136.0,38103.0,64033.0,83980.0
Kapitał (fundusz) podstawowy,100.0,102.0,102.0,107.0,109.0,109.0,109.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,3301.0,7416.0,650.0,701.0,1940.0
Udziały niekontrolujące,0.0,1104.0,2225.0,5253.0,8725.0,21069.0,24867.0
Zobowiązania długoterminowe,0.0,0.0,1330.0,664.0,6369.0,21159.0,8840.0
Z tytułu dostaw i usług,1127.0,3217.0,5726.0,8650.0,13150.0,25332.0,26091.0
Kredyty i pożyczki,1506.0,4162.0,3401.0,1325.0,999.0,3670.0,29481.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,6000.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,2251.0,906.0,4402.0,12582.0,6246.0
Inne zobowiązania długoterminowe,0.0,0.0,63.0,21.0,204.0,409.0,798.0
Zobowiązania krótkoterminowe,2949.0,8540.0,14725.0,17692.0,29624.0,59479.0,80830.0
Inne zobowiązania krótkoterminowe,316.0,1161.0,3347.0,6811.0,11073.0,11895.0,19012.0
Rozliczenia międzyokresowe,42.0,270.0,1004.0,1328.0,0.0,0.0,0.0
Pasywa razem,3432.0,13180.0,27597.0,47073.0,82821.0,165740.0,198517.0
Przepływy pieniężne z działalności operacyjnej,-387.0,-14.0,4774.0,13625.0,14458.0,33236.0,11910.0
Amortyzacja,49.0,155.0,733.0,1340.0,6338.0,8635.0,11084.0
Przepływy pieniężne z działalności inwestycyjnej,-266.0,-637.0,-1488.0,-2098.0,-4126.0,-5198.0,-10139.0
CAPEX (niematerialne i rzeczowe),260.0,758.0,1923.0,1925.0,5203.0,6841.0,3471.0
Przepływy pieniężne z działalności finansowej,890.0,2565.0,-1560.0,-3233.0,-6224.0,-10406.0,8776.0
Emisja akcji,0.0,2.0,111.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,237.0,1914.0,1726.0,8294.0,4108.0,17632.0,10547.0
