,0,1,2,3,4,5,6,7,8
Period,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,1330.0,347.0,129.0,79.0,672.0,1398.0,2619.0,5700.0,7638.0
Techniczny koszt wytworzenia produkcji sprzedanej,827.0,176.0,35.0,0.0,2772.0,3022.0,4287.0,4648.0,5112.0
Koszty sprzedaży,254.0,410.0,1734.0,2222.0,2275.0,1755.0,1717.0,2527.0,2286.0
Koszty ogólnego zarządu,4779.0,16316.0,5772.0,9617.0,7265.0,6446.0,5664.0,5577.0,4002.0
Zysk ze sprzedaży,-4529.0,-16554.0,-7412.0,-11760.0,-11640.0,-9824.0,-9050.0,-7052.0,-3762.0
Pozostałe przychody operacyjne,39.0,42.0,87.0,267.0,-2267.0,601.0,585.0,370.0,354.0
Pozostałe koszty operacyjne,47.0,180.0,776.0,173.0,239.0,71.0,171.0,2219.0,519.0
Zysk operacyjny (EBIT),-4537.0,-16692.0,-8101.0,-11666.0,-14146.0,-9295.0,-8636.0,-8900.0,-3927.0
Przychody finansowe,105.0,0.0,17.0,60.0,80.0,643.0,0.0,0.0,0.0
Koszty finansowe,1467.0,3398.0,529.0,440.0,672.0,921.0,3252.0,2003.0,756.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-5898.0,-20090.0,-8613.0,-12046.0,-14739.0,-9573.0,-11888.0,-10903.0,-4683.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-5898.0,-20090.0,-8613.0,-12046.0,-14739.0,-9573.0,-11888.0,-10903.0,-4683.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-4908.0,-19003.0,-10454.0,-10448.0,-14834.0,-9806.0,-12485.0,-9543.0,-4927.0
