,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,313786.0,378779.0,386715.0,448282.0,494401.0,541951.0,648159.0,732843.0,760418.0,877782.0,1024937.0,1194456.0,1613780.0,1911104.0
Techniczny koszt wytworzenia produkcji sprzedanej,251190.0,311576.0,309523.0,362397.0,388613.0,420967.0,524574.0,585395.0,586410.0,695736.0,759060.0,877941.0,1222188.0,1380360.0
Koszty sprzedaży,35065.0,48137.0,45286.0,56392.0,63868.0,79137.0,85524.0,88097.0,99993.0,96498.0,106118.0,128058.0,163909.0,283851.0
Koszty ogólnego zarządu,11028.0,11209.0,11527.0,14306.0,17815.0,14876.0,18264.0,23953.0,29430.0,33850.0,33742.0,53544.0,58523.0,97658.0
Zysk ze sprzedaży,16503.0,7857.0,20379.0,15187.0,24105.0,26971.0,19797.0,35398.0,44585.0,51698.0,126017.0,134913.0,169160.0,149235.0
Pozostałe przychody operacyjne,3437.0,3643.0,2790.0,3490.0,2009.0,6124.0,2558.0,2980.0,12470.0,4295.0,7105.0,5312.0,22314.0,24462.0
Pozostałe koszty operacyjne,936.0,1885.0,1921.0,1358.0,4504.0,885.0,2659.0,1806.0,12180.0,4282.0,5509.0,7094.0,59058.0,7880.0
Zysk operacyjny (EBIT),19004.0,9615.0,21248.0,17319.0,21610.0,32210.0,19696.0,36572.0,44875.0,51711.0,127613.0,133131.0,132416.0,165817.0
Przychody finansowe,287.0,282.0,138.0,300.0,443.0,536.0,505.0,771.0,901.0,1489.0,2067.0,1866.0,4096.0,27524.0
Koszty finansowe,4261.0,5213.0,7287.0,5719.0,7085.0,7725.0,7613.0,8514.0,13995.0,18173.0,17658.0,17274.0,29959.0,56457.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,3617.0,-817.0
Zysk z działalności gospodarczej,15030.0,4684.0,14099.0,11900.0,14968.0,25021.0,12588.0,28829.0,31781.0,35027.0,112022.0,118452.0,110170.0,136067.0
