,0,1,2,3,4,5,6,7,8
Period,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-2.59,55.76,326.38,109.21,139.78,9.66,-15.06,-19.03
Techniczny koszt wytworzenia produkcji sprzedanej,,15.12,31.84,26.34,53.81,124.04,112.01,29.97,3.74
Koszty sprzedaży,,-19.01,40.64,644.38,133.91,150.5,1.07,-12.13,-21.48
Koszty ogólnego zarządu,,8.22,-26.3,73.73,66.86,417.84,70.92,4.53,-41.09
Zysk ze sprzedaży,,0.5,171.29,314.01,90.11,101.66,-1.36,-42.53,-12.9
Pozostałe przychody operacyjne,,500.0,-83.33,1700.0,36.11,310.2,118.41,208.66,-1.4
Pozostałe koszty operacyjne,,-97.16,-78.95,8850.0,41.34,-8.6,373.08,504.3,213.83
Zysk operacyjny (EBIT),,50.3,172.91,307.98,90.85,103.1,-3.23,-56.27,-95.16
Przychody finansowe,,248.72,-94.12,6800.0,-60.33,-62.1,-45.78,18442.22,185.74
Koszty finansowe,,-100.0,,-99.84,16900.0,436.47,369.74,246.66,-69.47
Pozostałe przychody (koszty),,,,,100.0,,,,-110.45
Zysk z działalności gospodarczej,,54.91,148.62,338.28,88.69,102.0,-5.24,-60.84,-73.13
Wynik zdarzeń nadzwyczajnych,,,,,,,,,
Zysk przed opodatkowaniem,,54.91,148.62,338.28,88.69,102.0,-5.24,-60.84,-73.13
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,
Zysk netto,,55.53,154.75,333.54,109.45,98.47,-6.82,-62.95,-70.94
Zysk netto akcjonariuszy jednostki dominującej,,55.53,154.75,333.52,109.46,98.47,-6.82,-62.95,-70.94
Aktywa trwałe,,13.09,13.2,24.99,82.75,226.2,1756.2,5.11,-31.31
Wartości niematerialne i prawne,,16.31,-5.72,32.79,55.37,38.38,5588.98,-0.25,-34.21
Rzeczowe składniki majątku trwałego,,-29.79,115.15,247.89,130.36,1403.69,77.77,40.76,-40.9
Należności długoterminowe,,,,,,,,,
Inwestycje długoterminowe,,0.0,29.13,-100.0,,45.18,1016.08,127.3,6.21
Pozostałe aktywa trwałe,,-83.33,13850.0,-4.3,41.57,425.13,231.69,-37.07,7.77
Aktywa obrotowe,,-12.43,148.54,317.06,95.32,204.21,-28.01,-6.7,17.31
Zapasy,,-50.0,-100.0,,,,,,
Należności krótkoterminowe,,6.23,97.03,103.52,116.17,189.14,15.98,-4.31,1.01
Inwestycje krótkoterminowe,,-28.77,204.87,504.76,89.46,215.36,-41.0,-8.09,27.15
Środki pieniężne i inne aktywa pieniężne,,-28.77,204.87,504.76,89.25,214.51,-41.02,-9.29,28.62
Pozostałe aktywa obrotowe,,-2.38,704.88,143.33,94.4,-100.0,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,
Aktywa razem,,-6.6,111.11,273.75,94.7,205.23,60.74,0.08,-12.02
Kapitał własny akcjonariuszy jednostki dominującej,,11.76,114.63,260.03,118.95,158.34,47.47,-2.45,-15.02
Kapitał (fundusz) podstawowy,,0.0,2410.34,0.0,-0.55,0.41,0.41,0.41,0.0
Udziały (akcje) własne,,,,,,,,,0.0
Kapitał (fundusz) zapasowy,,0.0,-8.99,0.0,0.0,0.0,0.0,0.0,-1.21
Udziały niekontrolujące,,,,,,,,,
Zobowiązania długoterminowe,,28.23,-10.06,25.52,49.58,1284.92,773.91,4.97,-56.81
Z tytułu dostaw i usług,,-65.6,60.4,183.82,69.33,973.13,-86.23,91.89,-20.65
Kredyty i pożyczki,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,208.89,3.31,-4.44
Inne zobowiązania długoterminowe,,28.23,-10.06,25.52,49.58,-17.5,12541.53,12.15,-55.28
Zobowiązania krótkoterminowe,,-49.82,128.09,362.82,11.14,485.17,33.3,5.55,25.09
Inne zobowiązania krótkoterminowe,,2.87,203.72,468.42,-6.01,212.54,243.43,-0.67,32.75
Rozliczenia międzyokresowe,,,,,,,,,
Pasywa razem,,-6.6,111.11,273.75,94.7,205.23,60.74,0.08,-12.02
Przepływy pieniężne z działalności operacyjnej,,-41.32,196.41,437.4,61.1,191.57,3.45,-31.17,-11.92
Amortyzacja,,-7.61,8.24,20.59,64.99,168.35,158.81,106.27,22.67
Przepływy pieniężne z działalności inwestycyjnej,,30.36,41.36,-294.2,-100.62,-29.78,-4728.29,75.0,52.13
CAPEX (niematerialne i rzeczowe),,-30.36,-41.36,294.2,96.09,9.5,543.09,62.49,-72.91
Przepływy pieniężne z działalności finansowej,,-0.59,11.32,-160.7,-332.86,-3.42,-165.8,-26.84,38.63
Emisja akcji,,,,-100.0,,,,,-100.0
Dywidenda,,,,120.36,332.89,0.22,165.5,-0.49,-27.67
Przepływy pieniężne razem,,-250.17,631.64,590.07,7.3,352.06,-160.09,86.79,385.68
