,0,1,2,3,4,5,6,7,8
Period,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,17816.0,17355.0,27032.0,115258.0,241133.0,578195.0,634045.0,538558.0,436076.0
Techniczny koszt wytworzenia produkcji sprzedanej,3850.0,4432.0,5843.0,7382.0,11354.0,25438.0,53931.0,70095.0,72717.0
Koszty sprzedaży,6916.0,5601.0,7877.0,58635.0,137154.0,343569.0,347249.0,305131.0,239574.0
Koszty ogólnego zarządu,3064.0,3316.0,2444.0,4246.0,7085.0,36689.0,62708.0,65551.0,38613.0
Zysk ze sprzedaży,3986.0,4006.0,10868.0,44995.0,85540.0,172499.0,170157.0,97781.0,85172.0
Pozostałe przychody operacyjne,2.0,12.0,2.0,36.0,49.0,201.0,439.0,1355.0,1336.0
Pozostałe koszty operacyjne,1340.0,38.0,8.0,716.0,1012.0,925.0,4376.0,26444.0,82990.0
Zysk operacyjny (EBIT),2648.0,3980.0,10862.0,44315.0,84577.0,171775.0,166220.0,72692.0,3518.0
Przychody finansowe,39.0,136.0,8.0,552.0,219.0,83.0,45.0,8344.0,23842.0
Koszty finansowe,30.0,0.0,637.0,1.0,170.0,912.0,4284.0,14851.0,4534.0
Pozostałe przychody (koszty),0.0,0.0,0.0,-17.0,0.0,0.0,0.0,-2746.0,-5779.0
Zysk z działalności gospodarczej,2657.0,4116.0,10233.0,44849.0,84626.0,170946.0,161981.0,63439.0,17047.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2657.0,4116.0,10233.0,44849.0,84626.0,170946.0,161981.0,63439.0,17047.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2123.0,3302.0,8412.0,36469.0,76385.0,151599.0,141265.0,52335.0,15207.0
Zysk netto akcjonariuszy jednostki dominującej,2123.0,3302.0,8412.0,36468.0,76385.0,151599.0,141265.0,52335.0,15207.0
Aktywa trwałe,1688.0,1909.0,2161.0,2701.0,4936.0,16101.0,298866.0,314138.0,215779.0
Wartości niematerialne i prawne,1502.0,1747.0,1647.0,2187.0,3398.0,4702.0,267496.0,266820.0,175544.0
Rzeczowe składniki majątku trwałego,47.0,33.0,71.0,247.0,569.0,8556.0,15210.0,21409.0,12653.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,127.0,127.0,164.0,0.0,591.0,858.0,9576.0,21766.0,23117.0
Pozostałe aktywa trwałe,12.0,2.0,279.0,267.0,378.0,1985.0,6584.0,4143.0,4465.0
Aktywa obrotowe,5703.0,4994.0,12412.0,51766.0,101109.0,307583.0,221414.0,206570.0,242325.0
Zapasy,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,2632.0,2796.0,5509.0,11212.0,24237.0,70080.0,81278.0,77774.0,78560.0
Inwestycje krótkoterminowe,3027.0,2156.0,6573.0,39751.0,75311.0,237503.0,140136.0,128796.0,163765.0
Środki pieniężne i inne aktywa pieniężne,3027.0,2156.0,6573.0,39751.0,75230.0,236608.0,139553.0,126595.0,162826.0
Pozostałe aktywa obrotowe,42.0,41.0,330.0,803.0,1561.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,7391.0,6903.0,14573.0,54467.0,106045.0,323684.0,520280.0,520708.0,458104.0
Kapitał własny akcjonariuszy jednostki dominującej,4873.0,5446.0,11689.0,42084.0,92145.0,238051.0,351051.0,342465.0,291011.0
Kapitał (fundusz) podstawowy,29.0,29.0,728.0,728.0,724.0,727.0,730.0,733.0,733.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18636.0,-18636.0
Kapitał (fundusz) zapasowy,545.0,545.0,496.0,496.0,496.0,496.0,496.0,496.0,490.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,248.0,318.0,286.0,359.0,537.0,7437.0,64993.0,68221.0,29465.0
Z tytułu dostaw i usług,1747.0,601.0,964.0,2736.0,4633.0,49718.0,6845.0,13135.0,10422.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,1193.0,3685.0,3807.0,3638.0
Inne zobowiązania długoterminowe,248.0,318.0,286.0,359.0,537.0,443.0,56002.0,62809.0,28086.0
Zobowiązania krótkoterminowe,2270.0,1139.0,2598.0,12024.0,13363.0,78196.0,104236.0,110022.0,137628.0
Inne zobowiązania krótkoterminowe,523.0,538.0,1634.0,9288.0,8730.0,27285.0,93706.0,93080.0,123568.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,7391.0,6903.0,14573.0,54467.0,106045.0,323684.0,520280.0,520708.0,458104.0
Przepływy pieniężne z działalności operacyjnej,4412.0,2589.0,7674.0,41240.0,66439.0,193714.0,200404.0,137947.0,121505.0
Amortyzacja,578.0,534.0,578.0,697.0,1150.0,3086.0,7987.0,16475.0,20210.0
Przepływy pieniężne z działalności inwestycyjnej,-1097.0,-764.0,-448.0,-1766.0,-3543.0,-4598.0,-222005.0,-55504.0,-26569.0
CAPEX (niematerialne i rzeczowe),1097.0,764.0,448.0,1766.0,3463.0,3792.0,24386.0,39626.0,10733.0
Przepływy pieniężne z działalności finansowej,-2713.0,-2729.0,-2420.0,-6309.0,-27309.0,-28243.0,-75070.0,-95218.0,-58440.0
Emisja akcji,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0
Dywidenda,0.0,0.0,2863.0,6309.0,27311.0,27372.0,72673.0,72318.0,52307.0
Przepływy pieniężne razem,602.0,-904.0,4806.0,33165.0,35587.0,160873.0,-96671.0,-12775.0,36496.0
