,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,418783.0,380368.0,415717.0,775399.0,1238241.0,770152.0,752161.0,1525657.0,1604420.0,1392203.0,1121424.0,1084818.0,1092204.0
Techniczny koszt wytworzenia produkcji sprzedanej,377156.0,357423.0,391423.0,727031.0,1170481.0,725922.0,739451.0,1442547.0,1529044.0,1292314.0,975965.0,825496.0,934200.0
Koszty sprzedaży,873.0,1493.0,1558.0,2186.0,3650.0,961.0,535.0,1298.0,2606.0,2000.0,1793.0,818.0,0.0
Koszty ogólnego zarządu,14005.0,11964.0,11697.0,13874.0,20994.0,25886.0,26193.0,30353.0,30229.0,33118.0,37010.0,37425.0,44168.0
Zysk ze sprzedaży,26749.0,9488.0,11039.0,32308.0,43116.0,17383.0,-14018.0,51459.0,42541.0,64771.0,106656.0,221079.0,113836.0
Pozostałe przychody operacyjne,504.0,429.0,418.0,1079.0,1220.0,1186.0,1210.0,1369.0,1614.0,2741.0,5990.0,6341.0,6573.0
Pozostałe koszty operacyjne,1298.0,481.0,727.0,740.0,1079.0,738.0,500.0,1160.0,1260.0,3883.0,7503.0,6830.0,6494.0
Zysk operacyjny (EBIT),25955.0,9436.0,10730.0,32647.0,43257.0,17831.0,-13308.0,51668.0,42895.0,63629.0,105143.0,220590.0,113915.0
Przychody finansowe,907.0,2542.0,1257.0,2447.0,1934.0,3291.0,3645.0,1068.0,404.0,1703.0,442.0,17848.0,24908.0
Koszty finansowe,4452.0,4880.0,5388.0,4747.0,5123.0,6547.0,5764.0,3882.0,7039.0,6391.0,5362.0,11301.0,10218.0
Pozostałe przychody (koszty),0.0,0.0,0.0,-6.0,9.0,14.0,21.0,-438.0,537.0,-116.0,1030.0,4365.0,566.0
Zysk z działalności gospodarczej,22410.0,7098.0,6599.0,30341.0,40077.0,14589.0,-15406.0,48416.0,36797.0,58825.0,101253.0,231502.0,129171.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,22410.0,7098.0,6599.0,30341.0,40077.0,14589.0,-15406.0,48416.0,36797.0,58825.0,101253.0,231502.0,129171.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20289.0,-443.0,0.0,0.0,0.0,0.0
Zysk netto,31058.0,5594.0,4790.0,25009.0,31954.0,10091.0,-26784.0,19157.0,29146.0,48587.0,77102.0,183852.0,102019.0
Zysk netto akcjonariuszy jednostki dominującej,31058.0,5594.0,4790.0,25009.0,31954.0,10331.0,-26714.0,19153.0,29124.0,48587.0,77079.0,183837.0,102019.0
Aktywa trwałe,99244.0,102254.0,105727.0,115987.0,155576.0,167728.0,154825.0,142858.0,206969.0,228219.0,256010.0,220548.0,228982.0
Wartości niematerialne i prawne,11803.0,11615.0,11028.0,10594.0,11039.0,9860.0,9655.0,9479.0,12067.0,13298.0,13082.0,12679.0,12326.0
Rzeczowe składniki majątku trwałego,68971.0,74603.0,68695.0,72734.0,94112.0,106725.0,118039.0,117932.0,141816.0,137354.0,161245.0,167787.0,172544.0
Należności długoterminowe,3475.0,3358.0,6187.0,4566.0,21908.0,26945.0,7453.0,9810.0,12398.0,22416.0,14917.0,12063.0,11738.0
Inwestycje długoterminowe,1396.0,1483.0,1517.0,1393.0,1374.0,1315.0,1320.0,882.0,777.0,272.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,13599.0,11195.0,18300.0,26700.0,27143.0,22883.0,18358.0,4755.0,39911.0,54879.0,66766.0,28019.0,32374.0
Aktywa obrotowe,253919.0,247089.0,389494.0,706733.0,520342.0,513129.0,635620.0,700485.0,1076729.0,815497.0,702947.0,807924.0,906003.0
Zapasy,25660.0,23800.0,24985.0,36389.0,20588.0,18537.0,61622.0,58459.0,44759.0,57262.0,47492.0,69419.0,121736.0
Należności krótkoterminowe,199848.0,167439.0,240391.0,409422.0,152593.0,282514.0,379481.0,589592.0,818628.0,344038.0,205247.0,237206.0,259160.0
Inwestycje krótkoterminowe,24684.0,50983.0,119908.0,257459.0,342859.0,207105.0,186444.0,36616.0,200927.0,404984.0,439073.0,496212.0,516010.0
Środki pieniężne i inne aktywa pieniężne,24681.0,50975.0,119907.0,257459.0,342859.0,207105.0,186376.0,33942.0,200855.0,404910.0,431881.0,492841.0,516010.0
Pozostałe aktywa obrotowe,3727.0,4867.0,4210.0,3463.0,4302.0,4973.0,8073.0,15818.0,12410.0,9213.0,11135.0,5087.0,9097.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Aktywa razem,353163.0,349343.0,495221.0,822720.0,675918.0,680857.0,790445.0,843343.0,1283698.0,1043716.0,958957.0,1028472.0,1134985.0
Kapitał własny akcjonariuszy jednostki dominującej,113349.0,118492.0,123008.0,203312.0,223562.0,218924.0,182457.0,201810.0,223815.0,251585.0,293054.0,408398.0,509931.0
Kapitał (fundusz) podstawowy,3114.0,3114.0,3114.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0,4594.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,4301.0,4301.0,4301.0,58918.0,58918.0,58918.0,58918.0,58149.0,58149.0,54297.0,54617.0,54617.0,54617.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,-672.0,-912.0,-982.0,-978.0,-956.0,-918.0,-895.0,-880.0,-779.0
Zobowiązania długoterminowe,39257.0,36570.0,32261.0,34337.0,90989.0,93875.0,62851.0,68352.0,117059.0,103070.0,112101.0,119425.0,102021.0
Z tytułu dostaw i usług,143656.0,94218.0,141526.0,304351.0,172109.0,232627.0,219976.0,274596.0,340789.0,159701.0,100914.0,87792.0,209884.0
Kredyty i pożyczki,1884.0,45176.0,61882.0,38450.0,9547.0,38984.0,24225.0,55993.0,58896.0,45122.0,15400.0,6385.0,3839.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,7451.0,8030.0,6383.0,7742.0,10811.0,36584.0,20651.0,17754.0,23571.0,21697.0,21145.0,23500.0,12701.0
Inne zobowiązania długoterminowe,8213.0,4716.0,5100.0,6958.0,10905.0,692.0,798.0,935.0,1580.0,25136.0,35741.0,56809.0,52699.0
Zobowiązania krótkoterminowe,200557.0,194281.0,339952.0,585071.0,362039.0,368970.0,546119.0,574159.0,943780.0,689979.0,554697.0,501529.0,523812.0
Inne zobowiązania krótkoterminowe,47566.0,46857.0,130161.0,234528.0,169572.0,60775.0,281267.0,225816.0,520524.0,463459.0,417238.0,383852.0,297388.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,353163.0,349343.0,495221.0,822720.0,675918.0,680857.0,790445.0,843343.0,1283698.0,1043716.0,958957.0,1028472.0,1134985.0
Przepływy pieniężne z działalności operacyjnej,-7844.0,171.0,64163.0,117537.0,160434.0,-184659.0,68923.0,-166497.0,178775.0,289322.0,134434.0,171863.0,46964.0
Amortyzacja,7381.0,10733.0,10639.0,10514.0,12547.0,14548.0,14921.0,17412.0,22291.0,22800.0,22200.0,24251.0,24749.0
Przepływy pieniężne z działalności inwestycyjnej,-11724.0,-4412.0,-956.0,-2760.0,-12387.0,-1862.0,-14657.0,-8993.0,-19906.0,-8372.0,-8225.0,-2549.0,-1140.0
CAPEX (niematerialne i rzeczowe),11217.0,4406.0,3587.0,4342.0,11856.0,5448.0,16051.0,8828.0,18735.0,5955.0,7590.0,15253.0,27035.0
Przepływy pieniężne z działalności finansowej,-1934.0,30535.0,5725.0,22775.0,1117.0,-1739.0,-74995.0,23056.0,8044.0,-76895.0,-99238.0,-108354.0,-25971.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,11485.0,15849.0,10107.0,0.0,5743.0,20673.0,35144.0,68910.0,0.0
Przepływy pieniężne razem,-21502.0,26294.0,68932.0,137552.0,149164.0,-188260.0,-20729.0,-152434.0,166913.0,204055.0,26971.0,60960.0,19853.0
