,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,0.0,5480.0,11186.0,18941.0,33044.0,53033.0,76254.0,89426.0,109299.0,130867.0,179010.0,222515.0,315722.0
Techniczny koszt wytworzenia produkcji sprzedanej,0.0,613.0,1732.0,2966.0,5080.0,8600.0,11749.0,14350.0,17939.0,17460.0,27907.0,32128.0,46347.0
Koszty sprzedaży,0.0,285.0,762.0,1761.0,2636.0,5656.0,6859.0,7193.0,10465.0,19804.0,31617.0,44156.0,60475.0
Koszty ogólnego zarządu,0.0,1090.0,935.0,2373.0,2049.0,3839.0,4315.0,6533.0,10113.0,11632.0,12287.0,17175.0,23496.0
Zysk ze sprzedaży,0.0,3492.0,7757.0,11841.0,23279.0,34938.0,53331.0,61350.0,70782.0,81971.0,107199.0,129056.0,185404.0
Pozostałe przychody operacyjne,0.0,5.0,1.0,231.0,13.0,13.0,19.0,19.0,14.0,13.0,30.0,121.0,177.0
Pozostałe koszty operacyjne,0.0,350.0,670.0,9.0,98.0,2.0,1.0,7.0,20.0,62.0,116.0,1111.0,93.0
Zysk operacyjny (EBIT),0.0,3147.0,7088.0,12063.0,23194.0,34949.0,53349.0,61362.0,70776.0,81922.0,107113.0,128066.0,185488.0
Przychody finansowe,0.0,4.0,59.0,60.0,115.0,166.0,125.0,132.0,210.0,69.0,5.0,1.0,18.0
Koszty finansowe,0.0,4.0,10.0,11.0,165.0,44.0,7.0,1514.0,0.0,114.0,14.0,125.0,431.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,0.0,3147.0,7137.0,12112.0,23144.0,35071.0,53467.0,59980.0,70986.0,81877.0,107104.0,127942.0,185075.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,0.0,3147.0,7137.0,12112.0,23144.0,35071.0,53467.0,59980.0,70986.0,81877.0,107104.0,127942.0,185075.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,0.0,2396.0,5661.0,9700.0,18557.0,28073.0,42917.0,48305.0,57246.0,76119.0,100160.0,119023.0,172357.0
Zysk netto akcjonariuszy jednostki dominującej,0.0,2396.0,5661.0,9700.0,18557.0,28073.0,42917.0,48305.0,57246.0,76119.0,100160.0,119023.0,172357.0
Aktywa trwałe,432.0,487.0,1180.0,3101.0,3931.0,5552.0,8062.0,11439.0,18569.0,33071.0,37168.0,42231.0,60375.0
Wartości niematerialne i prawne,369.0,295.0,727.0,1207.0,3057.0,3778.0,6059.0,8463.0,13809.0,26528.0,33083.0,38456.0,56992.0
Rzeczowe składniki majątku trwałego,63.0,157.0,372.0,381.0,355.0,568.0,572.0,1231.0,1530.0,4321.0,3657.0,3232.0,2673.0
Należności długoterminowe,0.0,0.0,0.0,0.0,47.0,53.0,40.0,188.0,148.0,182.0,182.0,194.0,201.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,35.0,81.0,1513.0,472.0,1153.0,1391.0,1557.0,3082.0,2040.0,246.0,349.0,509.0
Aktywa obrotowe,761.0,3021.0,7084.0,9811.0,17357.0,26524.0,39471.0,37205.0,42952.0,54557.0,85150.0,95521.0,136956.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,695.0,823.0,1008.0,1442.0,2142.0,3271.0,4510.0,6912.0,10273.0,15815.0,25807.0,39444.0,40269.0
Inwestycje krótkoterminowe,66.0,1677.0,4999.0,8334.0,15158.0,23214.0,34750.0,30134.0,32624.0,38682.0,59233.0,55666.0,95820.0
Środki pieniężne i inne aktywa pieniężne,66.0,1677.0,1355.0,8227.0,15158.0,23214.0,34750.0,30134.0,32624.0,38682.0,59233.0,55666.0,95820.0
Pozostałe aktywa obrotowe,0.0,521.0,1077.0,35.0,57.0,39.0,211.0,159.0,55.0,60.0,110.0,411.0,867.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,1193.0,3508.0,8264.0,12912.0,21288.0,32076.0,47533.0,48644.0,61521.0,87628.0,122318.0,137752.0,197331.0
Kapitał własny akcjonariuszy jednostki dominującej,600.0,2820.0,7015.0,10711.0,19739.0,29526.0,44649.0,45234.0,54345.0,78681.0,107370.0,124510.0,175115.0
Kapitał (fundusz) podstawowy,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0,515.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,1050.0,1050.0,172.0,493.0,621.0,788.0,894.0,7311.0,9807.0,16578.0,28547.0,33306.0,38580.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,1.0,5.0,6.0,4.0,1.0,0.0,0.0,10.0,2339.0,1536.0,796.0,75.0
Z tytułu dostaw i usług,87.0,159.0,69.0,1139.0,364.0,668.0,2231.0,2807.0,4324.0,4856.0,6821.0,11153.0,15081.0
Kredyty i pożyczki,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.0,803.0,820.0,912.0
Inne zobowiązania długoterminowe,0.0,1.0,5.0,6.0,4.0,1.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0
Zobowiązania krótkoterminowe,593.0,687.0,1244.0,2195.0,1545.0,2549.0,2884.0,3410.0,7166.0,6608.0,13412.0,12446.0,22141.0
Inne zobowiązania krótkoterminowe,108.0,528.0,1175.0,1056.0,1181.0,1881.0,653.0,603.0,2842.0,925.0,5788.0,473.0,6148.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,1193.0,3508.0,8264.0,12912.0,21288.0,32076.0,47533.0,48644.0,61521.0,87628.0,122318.0,137752.0,197331.0
Przepływy pieniężne z działalności operacyjnej,0.0,2342.0,6162.0,11140.0,17840.0,28480.0,43205.0,48178.0,61189.0,75817.0,106494.0,115455.0,194778.0
Amortyzacja,0.0,119.0,213.0,551.0,836.0,1210.0,1693.0,1878.0,3750.0,6490.0,9782.0,11921.0,14478.0
