,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,23.82,-22.17,67.52,42.8,-10.81,9.87,17.29,15.11,0.51,30.42,1.8,0.06,1.37,1.79,31.88,7.59
Techniczny koszt wytworzenia produkcji sprzedanej,,18.62,-22.0,72.81,45.16,-10.13,9.37,17.48,16.05,-0.88,30.95,2.4,-2.05,0.86,2.27,33.66,16.94
Koszty sprzedaży,,,194.77,24.08,-10.31,58.29,-4.46,30.52,30.99,14.52,21.56,-12.63,-9.12,75.96,-3.97,44.72,-24.75
Koszty ogólnego zarządu,,66.5,-10.9,23.8,11.49,18.55,-0.38,9.99,11.08,14.24,9.62,14.42,16.09,5.04,8.31,-4.67,22.35
Zysk ze sprzedaży,,99.47,-34.99,24.97,22.02,-50.5,50.37,16.06,-14.16,40.38,36.51,-22.51,65.27,0.66,-13.58,19.01,-279.71
Pozostałe przychody operacyjne,,1.2,773.81,-35.2,0.23,89.68,22.47,-44.13,45.18,43.17,-20.23,-75.28,-328.09,239.62,168.94,-56.62,31.02
Pozostałe koszty operacyjne,,127.07,-36.06,14.43,56.4,-16.19,50.73,31.91,-2.64,39.58,128.12,-78.79,171.39,-31.66,9.56,-13.83,72.31
Zysk operacyjny (EBIT),,90.32,-15.35,11.68,13.46,-40.14,39.03,-10.53,-6.62,41.74,-29.0,47.23,14.91,49.6,2.82,3.7,-316.16
Przychody finansowe,,572.32,-58.62,27.64,17.1,6.16,18.27,94.77,29.16,5.76,-45.01,-37.8,0.79,41.23,5.1,70.58,63.9
Koszty finansowe,,-53.95,315.8,-16.34,101.62,17.73,10.85,-27.51,6.32,69.59,-63.71,22.48,109.44,16.2,-11.87,82.62,93.05
Pozostałe przychody (koszty),,,,,,-1000.0,9.09,-3860.0,231.82,1285.44,100.35,-74.09,73.31,-61.76,237.9,-227.83,-34.76
Zysk z działalności gospodarczej,,145.68,-33.23,18.74,2.23,-48.84,49.99,19.32,6.44,40.13,-0.38,-8.74,3.91,40.62,17.72,-34.81,-523.09
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,145.68,-33.23,18.74,2.23,-48.84,49.99,19.32,6.44,40.13,-0.38,-8.74,3.91,40.62,17.72,-34.81,-523.09
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,
Zysk netto,,140.78,-37.08,27.47,-6.91,-21.05,-2.76,29.07,11.26,37.12,-16.72,3.69,9.03,23.62,26.86,-32.4,-591.15
Zysk netto akcjonariuszy jednostki dominującej,,140.78,-37.08,27.6,-6.99,-20.55,-18.7,53.39,11.26,35.67,-15.84,-1.24,11.71,26.93,-10.76,-77.59,-2328.57
Aktywa trwałe,,76.32,72.5,25.73,11.86,5.03,35.14,18.89,21.78,6.96,-1.83,2.08,9.65,19.4,12.29,21.32,-12.53
Wartości niematerialne i prawne,,27.97,393.58,74.48,-29.12,-3.56,-2.11,-20.77,32.37,114.6,21.81,17.13,-7.25,-2.24,-0.55,-2.15,3.04
Rzeczowe składniki majątku trwałego,,139.24,121.35,18.6,-1.02,-1.92,15.87,-1.08,17.3,2.59,11.69,7.84,25.28,9.14,9.96,7.87,-3.6
Należności długoterminowe,,,,,,27.38,9.63,42.79,40.78,20.12,15.76,-5.05,-27.09,-10.58,-7.21,-71.15,52.76
Inwestycje długoterminowe,,0.0,-100.0,,-1.9,-0.86,1032.91,61.18,15.2,-60.5,34.0,-32.68,67.47,134.57,35.69,55.39,-52.71
Pozostałe aktywa trwałe,,37.38,-11.24,11.07,13.93,15.18,15.16,23.26,22.3,59.83,-46.47,13.19,2.4,5.87,3.61,65.08,34.46
Aktywa obrotowe,,88.03,-11.33,40.48,46.44,13.13,-13.42,20.82,12.65,51.77,-7.45,-6.51,17.43,8.62,28.39,17.9,3.14
Zapasy,,397.08,-0.67,-1.69,13.41,5.24,-7.26,-2.31,35.47,56.34,-11.98,12.57,16.02,17.34,32.64,33.66,-15.75
Należności krótkoterminowe,,-21.13,29.26,113.64,85.15,10.92,-30.14,22.98,9.11,63.71,-8.92,5.16,-12.54,-0.82,42.45,40.46,-18.8
Inwestycje krótkoterminowe,,154.54,-70.31,55.67,56.51,-18.58,152.21,47.7,-0.06,25.21,7.54,-52.12,161.73,14.9,4.78,-46.88,179.94
Środki pieniężne i inne aktywa pieniężne,,154.54,-70.97,59.21,48.58,-14.62,147.56,39.28,3.05,15.51,10.19,-66.02,217.49,48.04,2.8,-49.18,125.49
Pozostałe aktywa obrotowe,,14.31,26.13,2.09,-72.9,554.81,-73.37,-20.14,33.39,31.58,-76.3,-15.91,36.6,-74.93,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,-100.0,,,-100.0,,,,-100.0,,,,,,,,
Aktywa razem,,86.11,1.68,36.6,38.05,11.54,-4.44,20.31,15.01,39.5,-6.27,-4.62,15.6,11.03,24.53,18.64,-0.32
Kapitał własny akcjonariuszy jednostki dominującej,,527.21,6.35,26.79,12.9,7.13,6.78,10.6,8.44,7.54,8.91,1.87,4.77,1.81,11.9,-2.08,-54.69
Kapitał (fundusz) podstawowy,,24.57,0.0,0.0,0.29,0.0,1.18,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,100.0,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,1826.05,37.9,14.34,18.05,14.66,1.89,20.24,6.69,2.32,-5.45,5.71,4.03,-71.15,0.0,2.8,2.99
Udziały niekontrolujące,,,0.0,53400.0,-71.96,1688.67,92.69,-37.18,-83.07,425.27,32.85,34.16,14.39,833.68,24.5,19.49,-6.83
Zobowiązania długoterminowe,,21.46,68.65,123.14,32.86,-24.39,21.11,19.54,29.43,57.77,-35.17,27.02,27.97,6.25,26.45,15.52,37.69
Z tytułu dostaw i usług,,-7.17,-8.83,45.1,48.07,-0.55,7.79,29.65,11.49,54.97,-6.55,-31.39,6.48,4.37,3.15,54.1,0.34
Kredyty i pożyczki,,-49.85,174.21,-43.66,491.89,142.7,-86.16,88.73,-22.13,67.42,19.55,18.62,-40.32,18.07,62.69,-32.68,8.43
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,1.38,11.27,-5.36
