,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,407510.0,504572.0,392711.0,657860.0,939404.0,837820.0,920548.0,1079703.0,1242860.0,1249239.0,1629285.0,1658622.0,1659657.0,1682337.0,1712390.0,2258312.0,2429768.0
Techniczny koszt wytworzenia produkcji sprzedanej,377956.0,448327.0,349694.0,604316.0,877248.0,788382.0,862239.0,1012990.0,1175622.0,1165268.0,1525886.0,1562509.0,1530482.0,1543610.0,1578725.0,2110057.0,2467591.0
Koszty sprzedaży,0.0,899.0,2650.0,3288.0,2949.0,4668.0,4460.0,5821.0,7625.0,8732.0,10615.0,9274.0,8428.0,14830.0,14241.0,20609.0,15509.0
Koszty ogólnego zarządu,10936.0,18208.0,16224.0,20085.0,22393.0,26546.0,26445.0,29087.0,32310.0,36912.0,40462.0,46296.0,53743.0,56454.0,61143.0,58287.0,71315.0
Zysk ze sprzedaży,18618.0,37138.0,24143.0,30171.0,36814.0,18224.0,27404.0,31805.0,27303.0,38327.0,52322.0,40543.0,67004.0,67443.0,58281.0,69359.0,-124647.0
Pozostałe przychody operacyjne,747.0,756.0,6606.0,4281.0,4291.0,8139.0,9968.0,5569.0,8085.0,11575.0,9233.0,2282.0,-5205.0,7267.0,19544.0,8478.0,11108.0
Pozostałe koszty operacyjne,2826.0,6417.0,4103.0,4695.0,7343.0,6154.0,9276.0,12236.0,11913.0,16628.0,37931.0,8044.0,21831.0,14919.0,16345.0,14085.0,24270.0
Zysk operacyjny (EBIT),16539.0,31477.0,26646.0,29757.0,33762.0,20209.0,28096.0,25138.0,23475.0,33274.0,23624.0,34781.0,39968.0,59791.0,61480.0,63752.0,-137809.0
Przychody finansowe,1008.0,6777.0,2804.0,3579.0,4191.0,4449.0,5262.0,10249.0,13238.0,14000.0,7699.0,4789.0,4827.0,6817.0,7165.0,12222.0,20032.0
Koszty finansowe,2432.0,1120.0,4657.0,3896.0,7855.0,9248.0,10251.0,7431.0,7901.0,13399.0,4862.0,5955.0,12472.0,14493.0,12772.0,23324.0,45027.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,-1.0,-11.0,-10.0,-396.0,522.0,7232.0,14489.0,3754.0,6506.0,2488.0,8407.0,-10747.0,-14483.0
Zysk z działalności gospodarczej,15115.0,37134.0,24793.0,29440.0,30097.0,15399.0,23097.0,27560.0,29334.0,41107.0,40950.0,37369.0,38829.0,54603.0,64280.0,41903.0,-177287.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,15115.0,37134.0,24793.0,29440.0,30097.0,15399.0,23097.0,27560.0,29334.0,41107.0,40950.0,37369.0,38829.0,54603.0,64280.0,41903.0,-177287.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,11747.0,28284.0,17796.0,22685.0,21117.0,16671.0,16211.0,20924.0,23281.0,31922.0,26584.0,27564.0,30053.0,37153.0,47133.0,31861.0,-156486.0
Zysk netto akcjonariuszy jednostki dominującej,11747.0,28284.0,17795.0,22707.0,21119.0,16779.0,13641.0,20924.0,23281.0,31586.0,26584.0,26254.0,29328.0,37227.0,33223.0,7444.0,-165895.0
Aktywa trwałe,23867.0,42083.0,72593.0,91273.0,102095.0,107227.0,144911.0,172281.0,209803.0,224399.0,220294.0,224873.0,246568.0,294404.0,330591.0,401088.0,350815.0
Wartości niematerialne i prawne,1144.0,1464.0,7226.0,12608.0,8937.0,8619.0,8437.0,6685.0,8849.0,18990.0,23131.0,27094.0,25130.0,24566.0,24430.0,23904.0,24631.0
Rzeczowe składniki majątku trwałego,9272.0,22182.0,49100.0,58233.0,57637.0,56528.0,65497.0,64787.0,75996.0,77968.0,87086.0,93915.0,117655.0,128407.0,141194.0,152304.0,146815.0
Należności długoterminowe,0.0,0.0,0.0,0.0,12617.0,16072.0,17619.0,25159.0,35419.0,42547.0,49252.0,46765.0,34095.0,30489.0,28292.0,8162.0,12468.0
Inwestycje długoterminowe,111.0,111.0,0.0,2365.0,2320.0,2300.0,26057.0,41999.0,48383.0,19113.0,25612.0,17242.0,28875.0,67733.0,91908.0,142818.0,67536.0
Pozostałe aktywa trwałe,13340.0,18326.0,16267.0,18067.0,20584.0,23708.0,27301.0,33651.0,41156.0,65781.0,35213.0,39857.0,40813.0,43209.0,44767.0,73900.0,99365.0
Aktywa obrotowe,121806.0,229027.0,203068.0,285276.0,417745.0,472585.0,409183.0,494362.0,556920.0,845216.0,782289.0,731358.0,858868.0,932919.0,1197745.0,1412115.0,1456502.0
Zapasy,20440.0,101604.0,100922.0,99216.0,112525.0,118424.0,109832.0,107300.0,145363.0,227256.0,200030.0,225183.0,261264.0,306576.0,406648.0,543540.0,457932.0
Należności krótkoterminowe,63185.0,49831.0,64412.0,137612.0,254793.0,282617.0,197448.0,242830.0,264950.0,433760.0,395066.0,415436.0,363355.0,360360.0,513319.0,721012.0,585488.0
Inwestycje krótkoterminowe,24497.0,62354.0,18515.0,28822.0,45110.0,36728.0,92633.0,136819.0,136732.0,171206.0,184113.0,88149.0,230711.0,265096.0,277778.0,147563.0,413082.0
Środki pieniężne i inne aktywa pieniężne,24496.0,62353.0,18103.0,28822.0,42824.0,36562.0,90512.0,126067.0,129909.0,150055.0,165349.0,56182.0,178374.0,264065.0,271461.0,137948.0,311060.0
Pozostałe aktywa obrotowe,13331.0,15238.0,19219.0,19621.0,5317.0,34816.0,9270.0,7403.0,9875.0,12994.0,3080.0,2590.0,3538.0,887.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,353.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,145673.0,271110.0,275661.0,376549.0,519840.0,579812.0,554094.0,666643.0,766723.0,1069615.0,1002583.0,956231.0,1105436.0,1227323.0,1528336.0,1813203.0,1807317.0
Kapitał własny akcjonariuszy jednostki dominującej,16539.0,103735.0,110318.0,139876.0,157919.0,169184.0,180650.0,199798.0,216653.0,232999.0,253766.0,258507.0,270838.0,275742.0,308546.0,302143.0,136905.0
Kapitał (fundusz) podstawowy,2723.0,3392.0,3392.0,3392.0,3402.0,3402.0,3442.0,3507.0,3507.0,3507.0,3507.0,3507.0,3507.0,3507.0,3507.0,3507.0,3507.0
Udziały (akcje) własne,0.0,0.0,-7812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,3769.0,72593.0,100107.0,114466.0,135125.0,154936.0,157858.0,189806.0,202500.0,207191.0,195896.0,207083.0,215438.0,62154.0,62154.0,63894.0,65804.0
