,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,0.0,58490.0,77851.0,116595.0,178919.0,260318.0,337377.0
Techniczny koszt wytworzenia produkcji sprzedanej,0.0,42216.0,52952.0,81058.0,124884.0,144585.0,156380.0
Koszty sprzedaży,0.0,1482.0,1273.0,2197.0,5144.0,24306.0,44179.0
Koszty ogólnego zarządu,0.0,6446.0,6771.0,9494.0,20326.0,48192.0,65119.0
Zysk ze sprzedaży,0.0,8346.0,16855.0,23846.0,28565.0,43235.0,71699.0
Pozostałe przychody operacyjne,0.0,25.0,21.0,106.0,190.0,-542.0,-2434.0
Pozostałe koszty operacyjne,0.0,267.0,350.0,688.0,404.0,260.0,284.0
Zysk operacyjny (EBIT),0.0,8104.0,16526.0,23264.0,28351.0,42433.0,68981.0
Przychody finansowe,0.0,225.0,935.0,179.0,410.0,1145.0,22068.0
Koszty finansowe,0.0,549.0,769.0,1170.0,1882.0,7151.0,11872.0
Pozostałe przychody (koszty),0.0,-48.0,-439.0,-187.0,-101.0,898.0,660.0
Zysk z działalności gospodarczej,0.0,7732.0,16253.0,22086.0,26778.0,37325.0,79837.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,0.0,7732.0,16253.0,22086.0,26778.0,37325.0,79837.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,0.0,6141.0,14461.0,19416.0,22713.0,31449.0,70622.0
Zysk netto akcjonariuszy jednostki dominującej,0.0,6141.0,14461.0,19416.0,22789.0,31416.0,70397.0
Aktywa trwałe,20100.0,25762.0,28409.0,68017.0,112882.0,499036.0,456003.0
Wartości niematerialne i prawne,14695.0,14993.0,16600.0,54800.0,93368.0,465253.0,431990.0
Rzeczowe składniki majątku trwałego,4363.0,4097.0,3287.0,2934.0,6093.0,19848.0,22750.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,285.0,347.0
Inwestycje długoterminowe,0.0,5926.0,7788.0,9601.0,12659.0,13231.0,73.0
Pozostałe aktywa trwałe,1042.0,746.0,734.0,682.0,762.0,419.0,843.0
Aktywa obrotowe,12792.0,21585.0,35574.0,36435.0,183066.0,87908.0,103052.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,10333.0,10557.0,14795.0,23262.0,32258.0,32605.0,34357.0
Inwestycje krótkoterminowe,1620.0,9877.0,20632.0,12389.0,150155.0,53449.0,66804.0
Środki pieniężne i inne aktywa pieniężne,630.0,7501.0,2664.0,11684.0,116799.0,49040.0,63261.0
Pozostałe aktywa obrotowe,839.0,1151.0,147.0,784.0,653.0,1854.0,1891.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,32892.0,47347.0,63983.0,104452.0,295948.0,586944.0,559055.0
Kapitał własny akcjonariuszy jednostki dominującej,9323.0,25723.0,17314.0,25741.0,206048.0,356039.0,365911.0
Kapitał (fundusz) podstawowy,326.0,356.0,356.0,299.0,369.0,444.0,444.0
Udziały (akcje) własne,-2188.0,-4741.0,-19612.0,-4410.0,-970.0,-844.0,-725.0
Kapitał (fundusz) zapasowy,126.0,15089.0,15089.0,3913.0,176623.0,311089.0,313486.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,834.0,867.0,1731.0
Zobowiązania długoterminowe,10042.0,6933.0,15086.0,47283.0,44567.0,152546.0,108520.0
Z tytułu dostaw i usług,7407.0,8749.0,9139.0,18412.0,27991.0,32286.0,34749.0
Kredyty i pożyczki,2436.0,2131.0,3091.0,6478.0,6474.0,20683.0,16071.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,702.0,664.0,707.0,813.0,1720.0,3264.0,4170.0
Inne zobowiązania długoterminowe,3072.0,2252.0,2116.0,3881.0,5817.0,14553.0,14551.0
Zobowiązania krótkoterminowe,13527.0,14691.0,31583.0,31428.0,44499.0,77492.0,82893.0
Inne zobowiązania krótkoterminowe,2982.0,3147.0,18646.0,5725.0,8314.0,21259.0,27903.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,32892.0,47347.0,63983.0,104452.0,295948.0,586944.0,559055.0
Przepływy pieniężne z działalności operacyjnej,0.0,9833.0,15081.0,25320.0,30557.0,51872.0,85300.0
Amortyzacja,0.0,2049.0,2448.0,2746.0,4678.0,9670.0,15524.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,-9415.0,-20212.0,-22567.0,-71609.0,-220879.0,14864.0
CAPEX (niematerialne i rzeczowe),0.0,1492.0,1672.0,1871.0,5034.0,7144.0,8924.0
Przepływy pieniężne z działalności finansowej,0.0,6453.0,294.0,6268.0,146167.0,100915.0,-83760.0
Emisja akcji,0.0,15000.0,0.0,0.0,170451.0,0.0,0.0
Dywidenda,0.0,0.0,8000.0,10328.0,15061.0,0.0,25006.0
Przepływy pieniężne razem,0.0,6871.0,-4837.0,9021.0,105115.0,-68092.0,16404.0
