,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,7.46,1482.2,73.2,1.51,-39.97,20.63,-7.42,5.78,28.98,0.17,21.03,-53.58,18.22,29.25,29.76,10.49,9.53,12.64,-5.58
Techniczny koszt wytworzenia produkcji sprzedanej,,5.17,1447.31,67.74,8.32,-39.7,17.5,-10.45,7.88,27.9,1.71,17.46,-56.02,20.6,35.55,33.98,9.96,8.95,13.96,-5.91
Koszty sprzedaży,,-24.65,1984.93,53.84,-10.88,-6.52,4.99,-8.33,12.15,0.45,7.99,16.02,-0.25,-0.38,0.37,3.7,-9.48,1.62,30.75,18.92
Koszty ogólnego zarządu,,10.88,520.49,19.29,-3.8,-10.43,2.45,-2.52,16.68,11.94,-1.2,27.14,-15.39,-8.3,31.33,9.4,15.5,5.51,-0.92,1.73
Zysk ze sprzedaży,,35.5,1805.26,248.62,-47.45,-90.86,622.97,44.3,-29.95,99.23,-20.71,71.61,-79.73,79.76,-22.46,14.82,49.29,36.49,-7.64,-34.14
Pozostałe przychody operacyjne,,-96.13,7056.84,-86.12,62.61,6.32,-39.95,208.16,-36.06,181.87,1.98,-56.8,-53.17,89.94,-2.25,23.6,135.27,-13.03,59.28,-34.87
Pozostałe koszty operacyjne,,-57.67,1408.72,47.37,-48.75,28.58,92.49,-70.53,122.13,255.78,-40.48,-13.18,18.15,-59.01,42.38,42.29,-1.67,8.14,152.79,-19.78
Zysk operacyjny (EBIT),,-186.98,1984.52,139.94,-44.36,-98.31,2445.83,145.6,-43.94,59.28,0.97,72.13,-99.99,612400.0,-37.91,-1.2,128.01,30.78,-47.17,-58.33
Przychody finansowe,,-0.58,1414.62,26.33,16.96,13.38,-21.3,4.01,-16.3,-63.94,-40.02,-7.47,176.47,-50.33,167.44,-20.92,-9.2,-7.46,96.07,-20.16
Koszty finansowe,,-92.64,13375.0,-34.76,417.73,-59.3,-2.88,66.84,-13.6,134.42,-75.97,-6.67,-83.74,221.05,-27.52,122.62,-10.16,-53.96,318.42,-1.09
Pozostałe przychody (koszty),,,,100.0,,100.0,,,,172.28,-45.63,-29.96,0.2,67.59,-100.0,,,,,
Zysk z działalności gospodarczej,,-168.74,2608.27,139.89,-52.1,-86.48,300.08,113.65,-42.15,14.32,33.84,72.85,-94.12,592.16,-29.78,-14.25,122.07,33.35,-47.19,-60.6
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-168.74,2608.27,139.89,-52.1,-86.48,300.08,113.65,-42.15,14.32,33.84,72.85,-94.12,592.16,-29.78,-14.25,122.07,33.35,-47.19,-60.6
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,
Zysk netto,,-149.84,2880.48,135.6,-53.09,-92.11,564.34,120.83,-46.28,-2.89,60.04,95.39,-98.55,2543.75,-33.14,-20.46,130.91,29.75,-60.61,-110.51
Zysk netto akcjonariuszy jednostki dominującej,,-149.84,2880.48,135.6,-53.67,-92.91,650.41,121.64,-47.41,-14.03,71.74,98.94,-100.6,6391.39,-28.19,-14.16,110.42,29.22,-59.64,-113.96
Aktywa trwałe,,34.03,7956.53,-5.92,71.06,1.93,-0.92,-0.65,60.25,-5.12,-3.06,-6.57,-5.87,3.53,2.3,3.97,3.55,9.57,4.14,-6.7
Wartości niematerialne i prawne,,-45.83,9073.5,-17.72,103.36,50.25,14.1,39.76,71.59,-4.73,-10.34,-19.85,-15.28,11.01,-7.54,-0.78,13.25,2.31,-24.7,-23.58
Rzeczowe składniki majątku trwałego,,33.91,8293.39,3.31,43.48,-8.34,-8.75,3.55,53.88,-3.54,-0.9,-4.53,-3.78,0.66,17.1,1.59,-0.81,12.22,18.65,-5.74
Należności długoterminowe,,,,,,,,,,-12.5,-23.02,69.07,-0.61,253.99,67.24,559.27,-35.92,94.75,-17.18,-1.08
Inwestycje długoterminowe,,,,-71.78,806.96,-4.86,0.56,-83.63,228.81,-26.18,43.34,26.21,17.71,4.13,-57.29,1.91,31.05,-0.37,-3.14,-2.18
Pozostałe aktywa trwałe,,,1874.57,49.82,-29.39,-10.02,15.74,3.88,-100.0,,-22.64,1164.07,-7.24,-41.47,108.47,-19.62,20.19,-29.85,64.21,97.05
Aktywa obrotowe,,-7.67,1558.38,115.23,-44.91,10.13,16.83,-11.29,34.46,-8.22,-3.79,-8.14,-15.71,15.27,41.14,13.56,18.31,-1.78,6.11,4.06
Zapasy,,1.92,1619.92,120.07,1.64,-24.36,63.84,-31.57,59.62,-9.94,19.3,-68.94,10.84,21.92,105.92,47.93,7.97,-34.64,86.01,-85.02
Należności krótkoterminowe,,23.09,1550.61,131.13,-44.35,4.93,21.16,-26.06,48.65,13.22,-7.24,-42.43,-8.49,57.06,33.15,17.21,0.11,17.01,-5.03,-14.17
Inwestycje krótkoterminowe,,-43.72,1539.48,81.45,-54.24,45.47,-4.47,46.12,-4.18,-71.76,41.65,278.26,-23.39,-36.79,55.63,-5.15,74.57,-22.06,22.04,69.92
Środki pieniężne i inne aktywa pieniężne,,32.43,1477.34,53.08,-89.39,115.76,47.86,62.86,122.83,-70.42,20.71,316.79,-22.8,-56.28,109.58,-7.53,93.7,-23.98,23.77,77.82
