,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-9.97,-67.59,484.34,10.76,299.66,-9.98,5.53,-18.47,-16.05,-7.56,27.68,-21.34,-5.91,-36.49,76.0,-6.75,92.38,-45.34,3.73
Techniczny koszt wytworzenia produkcji sprzedanej,,-9.56,-60.88,281.83,5.47,379.91,-14.22,8.45,-18.04,-6.78,-6.05,24.82,-28.27,-4.58,-31.2,67.17,-10.7,55.85,-40.19,5.78
Koszty sprzedaży,,-36.57,-68.55,2038.67,21.91,25.5,10.19,-8.49,-3.06,-46.35,-12.76,-26.32,-18.01,2.21,-23.95,27.93,-17.9,15.53,-34.31,35.34
Koszty ogólnego zarządu,,-24.87,-7.36,13.25,12.94,104.85,11.75,42.22,3.19,-9.08,1.69,-12.81,-12.69,-6.78,-17.0,-18.84,-10.42,40.23,23.02,-13.96
Zysk ze sprzedaży,,58.24,-246.49,132.92,39.64,1342.33,-3.44,-13.95,-47.72,-82.7,-134.04,1885.6,50.13,-15.06,-85.58,751.24,20.67,278.36,-61.37,0.15
Pozostałe przychody operacyjne,,-14.25,362.5,-95.66,202.46,117.62,1331.88,26.28,-26.82,-54.21,50.37,-19.54,-24.09,-5.66,-18.38,-27.11,-35.05,-23.88,345.56,-30.14
Pozostałe koszty operacyjne,,118.35,108.7,-88.33,14.68,189.62,165.71,156.25,-5.26,158.18,90.42,-89.1,-21.58,111.16,-43.85,130.61,-45.17,-49.29,84.86,-38.53
Zysk operacyjny (EBIT),,16.69,-44.06,138.5,84.42,1232.03,61.43,-10.32,-44.75,-169.65,-145.16,148.82,26.13,-35.31,-74.89,236.22,61.43,336.8,-55.93,-2.0
Przychody finansowe,,-94.06,2966.67,-69.57,1930.36,15.66,-67.07,452.66,-72.42,-100.0,,,,,,,,,,
Koszty finansowe,,115.03,-58.31,148.55,-4.42,144.53,-11.14,255.88,110.26,68.62,-2.8,-22.91,0.25,-21.21,-7.44,-19.05,-8.69,-31.24,-39.05,37.13
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-7.82,-3.01,113.94,758.57,712.87,54.88,-11.96,-72.72,-453.25,-58.6,103.68,220.55,-68.42,-470.12,137.84,281.18,613.13,-57.16,-6.03
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-7.82,-3.01,113.94,758.57,712.87,54.88,-11.96,-72.72,-453.25,-58.6,103.68,220.55,-68.42,-470.12,137.84,281.18,613.13,-57.16,-6.03
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,-158.4,100.0,,,,,
Zysk netto,,-19.69,27.48,102.63,4532.26,717.06,70.81,-10.12,-72.2,-484.19,-60.84,100.25,3650.0,-60.56,-485.77,120.41,473.9,615.18,-55.72,1.66
Zysk netto akcjonariuszy jednostki dominującej,,-19.69,27.48,99.58,29100.0,709.72,70.64,-10.1,-72.2,-484.19,-60.46,100.4,2100.81,-58.29,-484.06,120.41,473.9,615.18,-55.72,1.66
Aktywa trwałe,,-12.02,-48.87,350.32,-1.12,145.91,133.04,30.56,57.56,-22.97,-17.7,-1.22,-5.93,-10.35,-7.44,-1.97,-10.18,-16.34,-5.19,-12.82
Wartości niematerialne i prawne,,,,,-0.06,135.58,-12.35,12.42,-56.6,-91.06,438.86,74.78,-68.44,-2.38,-13.97,-98.48,-47.22,284.21,-71.23,-100.0
Rzeczowe składniki majątku trwałego,,-11.88,-88.76,405.76,-0.96,182.61,395.14,25.72,79.55,-77.19,-18.83,-8.79,-16.58,-8.83,-3.81,4.2,-14.43,-7.49,-4.85,-69.35
Należności długoterminowe,,,,,-78.57,-31.88,-100.0,,242.76,-100.0,,,,,,,,,,
Inwestycje długoterminowe,,,,-100.0,,,3243.68,75.75,120.83,116.46,-21.77,-4.29,3.42,-11.97,-8.81,0.74,-9.41,-17.22,-7.38,0.36
Pozostałe aktywa trwałe,,-14.43,0.0,-67.77,122.43,-9.24,270.83,57.18,111.68,-53.25,-9.07,2.65,19.52,50.22,23.61,-11.12,-6.1,-42.53,80.86,-18.22
Aktywa obrotowe,,-24.25,540.27,70.14,126.84,74.43,10.2,40.08,-15.76,-4.74,-16.42,-20.59,9.93,4.81,34.83,4.93,15.19,-13.02,22.38,16.95
Zapasy,,-39.09,-100.0,,72.63,115.94,9.56,35.72,1.43,-13.8,-17.11,-23.04,13.15,-0.43,38.62,10.4,12.23,-11.36,21.95,16.94
Należności krótkoterminowe,,13.86,13.13,-1.79,60.16,364.61,33.53,101.68,-69.43,95.7,-56.48,-14.12,-0.55,-1.91,-14.22,-12.06,20.38,22.06,37.91,-42.18
Inwestycje krótkoterminowe,,-93.82,67560.87,-80.57,621.44,-43.78,-12.84,-47.2,-58.9,121.6,163.13,-7.14,-2.94,-16.33,94.17,-2.24,39.55,-31.09,18.29,5.29
Środki pieniężne i inne aktywa pieniężne,,-91.87,67560.87,-80.57,621.44,-44.16,-16.99,-44.18,-70.49,158.2,213.61,-6.87,-10.03,-10.37,94.82,-1.88,39.55,-31.1,-68.33,94.04
Pozostałe aktywa obrotowe,,0.0,350.0,1483.33,-52.98,143.28,122.09,449.31,-67.59,-100.0,,,,,,,-100.0,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,-38.04,-100.0,,,,
Aktywa razem,,-16.14,130.33,113.42,85.13,86.87,38.34,36.41,11.32,-14.27,-17.02,-11.57,1.68,-2.49,16.12,2.5,6.63,-13.97,14.76,10.15
Kapitał własny akcjonariuszy jednostki dominującej,,-32.45,454.62,1.3,132.51,76.92,24.94,20.68,-13.52,-41.93,-30.46,0.3,6.8,2.49,-9.33,1.47,11.74,69.85,14.23,12.4
Kapitał (fundusz) podstawowy,,-55.9,0.0,200.04,49.99,229.0,0.0,0.0,-0.23,0.0,19.37,0.0,0.0,0.0,0.0,0.0,-1.25,-0.05,0.0,0.0
Udziały (akcje) własne,,15.41,-100.0,,,,,,100.0,,,,,,,,,100.0,,
Kapitał (fundusz) zapasowy,,5.6,-13.57,360.96,173.24,5.46,27.6,57.46,22.88,-8.65,28.72,0.95,7.29,3.56,11.18,1.0,1.34,0.0,-50.7,22.6
Udziały niekontrolujące,,,,,,,,-100.0,,,-429.41,-50.0,106.67,-100.0,,,,,,
Zobowiązania długoterminowe,,,,,-92.94,3418.04,101.83,138.41,-0.92,31.83,0.44,-14.66,-27.03,-3.23,-19.31,-12.08,47.27,-44.63,-6.77,-5.03
Z tytułu dostaw i usług,,18.06,-90.62,2036.31,18.33,124.13,96.14,22.71,53.86,2.58,-14.54,-40.18,39.63,-46.36,44.46,-1.52,-56.71,7.94,4.34,8.78
Kredyty i pożyczki,,,,,5.19,51.66,78.15,-31.25,20.67,13.16,-36.31,-30.69,33.65,22.75,15.65,34.4,-35.56,-51.41,-24.16,-80.84
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,737.3,255.27,18.04,-14.05,-15.48,-18.97,-2.22,-2.63,0.0,-54.55
Zobowiązania z tytułu leasingu finansowego,,,,,0.0,128.57,-44.79,6471.7,724.72,-98.1,75.64,0.42,-15.37,10.31,-23.25,52.46,0.95,-39.17,-49.69,-26.46
Inne zobowiązania długoterminowe,,,,,-92.27,-65.26,8651.92,247.87,-11.99,-60.86,7.83,43.25,-19.67,-7.38,3.48,-5.76,1.9,-1.71,8.79,-0.53
Zobowiązania krótkoterminowe,,4.36,-76.82,1575.7,96.7,57.29,36.51,17.46,55.61,-18.4,-25.07,-13.79,31.98,-4.34,52.06,7.85,-6.29,-28.65,22.59,12.44
Inne zobowiązania krótkoterminowe,,-2.79,-68.07,241.8,522.19,45.79,-10.14,61.73,18.1,-5.82,-46.12,-71.03,80.96,72.09,199.54,11.73,19.25,-33.14,43.14,39.47
Rozliczenia międzyokresowe,,-22.5,-77.89,-100.0,,,,,,,,,,,,,,,,
Pasywa razem,,-16.14,130.33,113.42,85.13,86.87,38.34,36.41,11.32,-14.27,-17.02,-11.57,1.68,-2.49,16.12,2.5,6.63,-13.97,14.76,10.15
Przepływy pieniężne z działalności operacyjnej,,-195.51,-860.63,-81.28,18.72,169.61,94.73,-290.6,222.4,-118.28,-54.54,182.42,103.33,35.89,79.79,-82.8,68.55,316.84,-97.61,5115.4
Amortyzacja,,-2.39,-29.84,-13.33,35.16,39.84,19.57,64.51,180.99,8.52,-24.43,5.17,-11.75,-10.32,13.05,-36.67,-6.96,-4.24,-15.94,-1.34
Przepływy pieniężne z działalności inwestycyjnej,,180.83,1705.13,-589.84,110.4,-491.85,11.31,-113.37,-101.3,107.05,590.87,-99.37,-1904.55,200.84,216.07,-97.39,-235.35,6900.0,-62.23,-105.75
CAPEX (niematerialne i rzeczowe),,41.63,-51.35,254.17,-11.76,1285.78,-1.96,79.26,96.17,-97.54,852.65,-14.65,-86.0,-77.54,1418.52,91.76,-95.24,224.06,-65.68,3.37
Przepływy pieniężne z działalności finansowej,,125.41,54793.55,-46.87,161.9,-135.52,32.72,498.02,-111.39,286.32,-8.03,-228.52,-68.84,-59.78,-13.74,74.34,124.25,-4315.38,63.0,-70.13
Emisja akcji,,,,-97.55,6498.68,-100.0,,,-100.0,,,,,,,,,,,
Dywidenda,,,,,,4.4,-100.0,,,,,,,,,,,,66.69,0.0
Przepływy pieniężne razem,,-269.93,6076.54,-180.68,249.84,-151.26,78.51,-115.9,10.95,166.21,248.63,-110.08,-35.96,6.99,919.9,-103.85,2168.92,-209.76,-51.36,147.68
