,0,1,2,3,4,5,6,7,8,9,10,11
Period,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,40421.0,38323.0,200570.0,325583.0,415144.0,465613.0,567316.0,708700.0,632286.0,872239.0,1077720.0,1436803.0
Techniczny koszt wytworzenia produkcji sprzedanej,32125.0,35871.0,172358.0,254896.0,328173.0,375939.0,450019.0,565082.0,501297.0,653053.0,846692.0,1139739.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,8296.0,2452.0,28212.0,70687.0,86971.0,89674.0,117297.0,143618.0,130989.0,219186.0,231028.0,297064.0
Pozostałe przychody operacyjne,1315.0,160.0,579.0,810.0,1985.0,988.0,1400.0,1740.0,7547.0,22911.0,8565.0,13557.0
Pozostałe koszty operacyjne,495.0,990.0,4937.0,7546.0,8093.0,12033.0,11426.0,15413.0,16825.0,14510.0,0.0,29428.0
Zysk operacyjny (EBIT),9116.0,1622.0,23854.0,63951.0,80863.0,78629.0,107271.0,129945.0,121711.0,227587.0,239593.0,281193.0
Przychody finansowe,99.0,49.0,294.0,960.0,649.0,620.0,2359.0,2827.0,1336.0,12549.0,26936.0,7192.0
Koszty finansowe,144.0,36.0,17493.0,21400.0,17986.0,19641.0,17963.0,19677.0,32850.0,11914.0,32576.0,68542.0
Pozostałe przychody (koszty),479.0,183.0,0.0,-28111.0,-48126.0,-5319.0,1771.0,-14242.0,1202.0,3538.0,-2532.0,-1138.0
Zysk z działalności gospodarczej,9550.0,1818.0,6655.0,15400.0,15400.0,54289.0,93438.0,98853.0,91399.0,231760.0,231421.0,218705.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,9550.0,1818.0,6655.0,15400.0,15400.0,54289.0,93438.0,98853.0,91399.0,231760.0,231421.0,218705.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,7255.0,1648.0,4149.0,5686.0,53848.0,40032.0,75997.0,71132.0,81699.0,187797.0,178324.0,163954.0
Zysk netto akcjonariuszy jednostki dominującej,7255.0,1648.0,4149.0,4332.0,53756.0,35325.0,73921.0,68998.0,78520.0,182702.0,170531.0,155754.0
Aktywa trwałe,63971.0,66156.0,484962.0,638195.0,729742.0,752229.0,854666.0,909137.0,887333.0,907472.0,1533609.0,1526326.0
Wartości niematerialne i prawne,4988.0,14658.0,434528.0,584907.0,640078.0,648108.0,758754.0,766442.0,767666.0,776527.0,1322714.0,1302760.0
Rzeczowe składniki majątku trwałego,4131.0,4343.0,49281.0,51607.0,57899.0,63013.0,58252.0,106477.0,106898.0,102051.0,109258.0,106956.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,155.0,501.0,208.0,201.0,747.0,1243.0,427.0
Inwestycje długoterminowe,7637.0,0.0,0.0,0.0,2470.0,16031.0,16612.0,35455.0,10005.0,27010.0,96776.0,111975.0
Pozostałe aktywa trwałe,47215.0,47155.0,1153.0,1681.0,29295.0,24922.0,20547.0,555.0,2563.0,1137.0,3618.0,4208.0
Aktywa obrotowe,11095.0,19059.0,84858.0,111684.0,122454.0,141677.0,208780.0,235932.0,356500.0,355475.0,477227.0,558798.0
Zapasy,0.0,0.0,0.0,0.0,0.0,0.0,3369.0,1270.0,7141.0,17312.0,26777.0,28099.0
Należności krótkoterminowe,10069.0,8012.0,53710.0,62723.0,77304.0,95235.0,138748.0,160733.0,161104.0,202799.0,251589.0,278282.0
Inwestycje krótkoterminowe,1026.0,3670.0,31148.0,48961.0,45150.0,46442.0,66663.0,73929.0,188255.0,135364.0,198861.0,252417.0
Środki pieniężne i inne aktywa pieniężne,1026.0,3670.0,31148.0,48961.0,45150.0,46442.0,66663.0,73929.0,188255.0,135364.0,185429.0,239456.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,7377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,75066.0,85215.0,569820.0,749879.0,852196.0,893906.0,1063446.0,1145069.0,1243833.0,1262947.0,2010836.0,2085124.0
Kapitał własny akcjonariuszy jednostki dominującej,68476.0,70094.0,234051.0,341903.0,392258.0,400449.0,457080.0,500881.0,586658.0,728744.0,870031.0,880725.0
Kapitał (fundusz) podstawowy,378.0,378.0,1231.0,1413.0,1434.0,1443.0,1449.0,1451.0,1457.0,1462.0,1464.0,1465.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,206664.0,310453.0,315830.0,318759.0,320895.0,321969.0,324485.0,327085.0,327972.0,328416.0
Udziały niekontrolujące,15.0,3028.0,11544.0,15676.0,16467.0,19479.0,10680.0,12246.0,11036.0,14568.0,52838.0,35101.0
Zobowiązania długoterminowe,0.0,1327.0,247211.0,293426.0,330134.0,307292.0,404565.0,426105.0,435538.0,301780.0,641903.0,634144.0
Z tytułu dostaw i usług,6010.0,9931.0,52649.0,54668.0,68845.0,142303.0,151415.0,148188.0,154590.0,159352.0,265620.0,313084.0
Kredyty i pożyczki,0.0,98.0,19777.0,38399.0,39202.0,13341.0,31939.0,35547.0,34604.0,33791.0,149856.0,188168.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14709.0,14613.0,14861.0,17653.0,23569.0
Inne zobowiązania długoterminowe,0.0,1009.0,46576.0,100744.0,155562.0,103785.0,67345.0,68052.0,56071.0,53360.0,72724.0,64600.0
Zobowiązania krótkoterminowe,6575.0,10766.0,77014.0,98874.0,113337.0,166686.0,191121.0,205837.0,210601.0,217855.0,446064.0,535154.0
