,0,1,2,3,4
Period,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,21.85,43.27,61.46,14.38
Techniczny koszt wytworzenia produkcji sprzedanej,,15.89,24.45,58.52,36.06
Koszty sprzedaży,,,,,
Koszty ogólnego zarządu,,,,,
Zysk ze sprzedaży,,101.57,187.97,71.2,-52.28
Pozostałe przychody operacyjne,,991.67,-93.89,75.0,100.0
Pozostałe koszty operacyjne,,483.33,-90.48,700.0,-85.0
Zysk operacyjny (EBIT),,108.29,181.46,69.31,-51.44
Przychody finansowe,,-94.44,2550.0,-11.32,82.98
Koszty finansowe,,89.55,-100.0,,141.77
Pozostałe przychody (koszty),,,,,
Zysk z działalności gospodarczej,,97.01,219.79,60.68,-59.14
Wynik zdarzeń nadzwyczajnych,,,,,
Zysk przed opodatkowaniem,,97.01,219.79,60.68,-59.14
Zysk (strata) netto z działalności zaniechanej,,,,,
Zysk netto,,77.5,221.01,87.57,-59.26
Zysk netto akcjonariuszy jednostki dominującej,,77.5,221.01,87.57,-59.26
Aktywa trwałe,,518.92,782.75,78.88,92.62
Wartości niematerialne i prawne,,2766.67,1249.22,87.04,84.13
Rzeczowe składniki majątku trwałego,,207.69,37.0,8.39,513.47
Należności długoterminowe,,,,,
Inwestycje długoterminowe,,,,,
Pozostałe aktywa trwałe,,,,47.22,-71.93
Aktywa obrotowe,,68.93,11.97,114.42,-35.69
Zapasy,,,,-43.08,-100.0
Należności krótkoterminowe,,111.69,43.87,165.03,-86.0
Inwestycje krótkoterminowe,,41.41,53.16,103.81,-48.46
Środki pieniężne i inne aktywa pieniężne,,41.41,53.16,106.11,-49.04
Pozostałe aktywa obrotowe,,150.0,-95.92,528.12,613.93
Aktywa trwałe przeznaczone do sprzedaży,,,,,
Aktywa razem,,88.45,121.77,94.26,31.3
Kapitał własny akcjonariuszy jednostki dominującej,,73.98,176.7,115.75,22.28
Kapitał (fundusz) podstawowy,,1062.79,0.0,0.0,0.0
Udziały (akcje) własne,,,,,
Kapitał (fundusz) zapasowy,,-23.71,67.87,244.63,133.14
Udziały niekontrolujące,,,,,
Zobowiązania długoterminowe,,,,,
Z tytułu dostaw i usług,,4.25,44.29,122.22,66.44
Kredyty i pożyczki,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,
Inne zobowiązania długoterminowe,,,,,
Zobowiązania krótkoterminowe,,26.41,34.41,63.34,170.69
Inne zobowiązania krótkoterminowe,,48.45,27.51,16.82,227.13
Rozliczenia międzyokresowe,,932.35,106.55,53.59,-100.0
Pasywa razem,,88.45,121.77,94.26,31.3
Przepływy pieniężne z działalności operacyjnej,,,364.68,84.71,-21.29
Amortyzacja,,1.98,255.34,196.17,137.82
Przepływy pieniężne z działalności inwestycyjnej,,,-496.08,-43.1,-51.17
CAPEX (niematerialne i rzeczowe),,,493.63,43.1,63.69
Przepływy pieniężne z działalności finansowej,,,-100.0,,
Emisja akcji,,,-100.0,,
Dywidenda,,,,,
Przepływy pieniężne razem,,,42.12,241.78,-175.32
