,0,1,2,3,4
Period,2019,2020,2021,2022,2023
Przychody ze sprzedaży,8233.0,10032.0,14373.0,23206.0,26543.0
Techniczny koszt wytworzenia produkcji sprzedanej,7660.0,8877.0,11047.0,17512.0,23826.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,573.0,1155.0,3326.0,5694.0,2717.0
Pozostałe przychody operacyjne,12.0,131.0,8.0,14.0,28.0
Pozostałe koszty operacyjne,18.0,105.0,10.0,80.0,12.0
Zysk operacyjny (EBIT),567.0,1181.0,3324.0,5628.0,2733.0
Przychody finansowe,36.0,2.0,53.0,47.0,86.0
Koszty finansowe,67.0,127.0,0.0,249.0,602.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,536.0,1056.0,3377.0,5426.0,2217.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,536.0,1056.0,3377.0,5426.0,2217.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0
Zysk netto,480.0,852.0,2735.0,5130.0,2090.0
Zysk netto akcjonariuszy jednostki dominującej,480.0,852.0,2735.0,5130.0,2090.0
Aktywa trwałe,74.0,458.0,4043.0,7232.0,13930.0
Wartości niematerialne i prawne,9.0,258.0,3481.0,6511.0,11989.0
Rzeczowe składniki majątku trwałego,65.0,200.0,274.0,297.0,1822.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,288.0,424.0,119.0
Aktywa obrotowe,1632.0,2757.0,3087.0,6619.0,4257.0
Zapasy,0.0,0.0,65.0,37.0,0.0
Należności krótkoterminowe,154.0,326.0,469.0,1243.0,174.0
Inwestycje krótkoterminowe,1164.0,1646.0,2521.0,5138.0,2648.0
Środki pieniężne i inne aktywa pieniężne,1164.0,1646.0,2521.0,5196.0,2648.0
Pozostałe aktywa obrotowe,314.0,785.0,32.0,201.0,1435.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0
Aktywa razem,1706.0,3215.0,7130.0,13851.0,18187.0
Kapitał własny akcjonariuszy jednostki dominującej,930.0,1618.0,4477.0,9659.0,11811.0
Kapitał (fundusz) podstawowy,43.0,500.0,500.0,500.0,500.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,873.0,666.0,1118.0,3853.0,8983.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,1057.0
Z tytułu dostaw i usług,353.0,368.0,531.0,1180.0,1964.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,787.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,224.0
Zobowiązania krótkoterminowe,708.0,895.0,1203.0,1965.0,5319.0
Inne zobowiązania krótkoterminowe,355.0,527.0,672.0,785.0,2568.0
Rozliczenia międzyokresowe,68.0,702.0,1450.0,2227.0,0.0
Pasywa razem,1706.0,3215.0,7130.0,13851.0,18187.0
Przepływy pieniężne z działalności operacyjnej,0.0,787.0,3657.0,6755.0,5317.0
Amortyzacja,101.0,103.0,366.0,1084.0,2578.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,-485.0,-2891.0,-4137.0,-6254.0
CAPEX (niematerialne i rzeczowe),0.0,487.0,2891.0,4137.0,6772.0
Przepływy pieniężne z działalności finansowej,0.0,237.0,0.0,0.0,-1035.0
Emisja akcji,0.0,457.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,0.0,539.0,766.0,2618.0,-1972.0
