,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,198899.0,250630.0,199879.0,392353.0,525340.0,518140.0,410547.0,644130.0,542121.0,343017.0,465316.0,832725.0,996215.0,901358.0,851450.0,921420.0,1484134.0
Techniczny koszt wytworzenia produkcji sprzedanej,163041.0,199533.0,174375.0,352350.0,480504.0,495932.0,387852.0,609958.0,494225.0,326354.0,446224.0,888763.0,968268.0,870040.0,816414.0,878634.0,1428224.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,5148.0,6042.0,8912.0,14793.0,18398.0,16584.0,19735.0,17625.0,22451.0,20212.0,19753.0,21891.0,21173.0,23405.0,25123.0,26163.0,30358.0
Zysk ze sprzedaży,30710.0,45055.0,16592.0,25210.0,26438.0,5624.0,2960.0,16547.0,25445.0,-3549.0,-661.0,-77929.0,6774.0,7913.0,9913.0,16623.0,25552.0
Pozostałe przychody operacyjne,170.0,373.0,450.0,1337.0,3327.0,3950.0,11308.0,4606.0,7294.0,5680.0,5909.0,1276.0,1938.0,4624.0,5686.0,9635.0,6236.0
Pozostałe koszty operacyjne,53.0,188.0,266.0,931.0,1069.0,5704.0,7292.0,7162.0,10171.0,1977.0,3607.0,1237.0,842.0,1917.0,1435.0,8123.0,1370.0
Zysk operacyjny (EBIT),30827.0,45240.0,16776.0,25616.0,28696.0,3870.0,6976.0,13991.0,22568.0,154.0,1641.0,-77890.0,7870.0,10620.0,14164.0,18135.0,30418.0
Przychody finansowe,2401.0,1578.0,2169.0,2977.0,2835.0,4994.0,3353.0,1328.0,1231.0,2530.0,1933.0,2051.0,1227.0,1383.0,2505.0,7886.0,4574.0
Koszty finansowe,878.0,30723.0,8058.0,7444.0,4206.0,4240.0,2857.0,1217.0,1344.0,1393.0,2679.0,1465.0,2344.0,1992.0,1305.0,3914.0,6064.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,32350.0,16095.0,10887.0,21149.0,27325.0,4624.0,7472.0,14102.0,22455.0,1291.0,895.0,-77304.0,6753.0,10011.0,15364.0,22107.0,28928.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,32350.0,16095.0,10887.0,21149.0,27325.0,4624.0,7472.0,14102.0,22455.0,1291.0,895.0,-77304.0,6753.0,10011.0,15364.0,22107.0,28928.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,26081.0,12796.0,8637.0,17168.0,21665.0,3426.0,5607.0,10658.0,17470.0,406.0,233.0,-62585.0,3777.0,4265.0,11821.0,17288.0,21127.0
Zysk netto akcjonariuszy jednostki dominującej,26081.0,12796.0,8638.0,16807.0,21665.0,2617.0,7348.0,10658.0,17206.0,809.0,233.0,-62794.0,3777.0,4260.0,11765.0,16392.0,21032.0
Aktywa trwałe,27607.0,43808.0,111403.0,134531.0,136744.0,180758.0,147370.0,159515.0,141321.0,143917.0,158593.0,182498.0,182336.0,168539.0,175512.0,199433.0,193382.0
