FullName,Ticker,ShortName
11 BIT STUDIOS SPÓŁKA AKCYJNA ,11B,11 BIT STUDIOS  
3R GAMES SPÓŁKA AKCYJNA ,3RG,3R GAMES  
AB SPÓŁKA AKCYJNA ,ABE,AB  
AC SPÓŁKA AKCYJNA ,ACG,AC  
ACTION SPÓŁKA AKCYJNA ,ACT,ACTION  
ADIUVO INVESTMENTS SPÓŁKA AKCYJNA ,ADV,ADIUVO INVESTMENTS  
AGORA SPÓŁKA AKCYJNA ,AGO,AGORA  
AILLERON SPÓŁKA AKCYJNA ,ALL,AILLERON  
AIRWAY MEDIX SPÓŁKA AKCYJNA ,AWM,AIRWAY MEDIX  
ALIOR BANK SPÓŁKA AKCYJNA ,ALR,ALIOR BANK  
ALL IN! GAMES SPÓŁKA AKCYJNA ,ALG,ALL IN! GAMES  
ALLEGRO.EU S.A. ,ALE,ALLEGRO.EU S.A. 
ALTA SPÓŁKA AKCYJNA ,AAT,ALTA  
ALTUS SPÓŁKA AKCYJNA ,ALI,ALTUS  
AMBRA SPÓŁKA AKCYJNA ,AMB,AMBRA  
AMICA SPÓŁKA AKCYJNA ,AMC,AMICA  
ML SYSTEM SPÓŁKA AKCYJNA ,MLS,ML SYSTEM  
MLP GROUP SPÓŁKA AKCYJNA ,MLG,MLP GROUP  
MO-BRUK SPÓŁKA AKCYJNA ,MBR,MO-BRUK  
MOJ SPÓŁKA AKCYJNA ,MOJ,MOJ  
MOLECURE SPÓŁKA AKCYJNA ,MOC,MOLECURE  
MONNARI TRADE SPÓŁKA AKCYJNA ,MON,MONNARI TRADE  
MOSTOSTAL PŁOCK SPÓŁKA AKCYJNA ,MSP,MOSTOSTAL PŁOCK  
MOSTOSTAL WARSZAWA SPÓŁKA AKCYJNA ,MSW,MOSTOSTAL WARSZAWA  
MOSTOSTAL ZABRZE SPÓŁKA AKCYJNA ,MSZ,MOSTOSTAL ZABRZE  
MOVIE GAMES SPÓŁKA AKCYJNA ,MOV,MOVIE GAMES  
MURAPOL SPÓŁKA AKCYJNA ,MUR,MURAPOL  
MUZA SPÓŁKA AKCYJNA ,MZA,MUZA  
NANOGROUP SPÓŁKA AKCYJNA ,NNG,NANOGROUP  
