,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Period,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-76.39,-40.45,130.05,139.24,164.86,26.65,68.49,61.42,16.27,288.09,51.43,52.74,5.62,-19.28,-22.09,-65.53,-71.69,70.75,-20.75,132.33,216.32,64.63,54.64,34.96,75.9,30.72,41.42,28.89,-0.23,-37.73,-53.37,-25.81,-14.47,58.28
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-73.59,-41.1,141.38,141.29,161.48,30.74,65.93,48.0,19.7,266.81,55.15,59.77,8.33,-17.54,-23.45,-61.89,-75.14,86.51,-12.14,147.34,268.59,59.43,49.89,20.94,65.44,16.86,23.27,38.55,1.7,-43.59,-57.78,-38.18,-12.2,77.65
Koszty sprzedaży,,,,,-74.62,37.79,15.27,78.2,-18.04,-17.03,23.0,-23.01,112.65,24.89,12.72,1.26,-1.35,-5.43,-7.7,-8.29,0.2,6.37,3.85,-0.65,-1.05,-7.01,-2.66,15.79,24.15,16.58,10.75,8.96,1.11,5.52,8.01,7.14,12.25,9.32
Koszty ogólnego zarządu,,,,,-40.72,30.76,34.77,25.11,-0.17,-2.02,21.31,7.11,27.05,8.81,21.07,17.82,8.15,20.12,14.08,26.41,25.19,4.23,9.03,-6.49,-6.12,2.28,3.84,22.85,14.43,19.24,22.05,12.27,15.44,12.21,10.14,9.52,7.32,16.05
Zysk ze sprzedaży,,,,,-84.23,-68.85,134.26,173.62,232.69,58.5,85.45,129.26,2.97,712.04,45.4,41.24,-2.79,-28.53,-20.61,-81.18,-71.9,29.2,-49.2,118.64,182.13,103.3,93.28,121.71,130.8,87.61,115.17,-0.45,-6.91,-25.6,-48.57,25.8,-24.76,25.07
Pozostałe przychody operacyjne,,,,,20.93,328.69,343.45,-24.13,-42.79,39.73,-6.69,6.66,444.12,-56.36,89.5,-9.69,-4.13,342.12,20.84,28.79,-61.98,30.52,-52.18,32.29,3.71,-17.5,49.32,65.54,2.86,-69.85,58.61,-14.38,125.02,184.98,23.14,-44.32,-35.53,-32.65
Pozostałe koszty operacyjne,,,,,123.27,168.43,631.58,64.03,-59.43,-65.4,85.61,-77.26,-29.58,78.18,134.88,300.9,793.0,-68.86,-37.46,9.98,-39.31,-42.02,274.14,50.03,-97.42,393.61,-40.55,-73.1,8914.29,41.81,17.79,45.13,-48.89,-48.61,-13.7,310.75,115.19,137.16
Zysk operacyjny (EBIT),,,,,-84.09,-79.36,136.04,158.39,224.63,224.75,83.31,135.77,7.17,529.08,45.47,39.07,-4.31,-17.3,-19.83,-81.35,-71.99,30.57,-51.34,118.27,180.98,84.69,98.85,130.85,124.79,78.94,115.63,-1.21,-4.9,-23.08,-47.95,20.95,-26.06,21.7
Przychody finansowe,,,,,-15.66,270.69,-34.42,-11.82,267.61,-13.27,100.55,34.73,-58.66,347.14,-18.27,318.47,-58.8,-27.29,58.09,-60.46,150.31,4.33,-7.68,-62.68,-27.29,-54.51,-11.09,136.31,2.92,319.18,1697.92,2192.52,-2215.39,-61.12,-61.18,-57.42,125.54,320.86
