,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Period,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,1709.0,1710.0,1828.0,2892.0,2041.0,2375.0,2832.0,3291.0,2830.0,3041.0,2677.0,3376.0,2362.0,2486.0,2915.0,3178.0,2982.0,2644.0,3546.0,4974.0,4812.0,5251.0,5361.0,6358.0,5907.0,4283.0,3705.0,4373.0,1959.0,2223.0,2087.0,2280.0,1652.0,2135.0,1851.0,4016.0,4232.0,-4232.0,0.0,137.0,357.0,247.0,250.0,289.0,266.0,253.0,1288.0,1139.0,1458.0,1238.0,1179.0,1125.0
Techniczny koszt wytworzenia produkcji sprzedanej,1150.0,1353.0,1442.0,1605.0,1806.0,2484.0,2224.0,2740.0,2678.0,3263.0,3084.0,3314.0,2679.0,2996.0,2616.0,3984.0,3301.0,3772.0,3986.0,5631.0,5725.0,6345.0,5735.0,7223.0,6642.0,5730.0,5224.0,5973.0,3323.0,3661.0,3077.0,3302.0,2674.0,2531.0,3281.0,5007.0,5333.0,-4684.0,201.0,449.0,643.0,504.0,477.0,510.0,430.0,482.0,475.0,642.0,676.0,2099.0,941.0,701.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,559.0,357.0,386.0,1287.0,235.0,-109.0,608.0,551.0,152.0,-222.0,-407.0,62.0,-317.0,-510.0,299.0,-806.0,-319.0,-1128.0,-440.0,-657.0,-913.0,-1094.0,-374.0,-865.0,-735.0,-1447.0,-1519.0,-1600.0,-1364.0,-1438.0,-990.0,-1022.0,-1022.0,-396.0,-1430.0,-991.0,-1101.0,452.0,-201.0,-312.0,-286.0,-257.0,-227.0,-221.0,-164.0,-229.0,813.0,497.0,782.0,-861.0,238.0,424.0
Pozostałe przychody operacyjne,45.0,30.0,23.0,31.0,34.0,60.0,19.0,51.0,27.0,23.0,24.0,40.0,16.0,13.0,21.0,50.0,38.0,12.0,0.0,-7.0,59.0,109.0,-12.0,4371.0,20.0,92.0,61.0,170.0,163.0,32.0,1859.0,-2151.0,4.0,-662.0,35.0,113.0,90.0,-62.0,-8.0,21.0,1.0,1.0,33.0,1.0,8.0,24.0,1.0,3.0,0.0,1.0,0.0,33.0
Pozostałe koszty operacyjne,24.0,21.0,24.0,49.0,40.0,97.0,28.0,9730.0,27.0,24.0,22.0,154.0,12.0,1.0,417.0,109.0,33.0,5675.0,36.0,893.0,12.0,199.0,8.0,695.0,99.0,135.0,60.0,4390.0,86.0,3047.0,2167.0,-498.0,367.0,3.0,78.0,1098.0,17.0,49.0,2.0,8.0,19.0,0.0,1.0,6.0,6.0,0.0,19.0,7.0,4.0,0.0,0.0,13.0
Zysk operacyjny (EBIT),580.0,366.0,385.0,1269.0,229.0,-146.0,599.0,-9128.0,152.0,-223.0,-405.0,-52.0,-313.0,-498.0,-97.0,-865.0,-314.0,-6791.0,-476.0,-1557.0,-866.0,-1184.0,-394.0,2811.0,-814.0,-1490.0,-1518.0,-5820.0,-1287.0,-4453.0,-1298.0,-2675.0,-1385.0,-1061.0,-1473.0,-1976.0,-1028.0,341.0,-211.0,-299.0,-304.0,-256.0,-195.0,-226.0,-162.0,-205.0,795.0,493.0,778.0,-860.0,238.0,444.0
Przychody finansowe,4.0,6.0,3.0,28.0,58.0,248.0,253.0,232.0,186.0,133.0,103.0,89.0,57.0,63.0,16.0,20.0,23.0,10.0,12.0,20.0,58.0,48.0,51.0,56.0,46.0,40.0,40.0,42.0,11.0,77.0,41.0,41.0,41.0,84.0,28.0,35.0,121.0,-45.0,31.0,71.0,0.0,0.0,171.0,0.0,0.0,0.0,4.0,9.0,5.0,6.0,4.0,6.0
