,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,479.79,145.37,29.17,15.82,-3.53,0.23,-7.37,-15.39,-9.98,0.0,30.7,14.29,15.85,1.87,-25.89,-11.55,-12.17,-13.85,2.14,-19.13,-9.7,-1.42,-2.86,30.9,16.09,-4.24,4.21,-13.04,-5.23,12.63,10.83,3.3,11.42,12.37,15.61,6.22,16.11,5.56,30.5,48.58,28.66,52.7,8.99,1.88,3.52,-3.08,10.09,18.53,4.72,4.35,-2.18,4.8,8.44,9.16,16.91,3.42,6.2,11.15,10.76,11.92,15.73,12.01,17.93,5.65,11.97
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,360.13,174.34,0.89,16.89,1.35,4.16,-5.09,-12.92,-15.17,-1.39,33.39,4.38,13.48,3.89,-27.63,-7.41,-4.63,-15.25,-3.65,-28.2,-5.71,3.77,0.56,54.31,10.71,-12.89,0.01,-22.31,-12.16,7.51,4.8,-0.17,4.9,6.8,5.4,2.19,11.13,1.1,40.03,38.98,38.89,55.52,6.76,5.65,4.1,-1.89,11.19,8.17,5.19,2.62,-1.34,2.49,11.83,12.54,12.75,8.92,6.81,14.32,13.4,20.08,16.03,10.98,16.46,10.5,9.56
Koszty sprzedaży,,,,,361.67,155.77,253.04,24.48,-0.8,-37.05,-50.84,-54.86,-53.44,-55.95,-39.98,24.96,12.77,53.23,-0.31,-29.1,-29.45,-22.19,-4.78,-19.26,-25.0,-26.61,2.59,11.15,185.63,175.27,218.48,153.29,6.53,13.73,-14.88,-10.18,-6.88,-11.04,-1.05,-3.98,11.6,9.65,103.53,110.42,70.45,76.51,-6.22,-26.99,-10.01,-15.36,-5.12,20.03,6.46,1.92,-12.68,-7.12,2.87,25.74,53.93,90.72,16.7,4.52,-0.73,-17.93,15.59,25.67,2.9,5.31,15.49
Koszty ogólnego zarządu,,,,,662.2,192.85,387.94,0.15,-11.34,8.61,-29.89,-10.77,-11.98,-17.07,19.98,12.55,12.52,-17.16,-16.75,1.01,-8.24,20.32,14.15,-19.58,-34.86,-38.37,-32.36,-32.05,-4.8,-0.12,-0.84,-2.72,16.3,13.72,1.96,15.07,7.1,10.49,30.56,13.72,15.7,22.85,54.29,96.56,9.79,23.27,-15.82,-28.98,2.93,-2.87,1.67,24.99,4.16,-1.57,-2.47,-0.03,0.79,-6.18,12.95,-4.51,-0.06,21.52,7.14,4.22,36.66,17.39,29.17,9.85,24.79
Zysk ze sprzedaży,,,,,2083.99,42.69,99.3,19.82,-14.58,-7.59,25.73,-16.3,25.13,47.91,39.94,48.06,23.77,0.3,-26.19,-24.9,-29.41,-24.51,16.99,8.34,-6.38,10.08,2.95,12.21,25.94,9.66,-0.67,-3.24,5.23,29.07,39.05,10.65,31.68,34.71,37.03,13.9,26.07,9.53,-0.93,44.35,11.23,52.89,28.14,12.37,5.16,-3.21,12.95,33.53,3.6,10.07,-2.11,10.26,4.28,3.64,20.85,-10.44,4.48,3.31,8.73,7.84,10.5,10.39,20.81,-3.07,13.48
Pozostałe przychody operacyjne,,,,,20.99,239.85,53.85,92.4,15.31,135.48,108.75,-64.03,36.73,-52.51,44.91,43.41,2.27,33.65,166.53,108.81,-81.33,-82.01,-39.69,-92.84,679.66,140.0,-68.12,256.41,-66.3,141.67,72.58,-77.7,-1.94,-46.9,-44.86,238.71,-11.84,-11.04,7.63,16.19,53.73,-7.3,-19.69,-18.85,28.16,31.5,73.53,103.03,-8.33,-10.18,0.0,85.07,-39.67,200.0,161.58,-35.75,17.81,-66.0,-68.68,-5.02,1.74,136.6,267.59,171.37,202.86,51.66,-45.78,26.79,-22.83
Pozostałe koszty operacyjne,,,,,1260.0,1716.67,-19.09,38.8,233.82,-82.57,-22.47,-41.73,-53.3,292.11,156.52,938.51,-16.04,5.37,-57.63,-98.5,-22.47,-73.25,-80.0,630.43,13.04,357.14,940.0,229.17,67.95,-44.79,-75.64,-73.96,-37.4,-43.4,100.0,-40.97,4.88,11.67,-1.32,131.76,11.63,-10.45,24.0,7.11,27.08,81.67,-5.38,82.94,-77.87,-38.53,-60.23,-77.2,33.33,405.97,268.57,403.41,16.67,-87.61,-67.44,-90.52,535.71,521.43,76.19,785.71,7.49,51.34,89.19,22.31,-13.94
Zysk operacyjny (EBIT),,,,,1470.45,47.99,104.06,21.58,-15.88,1.21,28.12,-17.94,28.0,37.14,38.71,33.07,23.5,1.21,-19.77,-12.33,-30.92,-25.72,12.49,1.62,-1.34,8.5,-2.74,9.64,19.97,14.41,2.24,-0.74,5.72,26.81,36.27,11.92,31.22,34.0,36.98,13.13,26.45,9.44,-1.24,44.33,11.35,52.52,28.72,12.09,5.52,-3.06,13.19,35.8,3.0,10.19,-1.11,8.63,4.36,3.62,19.3,-9.37,3.36,3.24,10.23,7.98,12.14,10.6,19.22,-2.81,12.99
Przychody finansowe,,,,,-12.26,282.05,777.36,97.9,79.41,33.22,-24.3,-14.44,20.9,23.43,11.65,29.53,14.58,20.82,61.58,-2.87,35.65,7.09,-20.47,16.37,-26.17,-19.09,-51.29,-54.07,-45.2,-30.6,14.63,11.44,22.64,-28.65,-15.96,-29.8,-36.48,50.79,-52.32,55.66,182.01,-47.78,-200.0,43.03,-78.04,138.0,-48.67,-115.47,-18.44,-75.0,169.05,805.48,39.04,-110.08,-68.97,-106.02,-90.15,5225.0,-1544.44,538.71,495.0,-41.95,100.0,50.74,584.87,188.8,,292.2,-15.46
Koszty finansowe,,,,,7900.0,131.71,22.58,-1.22,-5.0,10.53,-40.35,-35.8,42.11,-171.43,38.24,-95.19,-76.85,144.0,206.38,-660.0,756.0,-321.21,-69.44,239.29,-86.92,115.07,-98.86,-164.1,-75.0,-154.55,100.0,124.0,1171.43,-1183.33,50.0,-183.33,91.01,151.95,-5700.0,3180.0,81.18,432.5,448.21,200.0,-18.51,253.05,-124.27,-99.78,62.95,-39.23,554.23,33700.0,222.49,-50.55,-24.96,226.04,-67.17,-61.5,-27.27,-69.42,20.79,409.2,117.61,-10.68,3.44,-20.77,-15.14,16.94,-37.71
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,920.19,52.43,123.74,24.03,-12.98,2.91,24.76,-17.53,27.4,40.28,37.16,34.38,24.08,1.03,-18.49,-11.67,-28.79,-21.79,12.88,1.68,-1.87,3.93,-4.82,6.85,14.98,10.89,2.64,-0.72,5.52,24.89,34.32,10.95,27.64,32.8,36.59,12.6,29.23,5.94,-8.27,42.66,7.52,50.34,35.57,11.68,4.48,-3.46,10.29,36.99,-1.53,10.97,-0.72,4.48,8.45,7.71,17.51,-6.9,3.47,0.15,11.11,8.37,15.67,14.39,19.42,-1.19,13.17
