,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,7285.0,15311.0,27180.0,46201.0,42238.0,37568.0,35108.0,53510.0,40745.0,37656.0,32521.0,45274.0,36680.0,37656.0,42506.0,51745.0,42492.0,38362.0,31500.0,45771.0,37320.0,33049.0,32175.0,37014.0,33700.0,32579.0,31256.0,48452.0,39121.0,31198.0,32572.0,42133.0,37074.0,35137.0,36101.0,43522.0,41306.0,39485.0,41736.0,46229.0,47962.0,41680.0,54464.0,68687.0,61709.0,63646.0,59360.0,69975.0,63881.0,61687.0,65348.0,82944.0,66894.0,64372.0,63921.0,86929.0,72537.0,70267.0,74727.0,89901.0,77031.0,78099.0,82766.0,100619.0,89145.0,87482.0,97606.0,106307.0,99819.0
Techniczny koszt wytworzenia produkcji sprzedanej,5681.0,9221.0,23264.0,29901.0,26140.0,25297.0,23472.0,34951.0,26492.0,26350.0,22278.0,30436.0,22473.0,25984.0,29717.0,31769.0,25503.0,26996.0,21507.0,29415.0,24323.0,22880.0,20722.0,21119.0,22935.0,23742.0,20838.0,32589.0,25391.0,20682.0,20841.0,25317.0,22303.0,22235.0,21842.0,25274.0,23395.0,23748.0,23022.0,25828.0,25999.0,24009.0,32237.0,35896.0,36111.0,37339.0,34416.0,37924.0,37593.0,36634.0,38268.0,41023.0,39545.0,37593.0,37754.0,42046.0,44225.0,42306.0,42568.0,45798.0,47237.0,48364.0,48271.0,54995.0,54809.0,53675.0,56216.0,60770.0,60048.0
Koszty sprzedaży,514.0,1049.0,624.0,2075.0,2373.0,2683.0,2203.0,2583.0,2354.0,1689.0,1083.0,1166.0,1096.0,744.0,650.0,1457.0,1236.0,1140.0,648.0,1033.0,872.0,887.0,617.0,834.0,654.0,651.0,633.0,927.0,1868.0,1792.0,2016.0,2348.0,1990.0,2038.0,1716.0,2109.0,1853.0,1813.0,1698.0,2025.0,2068.0,1988.0,3456.0,4261.0,3525.0,3509.0,3241.0,3111.0,3172.0,2970.0,3075.0,3734.0,3377.0,3027.0,2685.0,3468.0,3474.0,3806.0,4133.0,6614.0,4054.0,3978.0,4103.0,5428.0,4686.0,4999.0,4222.0,5716.0,5412.0
Koszty ogólnego zarządu,709.0,1595.0,995.0,5431.0,5404.0,4671.0,4855.0,5439.0,4791.0,5073.0,3404.0,4853.0,4217.0,4207.0,4084.0,5462.0,4745.0,3485.0,3400.0,5517.0,4354.0,4193.0,3881.0,4437.0,2836.0,2584.0,2625.0,3015.0,2700.0,2581.0,2603.0,2933.0,3140.0,2935.0,2654.0,3375.0,3363.0,3243.0,3465.0,3838.0,3891.0,3984.0,5346.0,7544.0,4272.0,4911.0,4500.0,5358.0,4397.0,4770.0,4575.0,6697.0,4580.0,4695.0,4462.0,6695.0,4616.0,4405.0,5040.0,6393.0,4613.0,5353.0,5400.0,6663.0,6304.0,6284.0,6975.0,7319.0,7867.0
Zysk ze sprzedaży,381.0,3446.0,2297.0,8794.0,8321.0,4917.0,4578.0,10537.0,7108.0,4544.0,5756.0,8819.0,8894.0,6721.0,8055.0,13057.0,11008.0,6741.0,5945.0,9806.0,7771.0,5089.0,6955.0,10624.0,7275.0,5602.0,7160.0,11921.0,9162.0,6143.0,7112.0,11535.0,9641.0,7929.0,9889.0,12764.0,12695.0,10681.0,13551.0,14538.0,16004.0,11699.0,13425.0,20986.0,17801.0,17887.0,17203.0,23582.0,18719.0,17313.0,19430.0,31490.0,19392.0,19057.0,19020.0,34720.0,20222.0,19750.0,22986.0,31096.0,21127.0,20404.0,24992.0,33533.0,23346.0,22524.0,30193.0,32502.0,26492.0
Pozostałe przychody operacyjne,162.0,-133.0,52.0,263.0,196.0,186.0,80.0,506.0,226.0,438.0,167.0,182.0,309.0,208.0,242.0,261.0,316.0,278.0,645.0,545.0,59.0,50.0,389.0,39.0,460.0,120.0,124.0,139.0,155.0,290.0,214.0,31.0,152.0,154.0,118.0,105.0,134.0,137.0,127.0,122.0,206.0,127.0,102.0,99.0,264.0,167.0,177.0,201.0,242.0,150.0,177.0,372.0,146.0,450.0,463.0,239.0,172.0,153.0,145.0,227.0,175.0,362.0,533.0,616.0,530.0,549.0,289.0,781.0,409.0
Pozostałe koszty operacyjne,5.0,12.0,110.0,183.0,68.0,218.0,89.0,254.0,227.0,38.0,69.0,148.0,106.0,149.0,177.0,1537.0,89.0,157.0,75.0,23.0,69.0,42.0,15.0,168.0,78.0,192.0,156.0,553.0,131.0,106.0,38.0,144.0,82.0,60.0,76.0,85.0,86.0,67.0,75.0,197.0,96.0,60.0,93.0,211.0,122.0,109.0,88.0,386.0,27.0,67.0,35.0,88.0,36.0,339.0,129.0,443.0,42.0,42.0,42.0,42.0,267.0,261.0,74.0,372.0,287.0,395.0,140.0,455.0,247.0
Zysk operacyjny (EBIT),538.0,3301.0,2239.0,8874.0,8449.0,4885.0,4569.0,10789.0,7107.0,4944.0,5854.0,8853.0,9097.0,6780.0,8120.0,11781.0,11235.0,6862.0,6515.0,10328.0,7761.0,5097.0,7329.0,10495.0,7657.0,5530.0,7128.0,11507.0,9186.0,6327.0,7288.0,11422.0,9711.0,8023.0,9931.0,12784.0,12743.0,10751.0,13603.0,14463.0,16114.0,11766.0,13434.0,20874.0,17943.0,17945.0,17292.0,23397.0,18934.0,17396.0,19572.0,31774.0,19502.0,19168.0,19354.0,34516.0,20352.0,19861.0,23089.0,31281.0,21035.0,20505.0,25451.0,33777.0,23589.0,22678.0,30342.0,32828.0,26654.0
Przychody finansowe,310.0,78.0,53.0,238.0,272.0,298.0,465.0,471.0,488.0,397.0,352.0,403.0,590.0,490.0,393.0,522.0,676.0,592.0,635.0,507.0,917.0,634.0,505.0,590.0,677.0,513.0,246.0,271.0,371.0,356.0,282.0,302.0,455.0,254.0,237.0,212.0,289.0,383.0,113.0,330.0,815.0,200.0,-113.0,472.0,179.0,476.0,-168.0,-73.0,146.0,119.0,116.0,515.0,203.0,-12.0,36.0,-31.0,20.0,615.0,-520.0,136.0,119.0,357.0,0.0,205.0,815.0,1031.0,-214.0,804.0,689.0
