,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Period,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,32122.0,21605.0,33856.0,48491.0,35347.0,22931.0,39148.0,53112.0,36109.0,30610.0,42625.0,48202.0,42687.0,37514.0,45116.0,51693.0,36545.0,35538.0,41747.0,46974.0,42997.0,35014.0,45301.0,51699.0,50522.0,37369.0,52593.0,53133.0,46752.0,41936.0,59057.0,67568.0,58039.0,52762.0,63483.0,57522.0,55156.0,46521.0,62425.0,32259.0,51934.0,38604.0,50884.0,57770.0,53626.0,44016.0,62148.0,62796.0,74903.0,70610.0,66174.0,59920.0,65572.0,68350.0,67135.0
Techniczny koszt wytworzenia produkcji sprzedanej,21061.0,14940.0,23056.0,32405.0,22450.0,14842.0,27564.0,34608.0,25028.0,21342.0,29905.0,31315.0,28713.0,25511.0,31331.0,34947.0,24569.0,23411.0,27953.0,29650.0,26938.0,21945.0,29688.0,33519.0,31674.0,24161.0,34219.0,34495.0,29501.0,26558.0,38617.0,42211.0,36018.0,32632.0,39747.0,37073.0,35109.0,30061.0,39955.0,19926.0,33527.0,24288.0,33488.0,39070.0,36024.0,30913.0,44361.0,42649.0,50132.0,47919.0,47513.0,42102.0,47608.0,50476.0,47018.0
Koszty sprzedaży,1862.0,1863.0,2143.0,2268.0,2088.0,2689.0,2552.0,2521.0,2417.0,2991.0,2584.0,3199.0,3256.0,4225.0,3750.0,4063.0,3055.0,4141.0,3343.0,3711.0,4286.0,4021.0,3549.0,4331.0,4424.0,4537.0,4383.0,5149.0,4389.0,4696.0,4795.0,5710.0,5869.0,6343.0,5071.0,5053.0,4692.0,5335.0,5180.0,3708.0,5078.0,4662.0,5317.0,6445.0,5646.0,5330.0,5087.0,5521.0,5192.0,5043.0,5212.0,5716.0,5261.0,5933.0,5480.0
Koszty ogólnego zarządu,2338.0,3254.0,2390.0,2941.0,2823.0,3479.0,2716.0,3144.0,2271.0,3423.0,2773.0,2867.0,2770.0,3502.0,2518.0,2688.0,2657.0,3652.0,2437.0,2940.0,3193.0,2545.0,2844.0,3061.0,3277.0,4306.0,3142.0,3346.0,3201.0,3707.0,3438.0,4108.0,3924.0,4268.0,3928.0,4047.0,4051.0,4383.0,4187.0,3656.0,4526.0,4283.0,4016.0,4105.0,4357.0,4328.0,4558.0,4943.0,5325.0,5850.0,4570.0,4811.0,4859.0,5745.0,5032.0
Zysk ze sprzedaży,6861.0,1548.0,6267.0,10877.0,7986.0,1921.0,6316.0,12839.0,6393.0,2854.0,7363.0,10821.0,7948.0,4276.0,7517.0,9995.0,6264.0,4334.0,8014.0,10673.0,8580.0,6503.0,9220.0,10788.0,11147.0,4365.0,10849.0,10143.0,9661.0,6975.0,12207.0,15539.0,12228.0,9519.0,14737.0,11349.0,11304.0,6742.0,13103.0,4969.0,8803.0,5371.0,8063.0,8150.0,7599.0,3445.0,8142.0,9683.0,14254.0,11798.0,8879.0,7291.0,7844.0,6196.0,9605.0
Pozostałe przychody operacyjne,457.0,3192.0,467.0,328.0,452.0,446.0,447.0,493.0,422.0,643.0,654.0,1101.0,552.0,961.0,539.0,731.0,588.0,825.0,612.0,555.0,556.0,698.0,499.0,496.0,576.0,911.0,482.0,721.0,507.0,855.0,503.0,703.0,525.0,452.0,568.0,617.0,1775.0,590.0,489.0,3342.0,1794.0,650.0,477.0,698.0,484.0,1373.0,454.0,453.0,718.0,532.0,593.0,713.0,1166.0,833.0,801.0
Pozostałe koszty operacyjne,67.0,657.0,53.0,193.0,41.0,233.0,24.0,24.0,122.0,817.0,14.0,152.0,53.0,210.0,23.0,50.0,33.0,273.0,275.0,93.0,278.0,372.0,35.0,60.0,22.0,472.0,8.0,241.0,106.0,431.0,31.0,342.0,472.0,1269.0,112.0,192.0,159.0,936.0,196.0,157.0,130.0,1271.0,88.0,105.0,165.0,160.0,165.0,83.0,356.0,2001.0,133.0,79.0,485.0,1326.0,44.0
Zysk operacyjny (EBIT),7251.0,4083.0,6681.0,11012.0,8397.0,2134.0,6739.0,13308.0,6693.0,2680.0,8003.0,11770.0,8447.0,5027.0,8033.0,10676.0,6819.0,4886.0,8351.0,11135.0,8858.0,6829.0,9684.0,11224.0,11701.0,4804.0,11323.0,10623.0,10062.0,7399.0,12679.0,15900.0,12281.0,8702.0,15193.0,11774.0,12920.0,6396.0,13396.0,8154.0,10467.0,4750.0,8452.0,8743.0,7918.0,4658.0,8431.0,10053.0,14616.0,10329.0,9339.0,7925.0,8525.0,5703.0,10362.0
Przychody finansowe,356.0,269.0,83.0,150.0,190.0,183.0,265.0,112.0,2271.0,149.0,379.0,359.0,-167.0,-58.0,180.0,29.0,424.0,612.0,670.0,547.0,69.0,157.0,121.0,321.0,-197.0,572.0,10.0,24.0,8.0,0.0,53.0,488.0,-19.0,54.0,78.0,58.0,682.0,284.0,553.0,-140.0,156.0,148.0,178.0,-178.0,166.0,-166.0,0.0,483.0,-230.0,123.0,165.0,2566.0,-862.0,1790.0,577.0
