,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,96631.0,80081.0,102003.0,254519.0,102739.0,114072.0,139371.0,141505.0,209761.0,292076.0,315502.0,465060.0,414604.0,753278.0,751462.0,867236.0,710025.0,707326.0,697247.0,935654.0,690607.0,761749.0,739426.0,1045951.0,1196900.0,1143300.0,1183200.0,1436600.0,1273800.0,1393000.0,1328100.0,1534200.0,1345500.0,1438900.0,1404000.0,1709700.0,1450300.0,1462700.0,1486300.0,1832600.0,1592000.0,1713100.0,1755100.0,2196000.0,1844400.0,1926200.0,1902300.0,2259100.0,2068300.0,2093700.0,1241500.0,2427000.0,2149000.0,2310900.0,2218400.0,2650300.0,2452200.0,2538700.0,2738400.0,2938100.0,2919500.0,2850000.0,2937800.0,3483000.0,3339100.0,3451900.0,3502100.0,4205000.0,4075500.0,4236300.0,4497100.0,4561200.0,4335400.0,4180000.0,4095200.0,4285900.0
Techniczny koszt wytworzenia produkcji sprzedanej,79982.0,60549.0,65792.0,230624.0,77129.0,84279.0,106876.0,112953.0,140159.0,208881.0,203575.0,295766.0,253982.0,513533.0,488141.0,554412.0,472463.0,447801.0,450773.0,636130.0,453594.0,505606.0,474272.0,727512.0,838600.0,799400.0,855900.0,1066700.0,922400.0,1024700.0,960900.0,1145400.0,985200.0,1068500.0,1047600.0,1342100.0,1090400.0,1114400.0,1110800.0,1396500.0,1203100.0,1298300.0,1315500.0,1689700.0,1401900.0,1481000.0,1433700.0,1748900.0,1619600.0,1667700.0,949900.0,1921500.0,1711700.0,1797600.0,1748500.0,2081600.0,1923400.0,1993700.0,2132800.0,2316500.0,2311300.0,2229500.0,2292700.0,2692600.0,2624100.0,2663200.0,2691400.0,3275200.0,3184500.0,3362400.0,3546500.0,3492600.0,3394900.0,3257800.0,3199900.0,3318200.0
Koszty sprzedaży,3143.0,3165.0,3422.0,2980.0,4956.0,3751.0,3472.0,3343.0,13801.0,19603.0,20270.0,34401.0,39193.0,48412.0,49171.0,66160.0,54391.0,49555.0,49178.0,67669.0,53045.0,55577.0,47499.0,70465.0,85700.0,90700.0,77500.0,95200.0,87500.0,104200.0,93100.0,114700.0,90000.0,102500.0,99200.0,95800.0,94100.0,86500.0,95400.0,117800.0,100500.0,112900.0,111300.0,126800.0,113400.0,117800.0,118100.0,131500.0,126000.0,122200.0,70500.0,128100.0,118400.0,130700.0,120300.0,134500.0,130200.0,132800.0,147300.0,158000.0,148100.0,142800.0,145200.0,174000.0,175100.0,189600.0,188900.0,244900.0,225800.0,229300.0,266800.0,282400.0,241500.0,239100.0,226500.0,234000.0
Koszty ogólnego zarządu,9310.0,10166.0,11201.0,10492.0,11193.0,20751.0,9116.0,11593.0,19818.0,24595.0,26934.0,42936.0,42697.0,70804.0,74550.0,88624.0,70738.0,74957.0,65752.0,90843.0,64299.0,68477.0,64732.0,90564.0,92500.0,94900.0,90500.0,122200.0,97700.0,104800.0,108000.0,123800.0,103500.0,109100.0,109300.0,131800.0,120700.0,109000.0,118300.0,129100.0,120400.0,127000.0,129400.0,166900.0,140500.0,153900.0,146700.0,179800.0,152800.0,158200.0,102000.0,211900.0,147800.0,176600.0,161800.0,189900.0,168900.0,185200.0,184700.0,206400.0,205100.0,170600.0,196900.0,248900.0,214000.0,247300.0,248800.0,267100.0,268400.0,282700.0,279700.0,335400.0,302300.0,284600.0,292400.0,285700.0
Zysk ze sprzedaży,4196.0,6201.0,21588.0,10423.0,9461.0,5291.0,19907.0,13616.0,35983.0,38997.0,64723.0,91957.0,78732.0,120529.0,139600.0,158040.0,112433.0,135013.0,131544.0,141012.0,119669.0,132089.0,152923.0,157410.0,180100.0,158300.0,159300.0,152500.0,166200.0,159300.0,166100.0,150300.0,166800.0,158800.0,147900.0,140000.0,145100.0,152800.0,161800.0,189200.0,168000.0,174900.0,198900.0,212600.0,188600.0,173500.0,203800.0,198900.0,169900.0,145600.0,119100.0,165500.0,171100.0,206000.0,187800.0,244300.0,229700.0,227000.0,273600.0,257200.0,255000.0,307100.0,303000.0,367500.0,325900.0,351800.0,373000.0,417800.0,396800.0,361900.0,404100.0,450800.0,396700.0,398500.0,376400.0,448000.0
Pozostałe przychody operacyjne,530.0,12346.0,326.0,-1618.0,443.0,280.0,51.0,489.0,1225.0,2572.0,2156.0,3633.0,1356.0,3999.0,1733.0,7065.0,3773.0,6529.0,9294.0,9418.0,4588.0,2760.0,9260.0,8607.0,4100.0,8200.0,-5600.0,10300.0,6600.0,10100.0,-12900.0,14700.0,1800.0,3800.0,6300.0,6800.0,3300.0,12300.0,9200.0,7400.0,7800.0,9900.0,9200.0,11400.0,8700.0,16400.0,9100.0,27000.0,7400.0,9900.0,13300.0,11100.0,8600.0,7800.0,16700.0,5600.0,11900.0,11400.0,11400.0,6400.0,8900.0,3600.0,7200.0,7400.0,5700.0,6600.0,8800.0,3600.0,7900.0,201600.0,31600.0,36100.0,15200.0,19600.0,21100.0,30300.0
Pozostałe koszty operacyjne,264.0,722.0,2060.0,-902.0,149.0,364.0,3230.0,597.0,476.0,781.0,1477.0,1961.0,860.0,4110.0,1991.0,9827.0,1646.0,3668.0,1768.0,16424.0,2945.0,2305.0,3530.0,9563.0,2600.0,6400.0,-9000.0,22600.0,2300.0,5500.0,-7800.0,10500.0,1000.0,1800.0,100.0,18800.0,1500.0,16700.0,7100.0,19100.0,11300.0,15700.0,8000.0,12500.0,11300.0,13500.0,8900.0,22900.0,12100.0,11500.0,15200.0,18200.0,12400.0,10000.0,16900.0,11800.0,16900.0,9500.0,23900.0,2100.0,13800.0,7300.0,10800.0,12400.0,8600.0,9400.0,8800.0,10100.0,14400.0,24000.0,13500.0,23700.0,14300.0,23200.0,23900.0,20000.0
Zysk operacyjny (EBIT),4462.0,17825.0,19854.0,9707.0,9755.0,5207.0,16728.0,13508.0,36732.0,40788.0,65402.0,93629.0,79228.0,120418.0,139342.0,155278.0,114560.0,137874.0,139070.0,134006.0,121312.0,132544.0,158653.0,156454.0,181600.0,160100.0,162700.0,140200.0,170500.0,163900.0,161000.0,154500.0,167600.0,160800.0,154100.0,128000.0,146900.0,148400.0,163900.0,177500.0,164500.0,169100.0,200100.0,211500.0,186000.0,176400.0,204000.0,203000.0,165200.0,144000.0,117200.0,158400.0,167300.0,203800.0,187600.0,238100.0,224700.0,228900.0,261100.0,261500.0,250100.0,303400.0,299400.0,362500.0,323000.0,349000.0,373000.0,411300.0,390300.0,539500.0,422200.0,463200.0,397600.0,394900.0,373600.0,458300.0
Przychody finansowe,6570.0,19128.0,19380.0,15098.0,11526.0,11086.0,12545.0,43910.0,11908.0,14524.0,13875.0,24608.0,20226.0,54008.0,63301.0,57577.0,53092.0,-7486.0,12057.0,21397.0,37098.0,7029.0,12776.0,-1311.0,15300.0,12500.0,65000.0,64300.0,34300.0,13800.0,24300.0,15800.0,10200.0,10500.0,2000.0,198300.0,36300.0,7100.0,15600.0,23300.0,21700.0,-2600.0,15600.0,46500.0,8900.0,6000.0,9400.0,24500.0,14600.0,14900.0,362300.0,116800.0,16100.0,38400.0,8900.0,30000.0,15300.0,10100.0,18300.0,2900.0,46700.0,26700.0,11200.0,3800.0,19000.0,35000.0,16900.0,-5300.0,26200.0,54100.0,69500.0,14200.0,49800.0,55300.0,44400.0,16800.0
