,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,290558.0,325391.0,256930.0,329259.0,295144.0,293976.0,245178.0,299382.0,302727.0,333135.0,284004.0,352457.0,313420.0,343676.0,284681.0,335893.0,274447.0,297735.0,246837.0,291108.0,248113.0,281300.0,246563.0,340766.0,295829.0,319279.0,283596.0,335849.0,281265.0,283143.0,264635.0,309545.0,261828.0,271823.0,239996.0,300288.0,253995.0,270776.0,243952.0,333694.0,282819.0,292752.0,259811.0,353958.0,288482.0,296253.0,273399.0,340298.0,300968.0,282715.0,251432.0,330364.0,277997.0,258258.0,258886.0,346017.0,308437.0,269787.0,293258.0,378181.0,289589.0,129533.0,192981.0,224356.0,145952.0,201815.0,266459.0,351648.0,253091.0,261856.0,267162.0,331010.0,295815.0,326880.0,363483.0,438133.0,385926.0
Techniczny koszt wytworzenia produkcji sprzedanej,161548.0,173269.0,141544.0,201011.0,170803.0,176039.0,150468.0,171207.0,181471.0,185458.0,165979.0,189671.0,176427.0,177592.0,160081.0,180789.0,167945.0,178334.0,151358.0,167173.0,146871.0,149867.0,152752.0,206334.0,194319.0,197393.0,187310.0,211772.0,199503.0,194139.0,193694.0,205409.0,177506.0,182238.0,189071.0,203679.0,188253.0,187267.0,178694.0,206149.0,197231.0,199796.0,179992.0,218572.0,208506.0,206116.0,202184.0,232430.0,215170.0,196145.0,184578.0,218772.0,196860.0,181689.0,184295.0,214593.0,220350.0,190799.0,202692.0,228597.0,206904.0,125176.0,143858.0,172599.0,130713.0,150189.0,180698.0,230291.0,190937.0,186137.0,198257.0,208341.0,205309.0,218541.0,245593.0,258423.0,263266.0
Koszty sprzedaży,52753.0,65191.0,55689.0,76692.0,79195.0,81732.0,64989.0,72626.0,74130.0,78071.0,68090.0,98544.0,80823.0,97138.0,78521.0,94312.0,70222.0,73052.0,59182.0,71200.0,54210.0,69255.0,58362.0,70600.0,59449.0,67065.0,59759.0,68339.0,54974.0,58032.0,52780.0,56008.0,54337.0,55788.0,35425.0,54089.0,43757.0,52670.0,51172.0,74354.0,54486.0,60250.0,64458.0,80894.0,50100.0,60368.0,51674.0,63981.0,52441.0,48813.0,46212.0,58676.0,47013.0,49051.0,47355.0,63176.0,48479.0,49879.0,51493.0,72623.0,48642.0,29533.0,34736.0,43550.0,34737.0,40183.0,41993.0,52196.0,43660.0,46137.0,43484.0,56136.0,43604.0,54816.0,53297.0,69291.0,57474.0
Koszty ogólnego zarządu,26896.0,28354.0,28962.0,35850.0,33630.0,32103.0,21690.0,32731.0,29635.0,26798.0,18344.0,34944.0,33436.0,38758.0,26780.0,41395.0,29921.0,25140.0,20074.0,27215.0,28832.0,27783.0,22061.0,33644.0,31810.0,28762.0,27376.0,31268.0,29346.0,28358.0,26602.0,31126.0,29021.0,27951.0,25779.0,31657.0,30309.0,30190.0,25581.0,34046.0,28854.0,29886.0,24473.0,37406.0,28852.0,32055.0,27572.0,36707.0,31970.0,31705.0,29130.0,38635.0,34994.0,35756.0,31207.0,39122.0,37752.0,37748.0,32756.0,45655.0,38990.0,27365.0,30820.0,37956.0,38337.0,38059.0,35207.0,44145.0,40993.0,43239.0,41844.0,49331.0,52422.0,54727.0,51220.0,63303.0,56757.0
Zysk ze sprzedaży,49361.0,58577.0,30735.0,15706.0,11516.0,4102.0,8031.0,22818.0,17491.0,42808.0,31591.0,29298.0,22734.0,30188.0,19299.0,19397.0,6359.0,21209.0,16223.0,25520.0,18200.0,34395.0,13388.0,30188.0,10251.0,26059.0,9151.0,24470.0,-2558.0,2614.0,-8441.0,17002.0,964.0,5846.0,-10279.0,10863.0,-8324.0,649.0,-11495.0,19145.0,2248.0,2820.0,-9112.0,17086.0,1024.0,-2286.0,-8031.0,7180.0,1387.0,6052.0,-8488.0,14281.0,-870.0,-8238.0,-3971.0,29126.0,1856.0,-8639.0,6317.0,31306.0,-4947.0,-52541.0,-16433.0,-29749.0,-57835.0,-26616.0,8561.0,25016.0,-22499.0,-13657.0,-16423.0,17202.0,-5520.0,-1204.0,13373.0,47116.0,8429.0
Pozostałe przychody operacyjne,6098.0,5321.0,5367.0,7450.0,4987.0,4950.0,4922.0,4369.0,6419.0,3258.0,2431.0,5727.0,2548.0,3636.0,4989.0,4726.0,3828.0,3089.0,3860.0,5348.0,5209.0,6892.0,4569.0,8664.0,5591.0,4343.0,3142.0,5826.0,4818.0,5468.0,4383.0,8562.0,2548.0,5419.0,3534.0,13156.0,2675.0,2458.0,6299.0,1807.0,3507.0,3154.0,7832.0,5424.0,4313.0,2716.0,1901.0,20911.0,4320.0,2728.0,3028.0,4258.0,16627.0,2932.0,1555.0,1401.0,129.0,1176.0,3155.0,5012.0,9017.0,9520.0,16408.0,6313.0,9121.0,3387.0,4473.0,2834.0,1466.0,3683.0,17597.0,2060.0,1568.0,3089.0,3497.0,3011.0,3063.0
Pozostałe koszty operacyjne,3482.0,7944.0,5531.0,10852.0,13225.0,-768.0,7155.0,6443.0,5112.0,5885.0,3412.0,4341.0,2698.0,3639.0,7102.0,49468.0,4488.0,9405.0,7291.0,11387.0,6744.0,17195.0,4127.0,8551.0,5663.0,4027.0,4314.0,22945.0,4399.0,5817.0,6053.0,28664.0,3802.0,6965.0,5185.0,8718.0,3917.0,3102.0,4647.0,19845.0,3224.0,2365.0,3185.0,5453.0,2308.0,1783.0,3569.0,3386.0,2145.0,1994.0,3643.0,92820.0,2691.0,17476.0,1640.0,15880.0,1514.0,1707.0,1213.0,11200.0,23613.0,10302.0,4330.0,11051.0,797.0,4347.0,1891.0,3757.0,1680.0,1809.0,1035.0,49727.0,1035.0,1216.0,2292.0,15830.0,994.0
Zysk operacyjny (EBIT),51977.0,55954.0,30571.0,12304.0,3278.0,9820.0,5798.0,20744.0,18798.0,40181.0,30610.0,30684.0,22584.0,30185.0,17186.0,-25345.0,5699.0,14893.0,12792.0,19481.0,16665.0,24092.0,13830.0,30301.0,10179.0,26375.0,7979.0,7351.0,-2139.0,2265.0,-10111.0,-3100.0,-290.0,4300.0,-11930.0,15301.0,-9566.0,5.0,-9843.0,1107.0,2531.0,3609.0,-4465.0,17057.0,3029.0,-1353.0,-9699.0,24705.0,3562.0,6786.0,-9103.0,-74281.0,13066.0,-22782.0,-4056.0,14647.0,471.0,-9170.0,8259.0,25118.0,-19543.0,-53323.0,-4355.0,-34487.0,-49511.0,-27576.0,11143.0,24093.0,-22713.0,-11783.0,139.0,-30465.0,-4987.0,669.0,14578.0,34297.0,10498.0
Przychody finansowe,5767.0,4061.0,4072.0,4004.0,3934.0,1949.0,5258.0,3165.0,3954.0,4134.0,4475.0,4514.0,5914.0,5664.0,4225.0,5335.0,3739.0,2525.0,2726.0,3183.0,4157.0,3325.0,3207.0,3425.0,3881.0,4347.0,3790.0,7668.0,5443.0,2140.0,3926.0,5703.0,2470.0,1337.0,2237.0,2866.0,2071.0,2257.0,4065.0,2338.0,1274.0,1332.0,458.0,1045.0,1591.0,741.0,556.0,765.0,832.0,706.0,10890.0,958.0,766.0,27563.0,604.0,776.0,635.0,5026.0,3228.0,3978.0,349.0,3658.0,130.0,9136.0,30.0,11399.0,-10799.0,4100.0,509.0,7031.0,696.0,-1708.0,51519.0,-15294.0,-20494.0,38440.0,5910.0
