,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Period,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-0.79,-70.72,-52.12,123.73,73449.6,58179.42,54693.17,-98.87,-100.18,-99.96,-99.35,-117075.0,85.88,-3914.93,-94.15,32.97,1962.5,-2.58,-226.92,-8.23,-106.04,57.17,136.36,95.85,100.0,100.0,-100.0,100.0,,,,,,93.06,392.46,-59.93,-0.59,-49.38,-62.62,-61.27,-60.76,-70.61,-78.26,-86.22
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-1.0,-56.4,-7.65,59.46,62279.8,48177.54,43293.31,-156.5,-99.95,-99.93,-99.93,136.33,3.12,-13.45,1.96,5.5,359.6,348.54,113.46,41.74,-61.1,-52.38,-81.53,-55.83,-92.09,-81.36,-29.27,-31.94,314.29,22841.46,26924.14,-26693.88,3572.41,-82.86,-72.36,131.36,93.71,84.8,13.99,-63.22,-91.69,-96.84,-82.99,-116.23
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55.08,-45.11,-8.88,-23.61,-40.02,-63.33,-76.31,-94.99,-98.96
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.02,8.7,-8.69,29.33,-1.42,-7.72,-54.64,-62.73,-15.79
Zysk ze sprzedaży,,,,,2.17,-131.67,-136.11,1135.29,271.11,428.07,376.92,75.0,-666.23,-127.81,337.22,-3173.7,66.28,-5013.46,-106.61,32.52,398.64,-15.98,-453.85,-8.83,-152.62,56.45,94.1,94.91,93.94,96.95,-70.59,86.16,-314.29,-14060.98,-21986.21,16159.18,-8817.24,61.37,76.78,-151.58,6.81,-184.22,-294.08,-5.64,61.97,78.98,81.88,63.22
Pozostałe przychody operacyjne,,,,,,,0.0,27.12,,,-100.0,-100.0,-100.0,-100.0,,,,,-100.0,800.0,,,,103.7,,,,-100.0,,,,,,,,18375.0,,-1762.61,163.78,-106.36,-99.96,100.24,-98.57,121.28,3040.0,33.33,10150.0,5080.0
Pozostałe koszty operacyjne,,,,,,,,9400.0,,-100.0,-100.0,-100.0,-100.0,,,,,,,-100.0,,,,,,,2100.0,-69.81,-100.0,4300.0,-100.0,-100.0,,-64.29,,,,-48646.67,-83.33,-114.41,-99.89,140.99,-20.0,2752.16,1915.38,-96.48,0.0,-99.56
Zysk operacyjny (EBIT),,,,,-2.27,-133.89,-135.56,280.49,233.33,449.18,381.25,6920.51,-826.67,-124.41,337.78,-187.77,66.28,-5013.46,-106.6,33.83,398.64,-15.98,-455.77,-10.09,-152.85,56.49,86.51,94.49,93.97,93.82,25.64,88.34,-314.29,-6359.04,-23706.9,9944.44,11362.07,51.33,82.37,-179.1,-173.84,-258.07,-381.84,-477.74,63.07,84.79,88.74,94.42
Przychody finansowe,,,,,,,-102.67,-102.15,811.76,4.0,-1166.67,100.0,-100.0,-100.0,100.0,,,,,-100.0,,-100.0,100.0,,,,,1455.56,,-100.0,-100.0,-100.0,,,,,,,-100.0,100.47,-100.0,100.0,,6600.0,,,,765.67
