,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Period,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,36.12,32.79,-29.3,1.54,48.37,5.02,28.67,8.57,-54.98,61.13,13.17,495.05,532.26,209.89,388.44,23.04,-20.53,11.59,11.98,2.87,112.04,31.35,19.04,20.22,7.34,11.89,21.81,17.39,12.62,14.59,45.2,11.51,41.31,0.58,4.71,11.58,3.52,20.71,21.66,32.07,71.52,24.0,96.87,119.94,85.55,78.95,44.13,13.73,2.38,-6.2
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,27.33,29.27,-13.78,-2.95,35.31,-10.84,-62.61,-67.2,-99.27,-47.22,-37.01,1698.99,30208.33,511.55,2496.43,11.08,-36.8,39.55,24.08,31.18,185.99,56.12,24.44,22.24,20.63,13.17,27.1,17.7,13.54,24.56,47.63,25.85,36.74,9.85,2.06,5.2,1.39,-3.39,15.45,32.36,70.52,12.6,99.15,136.06,75.84,123.59,53.88,13.29,19.35,-8.43
Koszty sprzedaży,,,,,,,,,,,,,,,81.9,249.13,681.16,107.13,96.33,81.82,29.96,46.32,11.12,-30.54,-9.99,2.2,14.7,-4.21,27.36,-23.07,15.14,34.0,3.86,40.63,21.19,5.09,3.18,6.99,-0.08,-5.72,-18.91,-7.6,5.65,15.25,93.84,35.79,35.23,68.42,24.79,-88.51,7.68,-24.61,-18.15,1077.33
Koszty ogólnego zarządu,,,,,,,,,,,,,,,-24.51,89.41,116.57,308.06,133.98,-30.97,-25.94,-26.48,8.7,28.41,52.93,-17.56,-8.71,30.52,-34.17,14.93,19.08,7.33,34.18,39.38,22.59,-3.09,55.88,-3.33,42.74,27.46,5.57,73.76,4.63,36.77,60.57,34.95,101.09,123.25,151.42,15.66,25.51,-1.19,-38.76,64.49
Zysk ze sprzedaży,,,,,153.15,52.63,-51.46,9.85,135.91,80.72,-36.82,-62.74,-36.42,133.85,79.75,593.62,-74.22,77.76,112.12,63.23,132.86,-38.0,-60.02,-44.5,414.72,5.65,34.21,30.3,-64.96,50.95,-43.18,9.03,-25.0,-59.58,253.56,-55.06,443.31,-139.64,-6.34,136.71,54.59,918.24,232.35,43.32,72.14,59.39,134.57,49.12,141.56,80.95,23.23,78.63,-31.92,-69.72
Pozostałe przychody operacyjne,,,,,,-56.25,2700.0,66.67,-33.33,21.43,33.57,40.0,50.0,-100.0,-94.65,1171.43,1233.33,,300.0,-76.4,1117.5,-97.95,-77.5,19.05,-96.51,250.0,388.89,-100.0,-29.41,-85.71,95.45,,-208.33,-550.0,-101.16,295.83,538.46,-88.89,5500.0,-88.42,-78.95,52.94,31.48,-745.45,-100.0,1125.0,-71.83,235.21,,-41.46,2345.0,1111.46,-29.92,-552.08
Pozostałe koszty operacyjne,,,,,,2314.29,-80.0,,,-92.31,400.0,-100.0,,46.15,120.0,,,-157.89,-100.0,-100.0,690.62,3109.09,,,-84.58,-104.23,-50.0,-85.96,-89.74,142.86,-60.0,462.5,3175.0,383.33,300.0,140.0,-112.21,175.86,204.17,-100.0,31.25,243.75,-34.93,,-1154.55,-104.73,317.89,-60.23,198.55,26438.46,60.71,5572.06,1953.68,-87.68
Zysk operacyjny (EBIT),,,,,172.39,19.39,-38.38,8.16,134.52,125.96,-22.44,-61.53,-36.21,131.85,15.16,597.44,-72.89,85.05,119.32,59.96,278.38,-45.47,-65.24,-45.61,195.71,16.9,52.69,31.88,-64.01,49.76,-33.48,8.59,-50.17,-60.2,184.99,-55.18,731.31,-144.49,-9.91,139.75,50.95,813.61,256.58,35.47,74.78,66.83,126.84,57.85,138.26,51.98,26.59,39.59,-49.29,-67.67
Przychody finansowe,,,,,,-89.78,883.33,825.0,-81.11,-24.32,-27.12,-35.14,82.35,-89.29,-20.93,137.5,70.97,333.33,-35.29,-73.68,-69.81,80.77,154.55,46.67,18.75,223.4,-64.29,-36.36,510.53,-88.16,25.0,550.0,-121.55,150.0,-60.0,-91.21,144.0,-37.78,3980.0,-4587.5,27.27,532.14,-98.04,135.65,-50.0,73.45,5112.5,1772.66,37000.0,-1199.67,346.28,-13.1,-108.09,135.07
