,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2
Przychody ze sprzedaży,61057.0,149585.0,53639.0,76316.0,61379.0,194508.0,62531.0,89736.0,94247.0,276643.0,-5537.0,74607.0,105011.0,242350.0,1379.0,80031.0,79331.0,181047.0,63547.0,74982.0,81931.0,185390.0,60206.0,82205.0,85264.0,190220.0,72367.0,81266.0,80006.0,188721.0,65808.0,90017.0,86143.0,174774.0,68797.0,88478.0,86785.0,165124.0,64649.0,80355.0,86808.0,168711.0,74626.0,93995.0,97119.0,186404.0,80502.0,96460.0,104067.0,194324.0,89953.0,107316.0,112729.0,214280.0,99393.0,126014.0,125194.0,240354.0,106869.0,118456.0,140697.0,246861.0,132527.0,153084.0,160422.0,305486.0,130196.0,179544.0,188420.0,336670.0,158822.0,191899.0,198252.0,346747.0
Techniczny koszt wytworzenia produkcji sprzedanej,58380.0,117199.0,61326.0,79190.0,66320.0,157955.0,68533.0,93663.0,97957.0,237454.0,6411.0,89561.0,104142.0,212410.0,6703.0,82073.0,73764.0,145598.0,65724.0,79548.0,75526.0,147778.0,64937.0,83811.0,81047.0,159356.0,75599.0,82191.0,74611.0,153116.0,69345.0,91841.0,78948.0,145454.0,72149.0,90369.0,81067.0,133351.0,72739.0,82173.0,83043.0,137263.0,78798.0,93397.0,81000.0,134132.0,73157.0,84883.0,86206.0,139485.0,81454.0,94227.0,95006.0,155126.0,90065.0,108663.0,104352.0,175027.0,98399.0,105339.0,120299.0,185081.0,118546.0,128574.0,130074.0,228447.0,120432.0,154670.0,154955.0,255175.0,142791.0,164702.0,168272.0,270819.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38830.0,10678.0,16191.0,8234.0,10341.0,9940.0,15736.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9925.0,14050.0,7130.0,8627.0,9403.0,15325.0,6888.0,10899.0,11164.0,14802.0,8212.0,12260.0,12415.0,17599.0,10063.0,9902.0,9644.0,14724.0,8144.0,11095.0,11000.0,20658.0,8726.0,-24542.0,3636.0,6080.0,2086.0,4252.0,2513.0,5059.0
Zysk ze sprzedaży,2677.0,32386.0,-7687.0,-2874.0,-4941.0,36553.0,-6002.0,-3927.0,-3710.0,39189.0,-11948.0,-14954.0,869.0,29940.0,-5324.0,-2042.0,5567.0,35449.0,-2177.0,-4566.0,6405.0,37612.0,-4731.0,-1606.0,4217.0,30864.0,-3232.0,-925.0,5395.0,35605.0,-3537.0,-1824.0,7195.0,29320.0,-3352.0,-1891.0,5718.0,31773.0,-8090.0,-1818.0,3765.0,31448.0,-4172.0,598.0,6194.0,38222.0,215.0,2950.0,8458.0,39514.0,1611.0,2190.0,6559.0,44352.0,1116.0,5091.0,8427.0,47728.0,-1593.0,3215.0,10754.0,47056.0,5837.0,13415.0,19348.0,56381.0,1038.0,10586.0,19151.0,59224.0,5711.0,12604.0,17527.0,55133.0
Pozostałe przychody operacyjne,754.0,1961.0,2316.0,7561.0,2896.0,1992.0,614.0,12961.0,1354.0,1063.0,384.0,7639.0,1795.0,1101.0,917.0,761.0,387.0,2088.0,2976.0,2496.0,425.0,1525.0,1010.0,386.0,706.0,735.0,847.0,368.0,347.0,667.0,325.0,1466.0,361.0,808.0,430.0,767.0,1881.0,6846.0,483.0,1288.0,918.0,1544.0,490.0,888.0,329.0,686.0,2043.0,724.0,2561.0,611.0,1082.0,2994.0,619.0,1408.0,410.0,410.0,348.0,910.0,208.0,3522.0,490.0,1065.0,703.0,1218.0,848.0,820.0,576.0,-2244.0,0.0,0.0,1152.0,1927.0,75.0,-29.0
Pozostałe koszty operacyjne,372.0,1007.0,86.0,2616.0,189.0,969.0,431.0,1875.0,611.0,448.0,278.0,4840.0,339.0,1588.0,173.0,4931.0,211.0,1173.0,0.0,1413.0,249.0,1644.0,417.0,434.0,398.0,933.0,825.0,455.0,405.0,4391.0,-120.0,1800.0,498.0,1485.0,-89.0,1557.0,1319.0,1289.0,183.0,1106.0,221.0,1253.0,282.0,-262.0,1024.0,2680.0,4324.0,1296.0,438.0,528.0,341.0,682.0,720.0,1076.0,-97.0,2642.0,412.0,928.0,-149.0,3037.0,178.0,962.0,-87.0,1599.0,387.0,2702.0,559.0,-2322.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk operacyjny (EBIT),3059.0,33340.0,-5457.0,2071.0,-2234.0,37576.0,-5819.0,7159.0,-2967.0,39804.0,-11842.0,-12155.0,2325.0,29453.0,-4580.0,-6212.0,5743.0,36364.0,799.0,-3483.0,6581.0,37493.0,-4138.0,-1654.0,4525.0,30666.0,-3210.0,-1012.0,5337.0,31881.0,-3092.0,-2158.0,7058.0,28643.0,-2833.0,-2681.0,6280.0,37330.0,-7790.0,-1636.0,4462.0,31739.0,-3964.0,1748.0,5499.0,36228.0,-2066.0,2378.0,10581.0,39597.0,2352.0,4502.0,6458.0,44684.0,1623.0,2859.0,8363.0,47710.0,-1236.0,3700.0,11066.0,47159.0,6627.0,13034.0,19809.0,54499.0,1055.0,10664.0,19151.0,59224.0,6863.0,14531.0,17602.0,55104.0
Przychody finansowe,833.0,2450.0,1984.0,3266.0,2896.0,1004.0,2203.0,2707.0,1090.0,770.0,1068.0,1240.0,2464.0,10444.0,417.0,-2944.0,733.0,493.0,619.0,105.0,445.0,327.0,968.0,372.0,2561.0,1443.0,-3472.0,4257.0,785.0,43.0,225.0,502.0,113.0,214.0,60.0,47.0,225.0,277.0,176.0,347.0,66.0,347.0,1546.0,495.0,536.0,72.0,53.0,419.0,17.0,6.0,0.0,790.0,46.0,140.0,227.0,346.0,199.0,-113.0,0.0,2441.0,904.0,1019.0,437.0,1727.0,722.0,1336.0,1547.0,728.0,91.0,140.0,179.0,4683.0,143.0,123.0
Koszty finansowe,1854.0,4610.0,1639.0,184.0,3200.0,4449.0,2055.0,2014.0,5734.0,9200.0,6032.0,3539.0,5632.0,6545.0,5342.0,2024.0,4377.0,4318.0,3839.0,1960.0,2393.0,2790.0,1250.0,2652.0,2570.0,3355.0,-619.0,5656.0,2353.0,2582.0,2353.0,1147.0,1391.0,1991.0,1720.0,1060.0,1146.0,1008.0,1325.0,13.0,709.0,-104.0,1556.0,2925.0,435.0,529.0,1131.0,128.0,264.0,433.0,422.0,846.0,326.0,529.0,-610.0,1786.0,722.0,391.0,687.0,3828.0,873.0,1503.0,706.0,3142.0,1427.0,1239.0,1361.0,3836.0,1378.0,2275.0,1951.0,5751.0,1976.0,2611.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.0,-816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1014.0,-539.0,1553.0,0.0,0.0,0.0,0.0,99.0,-126.0,292.0,64.0,57.0,67.0,-1196.0,1262.0,-382.0,-49.0,-1354.0,1785.0,-456.0,-509.0,-376.0,1414.0,-469.0,-499.0,-797.0,2023.0,-859.0,543.0,-55.0,551.0,176.0,167.0
Zysk z działalności gospodarczej,2038.0,31180.0,-5112.0,5153.0,-2538.0,34131.0,-5671.0,7852.0,-7611.0,31374.0,-16806.0,-14454.0,-843.0,33352.0,-9505.0,-11180.0,2099.0,32539.0,-2421.0,-5338.0,4633.0,35030.0,-4420.0,-3934.0,4516.0,28754.0,-6169.0,-3227.0,3769.0,29342.0,-5220.0,-2803.0,5780.0,26866.0,-4493.0,-3694.0,5359.0,36599.0,-8939.0,-1302.0,3819.0,31176.0,-4513.0,871.0,5600.0,35771.0,-3144.0,2669.0,10433.0,39044.0,2222.0,4510.0,6235.0,44362.0,1264.0,2681.0,7458.0,47157.0,-3277.0,4098.0,10641.0,46166.0,5982.0,13033.0,18635.0,54097.0,444.0,9579.0,17005.0,57632.0,5036.0,14014.0,15945.0,52783.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2038.0,31180.0,-5112.0,5153.0,-2538.0,34131.0,-5671.0,7852.0,-7611.0,31374.0,-16806.0,-14454.0,-843.0,33352.0,-9505.0,-11180.0,2099.0,32539.0,-2421.0,-5338.0,4633.0,35030.0,-4420.0,-3934.0,4516.0,28754.0,-6169.0,-3227.0,3769.0,29342.0,-5220.0,-2803.0,5780.0,26866.0,-4493.0,-3694.0,5359.0,36599.0,-8939.0,-1302.0,3819.0,31176.0,-4513.0,871.0,5600.0,35771.0,-3144.0,2669.0,10433.0,39044.0,2222.0,4510.0,6235.0,44362.0,1264.0,2681.0,7458.0,47157.0,-3277.0,4098.0,10641.0,46166.0,5982.0,13033.0,18635.0,54097.0,444.0,9579.0,17005.0,57632.0,5036.0,14014.0,15945.0,52783.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1395.0,24225.0,-3768.0,4156.0,-3657.0,28672.0,-4595.0,8060.0,-6887.0,25118.0,-14425.0,-13299.0,-1048.0,27976.0,-9104.0,-9679.0,1349.0,26973.0,-2191.0,-4974.0,3085.0,28055.0,-4306.0,-3623.0,3491.0,23493.0,-5371.0,-3092.0,2792.0,26853.0,-3532.0,-2350.0,4628.0,22834.0,-3301.0,6018.0,4127.0,29608.0,-6149.0,-2423.0,2736.0,25858.0,-3876.0,570.0,4425.0,29168.0,-3269.0,2175.0,8094.0,28332.0,2177.0,3286.0,4503.0,34982.0,597.0,1888.0,5635.0,37828.0,-2378.0,3110.0,8508.0,37109.0,4681.0,10132.0,14676.0,44045.0,189.0,7408.0,13419.0,46865.0,3832.0,11772.0,13823.0,42300.0
Zysk netto akcjonariuszy jednostki dominującej,1397.0,18921.0,-3266.0,3830.0,-3172.0,23268.0,-5308.0,3633.0,-6641.0,21766.0,-12608.0,-11329.0,-1832.0,24469.0,-7974.0,-9569.0,316.0,23084.0,-3170.0,-5342.0,3192.0,23943.0,-4403.0,-3589.0,2741.0,20666.0,-4788.0,-2587.0,1623.0,20743.0,-3244.0,-2591.0,3386.0,20282.0,-3396.0,5775.0,2434.0,24348.0,-6398.0,-1367.0,363.0,22350.0,-4449.0,-395.0,2578.0,24165.0,-4919.0,1249.0,5779.0,23332.0,718.0,2410.0,2580.0,28951.0,-224.0,1612.0,3682.0,30659.0,-2515.0,2834.0,5420.0,29620.0,2208.0,8376.0,10998.0,34730.0,-512.0,6608.0,11041.0,37782.0,2618.0,10015.0,9762.0,31709.0
Aktywa trwałe,83868.0,120647.0,121936.0,143626.0,167701.0,167765.0,175135.0,196754.0,202986.0,201845.0,197494.0,173777.0,172826.0,180559.0,182446.0,176693.0,173064.0,187853.0,192432.0,198600.0,194824.0,195860.0,196835.0,194799.0,203400.0,203020.0,200178.0,197696.0,196593.0,189333.0,188539.0,190342.0,190381.0,189112.0,189133.0,197279.0,199070.0,188654.0,186530.0,186515.0,186640.0,187158.0,185178.0,187762.0,188219.0,188121.0,185824.0,186826.0,187590.0,181616.0,178660.0,181808.0,181107.0,182573.0,182944.0,184375.0,233225.0,229462.0,232436.0,242464.0,244666.0,246627.0,243396.0,242886.0,245531.0,252574.0,258410.0,265251.0,269867.0,271306.0,273441.0,278588.0,313162.0,312392.0
Wartości niematerialne i prawne,14415.0,23404.0,24100.0,24256.0,24262.0,24138.0,29509.0,40629.0,39983.0,45042.0,44376.0,45899.0,45387.0,45321.0,45812.0,45324.0,45105.0,45067.0,49891.0,54751.0,55158.0,55460.0,55457.0,56481.0,57770.0,58777.0,60080.0,60331.0,62041.0,58848.0,58701.0,59382.0,58936.0,58051.0,57860.0,57765.0,57547.0,57518.0,60247.0,60384.0,60440.0,60069.0,60151.0,60479.0,60002.0,60097.0,59505.0,59506.0,59512.0,59242.0,59240.0,59499.0,59477.0,59590.0,59659.0,59768.0,82127.0,81440.0,81633.0,86063.0,86354.0,87392.0,87730.0,85882.0,86524.0,87154.0,87431.0,87028.0,88101.0,87101.0,87264.0,90604.0,102756.0,101891.0
Rzeczowe składniki majątku trwałego,55812.0,82359.0,83603.0,103378.0,126749.0,127121.0,128300.0,138146.0,144129.0,138264.0,135233.0,109056.0,108868.0,114212.0,116201.0,110781.0,107334.0,128667.0,125604.0,126024.0,126913.0,126483.0,129500.0,104647.0,109557.0,108578.0,105843.0,105238.0,103569.0,102048.0,101951.0,103677.0,104670.0,104196.0,104923.0,104926.0,107149.0,103621.0,101980.0,101568.0,101483.0,101579.0,101750.0,103254.0,104428.0,104113.0,103802.0,104890.0,105501.0,105449.0,104300.0,106567.0,106209.0,105764.0,108712.0,109440.0,134388.0,131541.0,133667.0,138375.0,139390.0,140022.0,136545.0,137173.0,138655.0,143142.0,150695.0,157046.0,159465.0,161059.0,164414.0,167440.0,182866.0,187783.0
